rank,exact,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k1441,k2884
1,thou,robin,robin,robin,hands,puck,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou
2,love,shall,shall,shall,friends,night,long,long,puck,puck,puck,puck,puck,puck,puck,puck,puck,thisbe,thisbe,shall,shall,shall,shall,wall,wall,wall,wall,wall,wall,wall,wall,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love
3,lysander,restore,restore,restore,robin,unto,else,else,good,amends,give,amends,amends,amends,unto,amends,night,puck,puck,puck,puck,wall,wall,shall,theseus,theseus,theseus,theseus,theseus,theseus,theseus,wall,wall,wall,wall,wall,thou,thisbe,thisbe,thisbe,thisbe,love,theseus,theseus,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander
4,hermia,amends,amends,amends,shall,give,puck,puck,night,scape,hands,luck,luck,pardon,give,fairy,unto,amends,make,night,wall,moon,theseus,theseus,shall,shall,shall,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,thou,thou,wall,wall,wall,wall,wall,thisbe,thisbe,thisbe,theseus,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia
5,demetrius,,,,restore,hands,liar,liar,unto,serpent,friends,scape,scape,mend,hands,ever,give,fairy,else,unto,friends,puck,moon,moon,moon,pyramus,pyramus,moon,lion,lion,lion,lion,lion,thou,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,love,wall,wall,lysander,thisbe,theseus,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius
6,shall,,,,amends,friends,call,call,give,tongue,robin,serpent,serpent,honest,friends,dream,hands,ever,liar,give,robin,amends,puck,pyramus,pyramus,moon,lion,shall,moon,moon,moon,moon,moon,lion,lion,lion,lion,lion,lion,lion,pyramus,pyramus,lysander,wall,hermia,thisbe,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall
7,theseus,,,,,robin,good,good,hands,make,restore,tongue,tongue,unearnèd,robin,gentles,friends,mend,call,hands,restore,theseus,amends,lion,lion,lion,moon,lion,shall,shall,shall,shall,thou,moon,moon,moon,moon,moon,moon,moon,lion,lion,pyramus,pyramus,wall,demetrius,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,shall,shall,shall,shall,shall,shall,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus
8,helena,,,,,shall,night,night,friends,ere,amends,make,make,luck,restore,reprehend,robin,honest,good,friends,amends,hand,pyramus,fairy,puck,puck,puck,puck,puck,fairy,puck,thou,shall,shall,shall,shall,shall,shall,shall,demetrius,moon,moon,lion,lion,demetrius,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,shall,thisbe,thisbe,thisbe,thisbe,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena
9,bottom,,,,,restore,unto,unto,robin,long,,ere,ere,scape,amends,pardon,restore,unearnèd,night,robin,,fairy,lion,puck,amends,fairy,hand,hand,hand,ever,fairy,puck,fairy,fairy,fairy,dead,demetrius,demetrius,demetrius,shall,lysander,lysander,demetrius,demetrius,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,shall,wall,wall,wall,wall,helena,thisbe,thisbe,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom,bottom
10,thy,,,,,amends,give,give,restore,else,,long,long,serpent,,mend,amends,luck,unto,restore,,ever,hand,amends,hand,ever,fairy,fairy,fairy,oberon,ever,hand,oberon,puck,oberon,fairy,dead,puck,lysander,lysander,demetrius,demetrius,moon,hermia,lion,lion,lion,lion,lion,lion,lion,lion,lion,lion,lion,lion,lion,lion,lion,lion,lion,lion,pyramus,pyramus,pyramus,pyramus,helena,wall,wall,bottom,thisbe,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy
