rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k1925,k3852
1,demetrius,schlegel,wilhelm,schlegel,william,august,etextes,schlegel,begrüßt,gewognen,projekt,bald,bald,bald,bald,august,bald,droll,entwischen,droll,bald,wand,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius,demetrius
2,lysander,,schlegel,,shakespeare,wilhelm,sommernachtstraum,,gewognen,händen,gutenberg,spiel,willig,heißen,enden,wilhelm,projekt,bald,verheißt,bald,geschieht,bald,wand,wand,wand,wand,wand,wand,wand,wand,wand,wand,wand,wand,wand,wand,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,demetrius,theseus,theseus,theseus,theseus,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander,lysander
3,hermia,,,,übersetzt,schlegel,william,,händen,ende,etextes,enden,geschieht,willig,begrüßt,schlegel,gutenberg,unsres,ehre,unsres,billig,übersetzt,bald,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,wand,wand,wand,wand,wand,wand,wand,wand,wand,wand,wand,wand,thisbe,thisbe,thisbe,thisbe,lysander,theseus,theseus,theseus,theseus,theseus,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia,hermia
4,helena,,,,august,,shakespeare,,ende,projekt,sommernachtstraum,begrüßt,billig,geschieht,gewognen,,etextes,dankes,droll,dankes,gute,august,begrüßt,mond,mond,mond,mond,mond,mond,mond,mond,mond,mond,mond,mond,mond,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,demetrius,demetrius,demetrius,demetrius,demetrius,wand,wand,wand,wand,thisbe,thisbe,thisbe,thisbe,thisbe,hermia,theseus,theseus,theseus,theseus,theseus,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena,helena
5,theseus,,,,wilhelm,,übersetzt,,projekt,gutenberg,william,gewognen,gute,billig,händen,,sommernachtstraum,zoll,bald,zoll,nacht,wilhelm,gewognen,sei,bald,bald,bald,sei,tot,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,mond,mond,mond,mond,mond,mond,mond,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,lysander,wand,wand,wand,wand,wand,thisbe,thisbe,thisbe,thisbe,thisbe,helena,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus,theseus
6,zettel,,,,schlegel,,august,,gutenberg,etextes,shakespeare,händen,nacht,gute,ende,,william,schelm,unsres,schelm,spiel,schlegel,händen,oberon,gewognen,projekt,william,oberon,pyramus,löwe,löwe,löwe,tot,löwe,löwe,löwe,löwe,löwe,löwe,löwe,löwe,demetrius,demetrius,mond,mond,mond,mond,mond,mond,mond,mond,pyramus,pyramus,pyramus,pyramus,hermia,hermia,wand,wand,wand,wand,wand,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel,zettel
7,pyramus,,,,,,wilhelm,,etextes,sommernachtstraum,übersetzt,ende,spiel,nacht,projekt,,shakespeare,heißen,dankes,heißen,enden,,ende,beßres,händen,gutenberg,shakespeare,droll,sei,tot,tot,tot,löwe,tot,tot,tot,tot,tot,tot,tot,demetrius,löwe,löwe,löwe,löwe,löwe,löwe,löwe,löwe,lysander,lysander,mond,mond,mond,mond,pyramus,pyramus,pyramus,pyramus,pyramus,helena,helena,wand,wand,wand,wand,wand,zettel,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus
8,kommt,,,,,,schlegel,,sommernachtstraum,william,august,projekt,enden,spiel,gutenberg,,übersetzt,willig,zoll,willig,begrüßt,,projekt,sehn,ende,etextes,übersetzt,bald,oberon,elfen,sei,bald,sei,bald,kommt,kommt,kommt,kommt,kommt,demetrius,tot,tot,tot,tot,tot,tot,tot,lysander,lysander,löwe,löwe,löwe,löwe,löwe,löwe,mond,mond,mond,mond,helena,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,zettel,wand,wand,wand,wand,wand,wand,wand,wand,wand,wand,wand,thisbe,thisbe,thisbe,thisbe,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt
9,squenz,,,,,,,,william,shakespeare,wilhelm,gutenberg,begrüßt,enden,etextes,,august,geschieht,schelm,geschieht,gewognen,,gutenberg,bösem,projekt,sommernachtstraum,august,billig,droll,sei,oberon,kommt,oberon,kommt,oberon,elfen,sei,demetrius,demetrius,kommt,kommt,kommt,kommt,kommt,kommt,kommt,lysander,tot,tot,tot,tot,tot,tot,helena,hermia,löwe,löwe,helena,helena,mond,mond,mond,mond,mond,mond,zettel,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,wand,wand,wand,wand,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,squenz,squenz,squenz,squenz,squenz,squenz,squenz,squenz,squenz,squenz,squenz,squenz
10,droll,,,,,,,,shakespeare,übersetzt,schlegel,etextes,gewognen,begrüßt,sommernachtstraum,,wilhelm,billig,heißen,billig,händen,,etextes,schlangenzischen,gutenberg,william,wilhelm,gute,bald,oberon,droll,elfen,bald,elfen,bald,sei,oberon,elfen,elfen,elfen,tanz,tanz,elfen,tanz,lysander,lysander,kommt,kommt,kommt,kommt,kommt,helena,helena,tot,helena,helena,helena,löwe,löwe,löwe,löwe,löwe,löwe,löwe,löwe,mond,mond,mond,mond,mond,mond,mond,mond,mond,löwe,löwe,mond,mond,mond,kommt,kommt,kommt,wand,wand,wand,wand,wand,wand,squenz,squenz,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe
