rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k2308,k4617
1,hamlet,off._,shot,off._,shot,ordnance,march._,off._,soldiers,bodies,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet
2,lord,,off._,,off._,shot,_exeunt,,dead,shot,bodies,amiss,bodies,field,soldiers,soldiers,soldiers,soldiers,soldiers,let,bodies,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,king,king,king,king,king,king,king,king,king,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord,lord
3,king,,,,,off._,bearing,,march._,off._,off._,bid,war,shows,bodies,_exeunt,bodies,bodies,bodies,soldiers,laertes,fortinbras,bodies,osric,osric,osric,osric,osric,king,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king,king
4,horatio,,,,,,bodies,,_exeunt,,,soldiers,speak,much,off._,bearing,let,let,shot,march._,fortinbras,let,horatio,come,king,come,king,king,osric,osric,osric,osric,osric,osric,osric,lord,lord,lord,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio
5,queen,,,,,,peal,,bearing,,,shoot,loudly,amiss,,bodies,music,music,off._,_exeunt,let,speak,fortinbras,horatio,come,king,come,come,come,come,come,come,come,come,lord,osric,osric,osric,osric,osric,osric,osric,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen,queen
6,shall,,,,,,ordnance,,bodies,,,dead,take,bid,,peal,rites,rites,,bearing,music,sight,let,fortinbras,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,come,horatio,horatio,horatio,horatio,horatio,horatio,horatio,osric,osric,osric,osric,osric,osric,osric,osric,osric,clown,osric,osric,clown,clown,clown,clown,clown,clown,clown,clown,queen,queen,queen,queen,queen,queen,queen,queen,queen,laertes,laertes,laertes,laertes,laertes,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall
7,polonius,,,,,,shot,,peal,,,march._,sight,soldiers,,ordnance,war,war,,bodies,rites,becomes,speak,let,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,thy,horatio,come,come,come,come,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,osric,clown,clown,osric,osric,osric,osric,osric,osric,queen,queen,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,shall,shall,shall,laertes,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius
8,good,,,,,,off._,,ordnance,,,_exeunt,becomes,shoot,,shot,speak,speak,,peal,war,field,loudly,speak,let,let,let,let,let,let,let,thy,let,fortinbras,clown,clown,clown,clown,clown,come,come,come,come,come,come,come,come,come,come,come,come,first,first,queen,queen,queen,queen,queen,queen,queen,osric,osric,osric,osric,osric,osric,osric,osric,osric,osric,osric,osric,shall,polonius,polonius,polonius,polonius,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,good,good,good,good,good,good,good,good,good,good,good,good,good
9,come,,,,,,,,shot,,,bearing,field,dead,,off._,loudly,loudly,,ordnance,speak,shows,take,shows,speak,soldiers,soldiers,soldiers,soldiers,speak,thy,let,thy,clown,fortinbras,fortinbras,thy,thy,thy,sir,sir,sir,sir,first,first,first,first,first,first,first,first,come,come,first,first,first,first,first,first,first,first,first,first,first,first,first,first,first,first,first,come,come,osric,clown,clown,clown,come,come,come,good,good,good,good,good,good,good,good,good,good,good,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes
10,laertes,,,,,,,,off._,,,bodies,shows,march._,,,take,take,,shot,loudly,much,sight,much,becomes,bodies,bodies,bodies,bodies,soldiers,speak,soldiers,speak,let,thy,thy,fortinbras,fortinbras,fortinbras,thy,thy,thy,first,sir,sir,sir,sir,sir,sir,sir,sir,sir,queen,come,come,come,sir,come,sir,sir,sir,sir,sir,sir,sir,sir,come,come,come,come,first,first,come,osric,osric,come,clown,good,good,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come
