rank,exact,k6,k8,k10,k14,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k2877,k5755
1,hamlet,kleinen,kleinen,abermaligen,getragen,kleinen,leiche,getragen,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet,hamlet
2,herr,geschüz,geschüz,salve,marschieren,geschüz,kriegerischer,marschieren,hamlets,geschüz,salve,,könnten,anstalten,musik,könig,könig,laertes,laertes,könig,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,könig,könig,könig,könig,könig,könig,könig,könig,könig,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr,herr
3,könig,,,kleinen,stük,,musik,stük,leiche,,kleinen,,fortinbras,unverzüglich,vier,laertes,laertes,könig,könig,laertes,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig,könig
4,horatio,,,geschüz,hört,,vier,hört,kriegerischer,,geschüz,,giebt,gemacht,hauptmännern,anstalten,fortinbras,horatio,horatio,horatio,horatio,horatio,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,herr,herr,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio
5,gnädiger,,,,abermaligen,,hauptmännern,abermaligen,musik,,,,befehl,izt,gerüste,gemacht,marschieren,anstalten,fortinbras,fortinbras,fortinbras,fortinbras,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,herr,herr,herr,herr,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,horatio,horatio,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger
6,polonius,,,,salve,,gerüste,salve,vier,,,,hamlets,gemüther,getragen,verwirrungen,stük,gemacht,munde,anstalten,kleinen,anstalten,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,horatio,horatio,horatio,horatio,horatio,horatio,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,horatio,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,gnädiger,gnädiger,gnädiger,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius
7,königin,,,,kleinen,,getragen,kleinen,hauptmännern,,,,leiche,bestürzt,marschieren,anlaß,hört,entwürfe,stimme,gemacht,geschüz,gemacht,anstalten,sollten,sollten,anstalten,anstalten,anstalten,königin,königin,königin,königin,königin,königin,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,königin,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,horatio,königin,königin,königin,königin,königin,königin,königin,königin,todtengräber,polonius,polonius,laertes,laertes,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin,königin
8,seyn,,,,geschüz,,marschieren,geschüz,gerüste,,,,kriegerischer,unfähig,stük,geben,abermaligen,neuen,andre,anlaß,,bestürzt,gemacht,hören,hören,gemacht,gemacht,gemacht,sollten,sollten,sollten,sollten,sollten,sollten,königin,königin,königin,königin,königin,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,gnädiger,königin,königin,königin,königin,königin,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes,laertes
9,laertes,,,,,,stük,,getragen,,,,musik,entwürfe,hört,könnten,salve,verwirrungen,ziehen,geben,,unfähig,getragen,traurigem,andre,abermaligen,salve,geben,england,england,anstalten,england,england,england,sollten,anstalten,sollten,sollten,sollten,sollten,sollten,sollten,sollten,befehl,sollten,becher,sollten,becher,trank,trank,becher,trank,trank,trank,trank,trank,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,polonius,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn,seyn
10,kan,,,,,,hört,,marschieren,,,,vier,neuen,abermaligen,fortinbras,kleinen,anlaß,lasset,könnten,,entwürfe,marschieren,herzen,anstalten,salve,kleinen,abermaligen,blutigen,blutigen,gemacht,blutigen,blutigen,blutigen,england,gemacht,anstalten,england,england,england,england,england,england,trank,england,sollten,england,sollten,becher,becher,sollten,becher,becher,becher,becher,becher,trank,gnädiger,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,kan,kan,kan,kan,seyn,seyn,seyn,seyn,seyn,seyn,seyn,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,todtengräber,kan,kan
11,ophelia,,,,,,abermaligen,,stük,,,,hauptmännern,verwirrungen,salve,giebt,geschüz,geben,anstalten,giebt,,neuen,stük,recht,gemacht,kleinen,geschüz,salve,hören,hören,geben,hören,hören,hören,blutigen,befehl,gemacht,anstalten,hören,anstalten,hören,hören,blutigen,becher,hören,england,geben,england,sollten,oßrik,england,oßrik,oßrik,oßrik,oßrik,oßrik,becher,becher,becher,becher,kan,becher,kan,kan,kan,kan,kan,fortinbras,fortinbras,fortinbras,fortinbras,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,ophelia,ophelia
