nodes,k,output,counter,time(sec)
3,2,0 2,9,0.0
4,2,0 3,24,0.0
4,3,0 1 2,16,0.0
5,2,0 3,50,0.0
5,3,0 2 3,50,0.0
6,2,3 4,90,0.0
6,3,2 4 5,120,0.0
6,5,0 1 2 3 4,36,0.0
7,2,0 5,147,0.007989883422851562
7,3,1 2 3,245,0.00801992416381836
7,5,0 2 3 4 6,147,0.0
8,2,1 3,224,0.0
8,3,3 4 7,448,0.007962942123413086
8,5,0 3 4 5 7,448,0.011961698532104492
8,7,0 1 2 3 4 5 7,64,0.0
9,2,1 3,324,0.0
9,3,0 1 3,756,0.007996320724487305
9,5,2 3 5 7 8,1134,0.01601266860961914
9,7,0 1 2 3 4 6 7,324,0.0
10,2,3 4,450,0.008011817932128906
10,3,3 4 7,1200,0.015988826751708984
10,5,0 2 4 7 9,2520,0.024015188217163086
10,7,0 1 2 3 4 6 8,1200,0.01599884033203125
11,2,3 6,605,0.008005380630493164
11,3,0 1 2,1815,0.03200244903564453
11,5,0 2 4 5 10,5082,0.05627751350402832
11,7,0 2 3 4 6 8 10,3630,0.03974509239196777
12,2,1 9,792,0.016001224517822266
12,3,5 6 10,2640,0.023984432220458984
12,5,1 4 5 6 10,9504,0.12008428573608398
12,7,0 1 2 5 6 8 10,9504,0.10640215873718262
12,11,0 1 2 4 5 6 7 8 9 10 11,144,0.007982015609741211
13,2,2 8,1014,0.01600170135498047
13,3,1 2 8,3718,0.04800558090209961
13,5,2 3 7 9 11,16731,0.19788050651550293
13,7,0 1 3 6 9 10 12,22308,0.28152012825012207
13,11,0 1 2 3 4 6 8 9 10 11 12,1014,0.02400064468383789
14,2,0 5,1274,0.03200197219848633
14,3,1 6 12,5096,0.08000898361206055
14,5,0 1 2 6 13,28028,0.36005640029907227
14,7,0 1 2 3 4 6 13,48048,0.5565838813781738
14,11,1 2 3 4 5 6 7 9 10 12 13,5096,0.07525777816772461
14,13,0 1 2 3 4 5 6 7 8 9 10 12 13,196,0.020047903060913086
15,2,3 11,1575,0.06398701667785645
15,3,2 3 7,6825,0.12003064155578613
15,5,0 2 7 8 10,45045,0.638242244720459
15,7,0 1 2 4 5 8 12,96525,0.8334143161773682
15,11,0 1 2 3 4 5 8 9 10 13 14,20475,0.17095518112182617
15,13,0 1 2 3 4 5 6 7 8 9 10 13 14,1575,0.06365776062011719
16,2,2 6,1920,0.04800009727478027
16,3,0 9 11,8960,0.09602165222167969
16,5,0 2 4 9 10,69888,0.5621743202209473
16,7,0 4 5 6 9 13 14,183040,1.4600954055786133
16,11,0 2 4 6 7 8 9 10 11 14 15,69888,0.6864666938781738
16,13,0 2 4 5 6 7 8 9 10 11 12 14 15,8960,0.12802553176879883
17,2,6 7,2312,0.10402941703796387
17,3,2 4 8,11560,0.29233694076538086
17,5,0 2 3 4 8,105196,0.8059468269348145
17,7,0 1 2 6 7 13 14,330616,2.8195273876190186
17,11,0 1 2 3 4 6 7 11 12 14 16,210392,1.844428539276123
17,13,0 1 3 4 5 6 7 8 11 12 13 14 16,40460,0.38997721672058105
18,2,4 15,2754,0.20801401138305664
18,3,1 3 17,14688,0.2962923049926758
18,5,0 1 5 11 17,154224,1.398336410522461
18,7,1 3 5 8 9 11 16,572832,4.754053831100464
18,11,0 2 3 4 5 8 11 12 14 15 16,572832,4.8494250774383545
18,13,0 1 3 4 5 6 8 10 11 12 15 16 17,154224,1.859046459197998
18,17,0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17,324,0.16801857948303223
19,2,2 3,3249,0.39615297317504883
19,3,0 14 16,18411,0.5325846672058105
19,5,0 1 2 3 16,220932,2.503356695175171
19,7,0 1 2 5 10 11 15,957372,7.899705171585083
19,11,0 2 3 4 8 9 10 11 15 16 18,1436058,12.591282367706299
19,13,0 1 3 4 5 8 9 10 11 13 15 16 18,515508,4.804141044616699
19,17,0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 18,3249,0.40542006492614746
20,2,8 15,3800,0.7251453399658203
20,3,6 13 18,22800,0.804999828338623
20,5,5 6 7 13 16,310080,3.295590877532959
20,7,0 2 5 9 11 12 16,1550400,12.744661092758179
20,11,1 2 5 6 7 8 9 10 14 16 18,3359200,29.168559789657593
20,13,1 2 3 4 5 6 7 8 9 13 14 16 18,1550400,14.550473928451538
20,17,0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 18,22800,0.9464635848999023
20,19,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,400,0.6880719661712646
nodes,k,output,counter,time(sec)
3,2,0 2,9,0.0
4,2,0 3,24,0.0
4,3,0 1 2,16,0.0
5,2,0 3,50,0.0
5,3,0 2 3,50,0.0
6,2,3 4,90,0.00798177719116211
6,3,2 4 5,120,0.0
6,5,0 1 2 3 4,36,0.0
7,2,0 5,147,0.0
7,3,1 2 3,245,0.0
7,5,0 2 3 4 6,147,0.0
8,2,1 3,224,0.00800466537475586
8,3,3 4 7,448,0.007996559143066406
8,5,0 3 4 5 7,448,0.01600480079650879
8,7,0 1 2 3 4 5 7,64,0.0
9,2,1 3,324,0.00800180435180664
9,3,0 1 3,756,0.008007526397705078
9,5,2 3 5 7 8,1134,0.013446331024169922
9,7,0 1 2 3 4 6 7,324,0.0
10,2,3 4,450,0.010387897491455078
10,3,3 4 7,1200,0.008269548416137695
10,5,0 2 4 7 9,2520,0.024000883102416992
10,7,0 1 2 3 4 6 8,1200,0.009364128112792969
11,2,3 6,605,0.015645980834960938
11,3,0 1 2,1815,0.05048871040344238
11,5,0 2 4 5 10,5082,0.048024892807006836
11,7,0 2 3 4 6 8 10,3630,0.03999590873718262
12,2,1 9,792,0.008001089096069336
12,3,5 6 10,2640,0.032003164291381836
12,5,1 4 5 6 10,9504,0.12001276016235352
12,7,0 1 2 5 6 8 10,9504,0.1439967155456543
12,11,0 1 2 4 5 6 7 8 9 10 11,144,0.008019685745239258
13,2,2 8,1014,0.02398371696472168
13,3,1 2 8,3718,0.04800558090209961
13,5,2 3 7 9 11,16731,0.19201970100402832
13,7,0 1 3 6 9 10 12,22308,0.29927492141723633
13,11,0 1 2 3 4 6 8 9 10 11 12,1014,0.02047252655029297
14,2,0 5,1274,0.030581951141357422
14,3,1 6 12,5096,0.06398558616638184
14,5,0 1 2 6 13,28028,0.3757598400115967
14,7,0 1 2 3 4 6 13,48048,0.66233229637146
14,11,1 2 3 4 5 6 7 9 10 12 13,5096,0.07218813896179199
14,13,0 1 2 3 4 5 6 7 8 9 10 12 13,196,0.014882087707519531
15,2,3 11,1575,0.08789944648742676
15,3,2 3 7,6825,0.11200356483459473
15,5,0 2 7 8 10,45045,0.49947381019592285
15,7,0 1 2 4 5 8 12,96525,0.7784032821655273
15,11,0 1 2 3 4 5 8 9 10 13 14,20475,0.1606307029724121
15,13,0 1 2 3 4 5 6 7 8 9 10 13 14,1575,0.028135061264038086
16,2,2 6,1920,0.04688239097595215
16,3,0 9 11,8960,0.1040809154510498
16,5,0 2 4 9 10,69888,0.5525569915771484
16,7,0 4 5 6 9 13 14,183040,1.3745241165161133
16,11,0 2 4 6 7 8 9 10 11 14 15,69888,0.5807044506072998
16,13,0 2 4 5 6 7 8 9 10 11 12 14 15,8960,0.09490060806274414
17,2,6 7,2312,0.09030532836914062
17,3,2 4 8,11560,0.14786982536315918
17,5,0 2 3 4 8,105196,0.7980854511260986
17,7,0 1 2 6 7 13 14,330616,2.4866247177124023
17,11,0 1 2 3 4 6 7 11 12 14 16,210392,1.672508955001831
17,13,0 1 3 4 5 6 7 8 11 12 13 14 16,40460,0.4095304012298584
18,2,4 15,2754,0.20207905769348145
