nodes,k,output,counter,time(sec)
3,2,1 2,3,0.0
4,2,0 3,4,0.0
4,3,0 1 2,8,0.0
5,2,3 4,5,0.0
5,3,1 3 4,11,0.0
6,2,1 4,6,0.0
6,3,1 3 4,14,0.0
6,5,0 1 2 4 5,31,0.001024007797241211
7,2,2 3,7,0.0
7,3,2 5 6,17,0.0
7,5,0 2 3 4 6,41,0.0
8,2,2 3,8,0.0010302066802978516
8,3,1 4 6,20,0.0
8,5,1 2 3 4 6,51,0.0
8,7,0 1 2 3 4 6 7,78,0.0
9,2,2 4,9,0.0010247230529785156
9,3,1 3 7,23,0.0
9,5,0 1 5 7 8,61,0.0
9,7,0 1 4 5 6 7 8,99,0.0010485649108886719
10,2,1 2,10,0.0
10,3,8 9 4,26,0.0
10,5,0 2 4 5 8,71,0.0010483264923095703
10,7,0 2 4 5 6 7 8,120,0.0
11,2,0 2,11,0.0
11,3,8 10 7,29,0.0
11,5,0 2 3 7 9,81,0.0
11,7,0 2 3 7 8 9 10,141,0.0
12,2,11 7,12,0.0
12,3,3 6 7,32,0.0
12,5,1 5 6 7 9,91,0.0
12,7,1 2 3 5 6 7 8,162,0.0
12,11,0 1 2 3 4 5 6 7 8 9 11,276,0.0
13,2,4 6,13,0.008008003234863281
13,3,8 4 6,35,0.0
13,5,3 4 6 9 10,101,0.0
13,7,0 4 6 7 9 10 12,183,0.0
13,11,0 1 2 3 4 5 6 7 9 10 12,331,0.0
14,2,13 6,14,0.0
14,3,13 5 7,38,0.0
14,5,6 7 10 11 13,111,0.0
14,7,2 5 6 7 9 11 13,204,0.0
14,11,1 2 3 4 6 7 8 9 10 11 13,386,0.0
14,13,1 2 3 4 5 6 7 8 9 10 11 12 13,443,0.0
15,2,9 7,15,0.0
15,3,8 9 7,41,0.0
15,5,8 9 10 11 12,121,0.0
15,7,3 5 8 9 10 12 13,225,0.0
15,11,0 3 5 7 8 9 10 11 12 13 14,441,0.0
15,13,0 2 3 5 6 7 8 9 10 11 12 13 14,521,0.0
16,2,9 4,16,0.0
16,3,8 1 10,44,0.0
16,5,5 7 8 10 13,131,0.0
16,7,2 5 6 7 8 10 13,246,0.008005857467651367
16,11,4 5 6 7 8 10 11 12 13 14 15,496,0.0
16,13,1 3 4 5 6 7 8 10 11 12 13 14 15,599,0.0
17,2,1 13,17,0.0
17,3,2 14 15,47,0.0
17,5,2 5 9 14 15,141,0.0
17,7,1 2 5 10 11 14 15,267,0.0
17,11,0 1 2 4 5 8 11 12 13 14 15,551,0.0
17,13,0 1 2 4 5 7 8 11 12 13 14 15 16,677,0.0
18,2,8 14,18,0.0
18,3,8 3 14,50,0.0
18,5,8 10 12 13 14,151,0.0
18,7,1 7 8 10 12 13 14,288,0.0
18,11,0 1 2 5 7 8 10 11 12 13 14,606,0.0
18,13,0 1 2 5 6 7 8 10 11 12 13 14 15,755,0.007993698120117188
18,17,0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17,953,0.0
19,2,18 10,19,0.0
19,3,8 9 7,53,0.0
19,5,1 2 8 9 14,161,0.0
19,7,1 5 8 9 12 14 17,309,0.0
19,11,1 5 8 9 10 11 12 14 15 16 17,661,0.0
19,13,1 3 5 8 9 10 11 12 13 14 15 16 17,833,0.0
19,17,0 1 2 3 5 7 8 9 10 11 12 13 14 15 16 17 18,1089,0.0
20,2,19 13,20,0.0
20,3,2 19 15,56,0.0
20,5,2 7 14 18 19,171,0.0
20,7,2 3 7 11 12 14 19,330,0.0
20,11,1 2 3 5 6 7 9 11 12 14 19,716,0.0
20,13,0 1 2 3 5 6 7 9 10 11 12 14 19,911,0.0
20,17,0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 19,1225,0.0
20,19,0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19,1312,0.0
nodes,k,output,counter,time(sec)
3,2,1 2,3,0.0010123252868652344
4,2,0 1,4,0.0
4,3,0 1 2,8,0.0
5,2,1 3,5,0.0
5,3,1 3 4,11,0.0
6,2,1 4,6,0.0
6,3,1 4 5,14,0.0
6,5,0 1 2 4 5,31,0.0
7,2,2 3,7,0.0
7,3,2 4 6,17,0.0
7,5,2 3 4 5 6,41,0.0
8,2,2 5,8,0.0
8,3,0 4 6,20,0.0
8,5,1 2 3 4 6,51,0.0010275840759277344
8,7,0 1 2 3 4 6 7,78,0.0
9,2,1 7,9,0.0
9,3,1 2 4,23,0.0
9,5,1 3 5 7 8,61,0.0
9,7,0 1 4 5 6 7 8,99,0.0010259151458740234
10,2,0 4,10,0.0
10,3,0 1 2,26,0.0
10,5,0 4 6 8 9,71,0.001020669937133789
10,7,0 2 4 5 6 7 8,120,0.0
11,2,0 5,11,0.0
11,3,0 9 2,29,0.0
11,5,0 2 7 8 10,81,0.0
11,7,0 2 3 7 8 9 10,141,0.0010251998901367188
12,2,0 6,12,0.0
12,3,1 11 7,32,0.0
12,5,1 3 5 6 7,91,0.0
12,7,1 2 3 5 6 7 9,162,0.0
12,11,0 1 2 3 4 5 6 7 8 9 11,276,0.0
13,2,12 6,13,0.0
13,3,9 10 4,35,0.0
13,5,4 6 7 9 12,101,0.0
13,7,4 6 7 8 9 10 12,183,0.0
13,11,0 1 2 3 4 5 6 7 9 10 12,331,0.0
14,2,0 2,14,0.0
14,3,10 13 7,38,0.0
14,5,2 6 7 11 13,111,0.0
14,7,2 5 6 7 9 11 13,204,0.0
14,11,1 2 3 4 6 7 8 9 10 11 13,386,0.0
14,13,1 2 3 4 5 6 7 8 9 10 11 12 13,443,0.0
15,2,1 14,15,0.0
15,3,8 9 12,41,0.0
15,5,7 8 9 10 12,121,0.0
15,7,5 7 8 9 10 12 13,225,0.0
15,11,0 3 5 7 8 9 10 11 12 13 14,441,0.0
15,13,0 2 3 5 6 7 8 9 10 11 12 13 14,521,0.0
16,2,4 15,16,0.0
16,3,8 10 14,44,0.0
16,5,3 5 7 8 10,131,0.0
16,7,4 6 8 9 11 13 15,246,0.0
16,11,1 4 5 6 7 8 10 11 12 13 15,496,0.0
16,13,1 3 4 5 6 7 8 10 11 12 13 14 15,599,0.015623331069946289
17,2,2 14,17,0.0
17,3,1 11 14,47,0.0
17,5,1 11 13 14 15,141,0.0
17,7,1 2 4 5 11 14 15,267,0.0
17,11,1 2 4 5 8 9 11 12 13 14 15,551,0.0
17,13,0 1 2 4 5 7 8 10 11 12 13 14 15,677,0.0
18,2,4 14,18,0.0
18,3,16 8 14,50,0.0
18,5,8 10 12 13 14,151,0.0
18,7,1 3 8 10 12 13 14,288,0.0
18,11,0 1 2 5 7 8 10 11 12 13 14,606,0.0
18,13,0 1 2 5 6 7 8 10 11 12 13 14 15,755,0.0
18,17,0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17,953,0.0
19,2,8 2,19,0.0
19,3,8 18 10,53,0.0
19,5,1 7 8 9 14,161,0.015644073486328125
19,7,1 5 8 9 10 14 18,309,0.0
19,11,1 5 7 8 9 10 12 14 15 16 17,661,0.0
19,13,1 2 3 5 8 9 10 11 12 14 15 16 17,833,0.0
19,17,0 1 2 3 5 7 8 9 10 11 12 13 14 15 16 17 18,1089,0.0
20,2,2 14,20,0.0
20,3,2 19 13,56,0.0
20,5,2 7 11 14 19,171,0.0
20,7,2 3 7 11 13 14 19,330,0.015606403350830078
20,11,1 2 3 6 7 9 11 12 14 15 19,716,0.0
20,13,0 1 2 3 6 7 9 10 11 12 14 18 19,911,0.0
20,17,0 1 2 3 5 6 7 9 10 11 12 13 14 15 16 18 19,1225,0.0
20,19,0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19,1312,0.0
