nodes,k,output,counter,ratio,time(sec)
3,2,0 2,3,-,0.000999928
4,2,1 2,4,1.333333333,0
4,3,0 1 2,8,2,0.000998735
5,2,1 3,5,0.625,0
5,3,0 1 3,11,2.2,0.001009464
6,2,4 5,6,0.545454545,0
6,3,1 3 4,14,2.333333333,0.000992298
6,5,0 1 2 4 5,31,2.214285714,0
7,2,2 6,7,0.225806452,0
7,3,2 4 6,17,2.428571429,0
7,5,2 3 4 5 6,41,2.411764706,0
8,2,4 6,8,0.195121951,0
8,3,1 3 4,20,2.5,0
8,5,1 2 3 4 6,51,2.55,0
8,7,0 1 2 3 4 6 7,78,1.529411765,0
9,2,8 7,9,0.115384615,0
9,3,1 6 7,23,2.555555556,0
9,5,0 1 5 7 8,61,2.652173913,0
9,7,0 1 2 4 5 7 8,99,1.62295082,0.001006842
10,2,3 4,10,0.101010101,0
10,3,0 1 2,26,2.6,0
10,5,0 2 4 6 8,71,2.730769231,0.001007795
10,7,0 1 2 4 6 7 8,120,1.690140845,0
11,2,10 7,11,0.091666667,0
11,3,0 9 2,29,2.636363636,0.000999451
11,5,0 2 3 5 9,81,2.793103448,0
11,7,0 2 3 5 7 9 10,141,1.740740741,0
12,2,0 6,12,0.085106383,0
12,3,8 3 6,32,2.666666667,0
12,5,1 2 5 6 7,91,2.84375,0
12,7,0 1 2 3 5 6 7,162,1.78021978,0
12,11,0 1 2 3 4 5 6 7 8 9 11,276,1.703703704,0.000987291
13,2,9 3,13,0.047101449,0
13,3,9 10 4,35,2.692307692,0
13,5,4 6 7 9 12,101,2.885714286,0
13,7,2 4 6 7 9 10 12,183,1.811881188,0
13,11,0 1 2 3 4 5 6 7 9 10 12,331,1.808743169,0
14,2,13 7,14,0.042296073,0
14,3,13 6 7,38,2.714285714,0
14,5,2 6 7 11 13,111,2.921052632,0
14,7,2 6 7 8 9 11 13,204,1.837837838,0
14,11,1 2 3 4 6 7 8 9 10 11 13,386,1.892156863,0
14,13,0 1 2 3 4 6 7 8 9 10 11 12 13,443,1.147668394,0.001004219
15,2,8 10,15,0.033860045,0
15,3,8 9 6,41,2.733333333,0
15,5,5 8 9 10 12,121,2.951219512,0
15,7,3 5 8 9 10 12 13,225,1.859504132,0
15,11,0 3 5 7 8 9 10 11 12 13 14,441,1.96,0.000989199
15,13,0 1 2 3 5 7 8 9 10 11 12 13 14,521,1.181405896,0.001004934
16,2,8 10,16,0.030710173,0
16,3,8 10 7,44,2.75,0
16,5,5 7 8 10 13,131,2.977272727,0
16,7,5 6 7 8 10 11 13,246,1.877862595,0
16,11,1 4 5 6 7 8 10 11 12 13 15,496,2.016260163,0.001003742
16,13,1 3 4 5 6 7 8 10 11 12 13 14 15,599,1.20766129,0
17,2,14 15,17,0.028380634,0
17,3,2 14 15,47,2.764705882,0
17,5,1 2 11 14 15,141,3,0
17,7,1 2 5 11 13 14 15,267,1.893617021,0
17,11,0 1 2 4 5 8 11 12 13 14 15,551,2.063670412,0.001000166
17,13,0 1 2 4 5 7 8 9 11 12 13 14 15,677,1.228675136,0.000998735
18,2,17 14,18,0.026587888,0
18,3,8 10 14,50,2.777777778,0
18,5,4 8 12 13 14,151,3.02,0
18,7,1 8 10 12 13 14 16,288,1.907284768,0.00099659
18,11,0 1 2 5 7 8 10 11 12 13 14,606,2.104166667,0
18,13,0 1 2 3 5 6 7 8 10 11 12 13 14,755,1.245874587,0.001000166
18,17,0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17,953,1.262251656,0.001002312
19,2,8 7,19,0.019937041,0
19,3,8 9 10,53,2.789473684,0
19,5,1 2 8 9 14,161,3.037735849,0
19,7,1 5 8 9 10 14 18,309,1.919254658,0
19,11,1 5 7 8 9 10 12 14 15 16 17,661,2.139158576,0.000997782
19,13,1 3 5 8 9 10 11 12 14 15 16 17 18,833,1.2602118,0.001001358
19,17,0 1 2 3 5 7 8 9 10 11 12 13 14 15 16 17 18,1089,1.307322929,0.001003504
20,2,2 19,20,0.018365473,0
20,3,9 12 1,56,2.8,0.00100112
20,5,2 7 11 14 19,171,3.053571429,0
20,7,2 3 7 11 13 14 19,330,1.929824561,0
20,11,1 2 3 6 7 9 10 11 12 14 19,716,2.16969697,0.00099659
20,13,0 1 2 3 6 7 9 10 11 12 13 14 19,911,1.272346369,0.000999928
20,17,0 1 2 3 5 6 7 9 10 11 12 13 14 15 16 18 19,1225,1.34467618,0.002002954
20,19,0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19,1312,1.071020408,0.001000643
