nodes,k,output,counter,time(sec)
3,2,0 2,2,0.0
4,2,0 1,2,0.0
4,3,0 1 3,3,0.0
5,2,2 3,2,0.0
5,3,2 3 4,3,0.0
6,2,2,2,0.0
6,3,1 2 5,3,0.0
6,5,2 3 4 5,5,0.0
7,2,4 6,2,0.0
7,3,1 3 4,3,0.0
7,5,0 1 3,5,0.0
8,2,3 5,2,0.0
8,3,1 2 5,3,0.0
8,5,4 5 7,5,0.0
8,7,0 1 4 7,7,0.0
9,2,8 4,2,0.0
9,3,3 5,3,0.0
9,5,1 4 6,5,0.0
9,7,0 4 5 6 7 8,7,0.0
10,2,5 6,2,0.0
10,3,0 3 6,3,0.0
10,5,0 2 5,5,0.0
10,7,1 2 3 4 5 7 9,7,0.0
11,2,8 3,2,0.008009195327758789
11,3,1 2 10,3,0.0
11,5,0 2 4 5 6,5,0.0
11,7,0 1 2 5 7,7,0.0
12,2,9 2,2,0.0
12,3,0 9 8,3,0.0
12,5,1 10 6 9,5,0.0
12,7,1 2 5 6 9 11,7,0.0
12,11,0 2 6 7 8 10 11,11,0.0
13,2,0 10,2,0.0
13,3,8 2 4,3,0.0
13,5,0 10 2 11,5,0.0
13,7,1 2 3 6 7 10,7,0.0
13,11,2 3 4 5 10 11 12,11,0.0
14,2,0 9,2,0.0
14,3,13 7,3,0.008008956909179688
14,5,2 3 5 8 11,5,0.0
14,7,0 3 6 8 10 11 12,7,0.0
14,11,1 2 5 6 7 11,11,0.0
14,13,1 3 5 6 7 8 9 11,13,0.0
15,2,0,2,0.0
15,3,10 13 6,3,0.0
15,5,2 4 13 6,5,0.0
15,7,0 3 6 8 9 11,7,0.0
15,11,0 3 5 6 7 9 11 14,11,0.0
15,13,1 3 5 6 7 8 9 12 13 14,13,0.0
16,2,0 4,2,0.0
16,3,8 0 6,3,0.007994890213012695
16,5,0 2 3 8 10,5,0.0
16,7,1 4 5 6 8 9 14,7,0.0
16,11,0 4 5 6 9 12 13 15,11,0.0
