nodes,k,output,counter,ratio,time(sec)
3,2,0 1,2,-,0
4,2,0 2,2,1,0
4,3,0 3,3,1.5,0
5,2,2 3,2,0.666666667,0
5,3,0 1 2,3,1.5,0.000999928
6,2,2 3,2,0.666666667,0.001000643
6,3,0 1 2,3,1.5,0
6,5,1 2 4 5,5,1.666666667,0
7,2,5,2,0.4,0
7,3,0 6,3,1.5,0
7,5,0 1 2 3,5,1.666666667,0
8,2,6,2,0.4,0
8,3,1 4 5,3,1.5,0
8,5,0 3 5 6,5,1.666666667,0
8,7,1 2 5 6 7,7,1.4,0
9,2,8 7,2,0.285714286,0
9,3,1 3 7,3,1.5,0
9,5,2 4 5 7,5,1.666666667,0.001000643
9,7,0 1 3 4,7,1.4,0
10,2,8 7,2,0.285714286,0
10,3,2 7,3,1.5,0.000999689
10,5,9 2 7,5,1.666666667,0
10,7,2 5 7 8 9,7,1.4,0.00100112
11,2,0 10,2,0.285714286,0.001000404
11,3,8 1,3,1.5,0
11,5,1 2 3 6,5,1.666666667,0
11,7,2 5 6 9 10,7,1.4,0
12,2,2,2,0.285714286,0
12,3,9 3 6,3,1.5,0
12,5,11 9 3 8,5,1.666666667,0.000999451
12,7,1 3 4 5 7 9 10,7,1.4,0
12,11,3 4 5 7 8 9,11,1.571428571,0
13,2,11 12,2,0.181818182,0
13,3,1 10 6,3,1.5,0.001000166
13,5,0 1 4 6,5,1.666666667,0
13,7,4 5 6 7 8 10,7,1.4,0
13,11,0 3 5 6 10 12,11,1.571428571,0.000999928
14,2,1 2,2,0.181818182,0.000999928
14,3,2 12 5,3,1.5,0
14,5,9 10 12,5,1.666666667,0
14,7,3 4 7 11 12 13,7,1.4,0.001000166
14,11,1 2 3 6 8 10 11 12,11,1.571428571,0
14,13,0 1 2 4 5 7 13,13,1.181818182,0.000999928
15,2,9 2,2,0.153846154,0
15,3,0 2 12,3,1.5,0.001000166
15,5,1 8 9 12 13,5,1.666666667,0
15,7,1 5 6 9 10 13 14,7,1.4,0.000999451
15,11,1 2 6 8 9 11 12,11,1.571428571,0
15,13,0 2 4 7 8 10 11 13,13,1.181818182,0.001001358
16,2,2 11,2,0.153846154,0.000999212
16,3,0 2 10,3,1.5,0
16,5,10 2 14 6,5,1.666666667,0
16,7,1 3 5 7 10 13,7,1.4,0.000999451
16,11,0 2 4 9 10 11 12,11,1.571428571,0
16,13,0 2 3 5 6 7 8 11 12 13 14 15,13,1.181818182,0.001000166
17,2,2 11,2,0.153846154,0.000999928
17,3,11 5 7,3,1.5,0
17,5,1 7 6 15,5,1.666666667,0.001002312
17,7,1 3 8 9 11,7,1.4,0
17,11,0 4 6 8 13 14 16,11,1.571428571,0.001000166
17,13,0 5 6 7 9 11 12 13 15 16,13,1.181818182,0
18,2,16 5,2,0.153846154,0
18,3,8 16 6,3,1.5,0.00100112
18,5,1 3 5 9 16,5,1.666666667,0.001000166
18,7,6 9 12 15 16,7,1.4,0.001000881
18,11,3 4 5 8 9 10 13 17,11,1.571428571,0.00100112
18,13,0 1 2 3 5 6 9 11 12 13 14,13,1.181818182,0.000999928
18,17,0 3 5 6 7 11 12 15 16 17,17,1.307692308,0.001000404
19,2,17 6,2,0.117647059,0.001000404
19,3,10 4 14,3,1.5,0.001000404
19,5,1 2 3 4 12,5,1.666666667,0
19,7,0 2 6 8 14 18,7,1.4,0.000999212
19,11,1 10 11 12 14 17 18,11,1.571428571,0.000999689
19,13,2 4 5 6 7 8 14 15 16 17 18,13,1.181818182,0
19,17,1 2 4 5 6 8 10 12 13 14 15,17,1.307692308,0.001000881
20,2,2 15,2,0.117647059,0
20,3,17 10,3,1.5,0.001000404
20,5,16 18 7,5,1.666666667,0.000999451
20,7,1 2 5 6 7 12,7,1.4,0
20,11,6 9 13 14 15 16 17 18,11,1.571428571,0.001001358
20,13,0 2 5 7 11 13 14 16 17 19,13,1.181818182,0
20,17,1 3 4 5 6 9 10 12 13 14 15 16 19,17,1.307692308,0.001000166
20,19,0 1 2 3 6 7 8 9 11 12 14 17 19,19,1.117647059,0.001000643
