letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,9095,12.5975,14,4453,4655,4558,13,12.6215,9116,48.0407,2307.9106,21,0.2309,21,28,23,5,5.0109,6991,1.2848,1.6506,2104,23.1336
T,6296,8.7206,13,3077,3247,3148,12,8.7171,6296,31.924,1019.1429,0,0,19,25,22,5,4.793,4943,1.0616,1.1269,1353,21.4898
O,5880,8.1444,13,2865,2999,2932,12,8.119,5864,34.124,1164.449,16,0.2721,20,24,21,5,4.5752,3495,1.1068,1.2249,2385,40.5612
A,5400,7.4795,13,2613,2771,2706,12,7.4931,5412,37.9851,1442.8673,12,0.2222,19,25,22,5,4.793,4943,1.3498,1.822,457,8.463
I,4783,6.6249,13,2292,2476,2393,12,6.6264,4786,38.1732,1457.1939,3,0.0627,19,24,21,5,4.5752,3495,1.0476,1.0976,1288,26.9287
H,4743,6.5695,13,2284,2439,2366,12,6.5517,4732,31.8476,1014.2678,11,0.2319,19,24,21,5,4.5752,3495,1.2316,1.5167,1248,26.3125
S,4706,6.5183,13,2274,2426,2360,12,6.535,4720,32.1064,1030.818,14,0.2975,19,24,21,5,4.5752,3495,1.1205,1.2555,1211,25.7331
N,4656,6.449,13,2260,2414,2330,12,6.452,4660,30.3384,920.418,4,0.0859,18,24,21,5,4.5752,3495,1.165,1.3571,1161,24.9356
R,4386,6.075,13,2146,2278,2194,12,6.0754,4388,28.6458,820.5816,2,0.0456,18,26,21,5,4.5752,3495,1.2329,1.52,891,20.3146
L,3281,4.5445,12,1543,1726,1645,11,4.5551,3290,33.5133,1123.1429,9,0.2743,18,23,20,5,4.3573,2471,1.3997,1.9592,810,24.6876
D,2795,3.8714,12,1325,1463,1398,11,3.8712,2796,33.5581,1126.1473,1,0.0358,18,23,19,5,4.1394,1747,1.1542,1.3322,1048,37.4955
U,2480,3.435,12,1188,1283,1237,11,3.4254,2474,19.0769,363.9286,6,0.2419,17,23,19,5,4.1394,1747,1.3726,1.8841,733,29.5565
M,2263,3.1345,12,1067,1198,1134,11,3.1401,2268,29.9039,894.2404,5,0.2209,18,23,19,5,4.1394,1747,0.9723,0.9453,516,22.8016
Y,1882,2.6068,11,896,981,937,10,2.5946,1874,20.9195,437.6261,8,0.4251,17,21,18,5,3.9216,1235,1.0926,1.1939,647,34.3783
W,1770,2.4516,11,843,925,889,10,2.4617,1778,19.1335,366.0914,8,0.452,16,21,18,5,3.9216,1235,1.0382,1.078,535,30.226
C,1365,1.8907,11,638,724,684,10,1.8941,1368,18.2496,333.0486,3,0.2198,16,21,17,5,3.7037,873,1.1718,1.3731,492,36.044
F,1346,1.8643,11,638,710,669,10,1.8525,1338,17.8806,319.7159,8,0.5944,16,21,18,5,3.9216,1235,1.2061,1.4547,111,8.2467
G,1208,1.6732,11,562,641,604,10,1.6725,1208,16.4956,272.1045,0,0,15,21,17,5,3.7037,873,1.2002,1.4404,335,27.7318
P,1161,1.6081,11,553,613,579,10,1.6033,1158,13.6631,186.6792,3,0.2584,15,19,17,5,3.7037,873,0.9947,0.9894,288,24.8062
B,1090,1.5098,11,503,577,545,10,1.5092,1090,19.228,369.7143,0,0,15,20,17,5,3.7037,873,1.2149,1.4759,217,19.9083
V,699,0.9682,10,313,377,348,9,0.9636,696,13.7232,188.3249,3,0.4292,13,19,16,4,3.4858,617,1.1952,1.4286,82,11.731
K,634,0.8782,10,293,340,318,9,0.8806,636,11.8955,141.5024,2,0.3155,14,18,16,4,3.4858,617,1.085,1.1771,17,2.6814
Q,115,0.1593,7,49,66,58,6,0.1606,116,4.5342,20.5588,1,0.8696,9,13,11,4,2.3965,108,1.0956,1.2004,7,6.087
X,92,0.1274,7,32,56,46,6,0.1274,92,4.9885,24.8853,0,0,8,13,10,4,2.1786,76,1.2095,1.4629,16,17.3913
J,58,0.0803,6,21,37,29,5,0.0803,58,4.1683,17.3751,0,0,7,11,9,4,1.9608,53,0.9681,0.9371,5,8.6207
Z,13,0.018,4,2,11,6,3,0.0166,12,2.0678,4.2759,1,7.6923,3,7,5,3,1.0893,12,1.0812,1.169,1,7.6923
