letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,16456,15.4463,15,8068,8384,8235,14,15.4616,16470,58.4109,3411.8351,14,0.0851,22,28,25,5,5.0403,13983,1.2521,1.5678,2473,15.028
S,8357,7.8442,14,4085,4370,4177,13,7.8425,8354,48.3913,2341.7143,3,0.0359,21,26,23,5,4.6371,6991,0.9691,0.9392,1366,16.3456
T,7734,7.2594,13,3762,3966,3867,12,7.2605,7734,41.6718,1736.5392,0,0,20,26,22,5,4.4355,4943,1.1421,1.3045,2791,36.0874
N,7544,7.0811,13,3675,3852,3769,12,7.0765,7538,38.0495,1447.7649,6,0.0795,20,26,23,5,4.6371,6991,1.5754,2.482,553,7.3303
R,7502,7.0417,13,3598,3859,3746,12,7.0333,7492,49.029,2403.8469,10,0.1333,20,25,22,5,4.4355,4943,1.2618,1.5922,2559,34.1109
A,7392,6.9384,13,3605,3784,3695,12,6.9375,7390,38.5324,1484.7465,2,0.0271,21,25,22,5,4.4355,4943,1.2856,1.6527,2449,33.1304
I,7391,6.9375,13,3629,3765,3701,12,6.9488,7402,34.3075,1177.0057,11,0.1488,21,25,23,5,4.6371,6991,1.2513,1.5657,400,5.412
O,7082,6.6475,13,3474,3643,3547,12,6.6597,7094,38.5115,1483.1363,12,0.1694,21,26,22,5,4.4355,4943,1.3626,1.8567,2139,30.2033
U,6820,6.4015,13,3339,3486,3405,12,6.393,6810,33.1319,1097.7245,10,0.1466,20,25,22,5,4.4355,4943,1.1634,1.3535,1877,27.522
L,5486,5.1494,13,2647,2859,2741,12,5.1464,5482,41.3106,1706.5637,4,0.0729,19,24,21,5,4.2339,3495,1.1925,1.422,1991,36.2924
D,3616,3.3941,12,1724,1880,1806,11,3.3908,3612,29.4407,866.7576,4,0.1106,18,23,20,5,4.0323,2471,1.1995,1.4388,1145,31.6648
M,3558,3.3397,12,1729,1852,1780,11,3.342,3560,25.6687,658.88,2,0.0562,18,23,20,5,4.0323,2471,1.2291,1.5106,1087,30.5509
C,3368,3.1613,12,1615,1738,1678,11,3.1505,3356,27.1665,738.02,12,0.3563,18,23,20,5,4.0323,2471,1.1824,1.398,897,26.633
P,2897,2.7192,12,1369,1494,1441,11,2.7055,2882,27.165,737.9384,15,0.5178,18,24,20,5,4.0323,2471,1.1824,1.398,426,14.7049
V,1944,1.8247,11,931,1018,974,10,1.8287,1948,20.6421,426.0963,4,0.2058,17,22,19,5,3.8306,1747,1.2229,1.4955,197,10.1337
H,1689,1.5854,11,809,904,848,10,1.5922,1696,18.666,348.4184,7,0.4144,16,21,18,5,3.629,1235,1.0583,1.12,454,26.8798
F,1284,1.2052,11,603,675,646,10,1.2129,1292,16.4291,269.9139,8,0.6231,16,19,17,5,3.4274,873,0.9596,0.9208,411,32.0093
B,1234,1.1583,11,573,657,614,10,1.1528,1228,18.5184,342.9322,6,0.4862,16,21,17,5,3.4274,873,1.066,1.1363,361,29.2545
G,1165,1.0935,11,545,611,581,10,1.0909,1162,16.0567,257.8188,3,0.2575,15,20,17,5,3.4274,873,1.1843,1.4024,292,25.0644
Q,1073,1.0072,11,507,571,538,10,1.0101,1076,16.0383,257.2261,3,0.2796,15,20,17,5,3.4274,873,1.2329,1.52,200,18.6393
J,904,0.8485,10,400,494,452,9,0.8487,904,19.2006,368.6649,0,0,15,21,17,5,3.4274,873,1.2164,1.4796,31,3.4292
Y,759,0.7124,10,344,413,380,9,0.7135,760,15.4217,237.8302,1,0.1318,14,19,16,4,3.2258,617,1.0806,1.1678,142,18.7088
X,420,0.3942,9,189,236,211,8,0.3962,422,10.1331,102.6792,2,0.4762,12,18,14,4,2.8226,308,1.2961,1.68,112,26.6667
Z,398,0.3736,9,175,227,198,8,0.3718,396,11.7782,138.7269,2,0.5025,12,18,14,4,2.8226,308,1.3738,1.8873,90,22.6131
W,272,0.2553,9,115,156,135,8,0.2535,270,8.0211,64.3384,2,0.7353,11,16,13,4,2.621,217,1.1782,1.3882,55,20.2206
K,192,0.1802,8,81,109,96,7,0.1802,192,6.7832,46.0118,0,0,10,16,12,4,2.4194,153,1.2631,1.5955,39,20.3125
