letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,16456.0,15.4463,15.0,16136.0,16768.0,16471.0,15.0,15.4605,116.8218,13647.3404,15.0,0.0912,4943.0,39553.0,15641.0,14.0,14.6086,6937.9926,48135741.8127,815.0,4.9526
S,8357.0,7.8442,14.0,8170.0,8740.0,8355.0,14.0,7.8424,96.7825,9366.8571,2.0,0.0239,3495.0,19776.0,7782.0,13.0,7.2683,2960.2214,8762911.0208,575.0,6.8805
T,7734.0,7.2594,13.0,7524.0,7932.0,7735.0,13.0,7.2605,83.3436,6946.1567,1.0,0.0129,2471.0,19776.0,7463.0,13.0,6.9704,3219.0179,10362075.9841,271.0,3.504
N,7544.0,7.0811,13.0,7350.0,7704.0,7538.0,13.0,7.0755,76.099,5791.0596,6.0,0.0795,2471.0,19776.0,8848.0,14.0,8.264,4973.2316,24733032.7282,1304.0,17.2853
R,7502.0,7.0417,13.0,7196.0,7718.0,7493.0,13.0,7.0333,98.0581,9615.3878,9.0,0.12,2471.0,13983.0,7293.0,13.0,6.8116,3131.7731,9808002.6122,209.0,2.7859
A,7392.0,6.9384,13.0,7210.0,7568.0,7390.0,13.0,6.9366,77.0648,5938.9861,2.0,0.0271,3495.0,13983.0,7638.0,13.0,7.1339,3360.2039,11290970.4882,246.0,3.3279
I,7391.0,6.9375,13.0,7258.0,7530.0,7403.0,13.0,6.9488,68.615,4708.0229,12.0,0.1624,3495.0,13983.0,8050.0,13.0,7.5187,3189.6605,10173934.1322,659.0,8.9162
O,7082.0,6.6475,13.0,6948.0,7286.0,7095.0,13.0,6.6597,77.023,5932.5453,13.0,0.1836,3495.0,19776.0,7804.0,13.0,7.2889,4200.4222,17643546.5588,722.0,10.1949
U,6820.0,6.4015,13.0,6678.0,6972.0,6811.0,13.0,6.3931,66.2639,4390.898,9.0,0.132,2471.0,13983.0,6510.0,13.0,6.0803,2781.7173,7737951.3208,310.0,4.5455
L,5486.0,5.1494,13.0,5294.0,5718.0,5482.0,13.0,5.1457,82.6212,6826.2547,4.0,0.0729,1747.0,9887.0,5208.0,13.0,4.8642,2071.7739,4292246.9943,278.0,5.0674
D,3616.0,3.3941,12.0,3448.0,3760.0,3612.0,12.0,3.3904,58.8815,3467.0302,4.0,0.1106,1235.0,6991.0,3420.0,12.0,3.1943,1389.4982,1930705.1429,196.0,5.4204
M,3558.0,3.3397,12.0,3458.0,3704.0,3561.0,12.0,3.3425,51.3373,2635.52,3.0,0.0843,1235.0,6991.0,3639.0,12.0,3.3988,1591.6055,2533207.9282,81.0,2.2766
C,3368.0,3.1613,12.0,3230.0,3476.0,3357.0,12.0,3.151,54.333,2952.08,11.0,0.3266,1235.0,6991.0,3409.0,12.0,3.184,1358.7528,1846209.182,41.0,1.2173
P,2897.0,2.7192,12.0,2738.0,2988.0,2883.0,12.0,2.7061,54.33,2951.7535,14.0,0.4833,1235.0,9887.0,2812.0,12.0,2.6264,1497.6428,2242934.0473,85.0,2.9341
V,1944.0,1.8247,11.0,1862.0,2036.0,1949.0,11.0,1.8294,41.2842,1704.3853,5.0,0.2572,873.0,4943.0,1988.0,11.0,1.8568,864.4884,747340.1224,44.0,2.2634
H,1689.0,1.5854,11.0,1618.0,1808.0,1696.0,11.0,1.592,37.3319,1393.6735,7.0,0.4144,617.0,3495.0,1669.0,11.0,1.5588,628.4275,394921.1118,20.0,1.1841
F,1284.0,1.2052,11.0,1206.0,1350.0,1293.0,11.0,1.2137,32.8581,1079.6555,9.0,0.7009,617.0,1747.0,1197.0,11.0,1.118,383.6894,147217.5935,87.0,6.7757
B,1234.0,1.1583,11.0,1146.0,1314.0,1228.0,11.0,1.1527,37.0369,1371.729,6.0,0.4862,617.0,3495.0,1285.0,11.0,1.2002,502.977,252985.8629,51.0,4.1329
G,1165.0,1.0935,11.0,1090.0,1222.0,1162.0,11.0,1.0907,32.1135,1031.2751,3.0,0.2575,436.0,2471.0,1265.0,11.0,1.1815,510.7702,260886.1588,100.0,8.5837
Q,1073.0,1.0072,11.0,1014.0,1142.0,1076.0,11.0,1.01,32.0765,1028.9045,3.0,0.2796,436.0,2471.0,1140.0,11.0,1.0648,482.2165,232532.7465,67.0,6.2442
J,904.0,0.8485,10.0,800.0,988.0,904.0,10.0,0.8485,38.4013,1474.6596,0.0,0.0,436.0,3495.0,996.0,10.0,0.9303,521.1959,271645.218,92.0,10.177
Y,759.0,0.7124,10.0,688.0,826.0,760.0,10.0,0.7134,30.8435,951.3208,1.0,0.1318,308.0,1747.0,745.0,10.0,0.6958,301.274,90766.0,14.0,1.8445
X,420.0,0.3942,9.0,378.0,472.0,422.0,9.0,0.3961,20.2661,410.7167,2.0,0.4762,153.0,1235.0,414.0,9.0,0.3867,206.9485,42827.6751,6.0,1.4286
Z,398.0,0.3736,9.0,350.0,454.0,396.0,9.0,0.3717,23.5565,554.9078,2.0,0.5025,153.0,1235.0,408.0,9.0,0.3811,216.0086,46659.718,10.0,2.5126
