letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,12083.0,15.6439,14.0,5924,6131,6034.0,13.0,15.6325,12068.0,54.0216,2918.3363,15.0,0.1241,22,27,24.0,5.0,5.2174,9887.0,1.2875,1.6576,2196.0,18.1743
N,7464.0,9.6636,13.0,3631,3816,3733.0,12.0,9.6712,7466.0,39.4123,1553.331,2.0,0.0268,20,24,22.0,5.0,4.7826,4943.0,0.9476,0.898,2521.0,33.7755
I,6684.0,8.6538,13.0,3279,3407,3340.0,12.0,8.6531,6680.0,33.6021,1129.1024,4.0,0.0598,19,25,22.0,5.0,4.7826,4943.0,1.2867,1.6555,1741.0,26.0473
R,5235.0,6.7778,13.0,2539,2674,2620.0,12.0,6.7877,5240.0,33.8253,1144.1486,5.0,0.0955,19,24,22.0,5.0,4.7826,4943.0,1.2036,1.4486,292.0,5.5778
H,4917.0,6.366,13.0,2372,2533,2453.0,12.0,6.3551,4906.0,38.7052,1498.0963,11.0,0.2237,20,24,21.0,5.0,4.5652,3495.0,1.0654,1.1351,1422.0,28.9201
T,4900.0,6.344,13.0,2371,2516,2449.0,12.0,6.3447,4898.0,34.1622,1167.0535,2.0,0.0408,19,25,21.0,5.0,4.5652,3495.0,1.2554,1.5759,1405.0,28.6735
S,4891.0,6.3324,13.0,2379,2525,2443.0,12.0,6.3292,4886.0,32.4106,1050.4445,5.0,0.1022,20,24,21.0,5.0,4.5652,3495.0,1.1528,1.329,1396.0,28.5422
A,3792.0,4.9095,12.0,1833,1969,1898.0,11.0,4.9172,3796.0,30.6954,942.2106,4.0,0.1055,19,25,21.0,5.0,4.5652,3495.0,1.3138,1.7261,297.0,7.8323
D,3757.0,4.8642,12.0,1831,1953,1883.0,11.0,4.8784,3766.0,26.9529,726.4592,9.0,0.2396,18,24,21.0,5.0,4.5652,3495.0,1.0947,1.1984,262.0,6.9736
L,3367.0,4.3593,12.0,1629,1746,1682.0,11.0,4.3576,3364.0,27.0502,731.7143,3.0,0.0891,19,24,20.0,5.0,4.3478,2471.0,1.1256,1.2669,896.0,26.6112
U,3228.0,4.1793,12.0,1545,1702,1614.0,11.0,4.1815,3228.0,34.0437,1158.9731,0.0,0.0,17,24,20.0,5.0,4.3478,2471.0,1.313,1.7241,757.0,23.4511
C,2897.0,3.7507,12.0,1395,1513,1450.0,11.0,3.7566,2900.0,25.9526,673.5384,3.0,0.1036,17,23,19.0,5.0,4.1304,1747.0,1.3991,1.9576,1150.0,39.6962
M,2598.0,3.3636,12.0,1236,1341,1291.0,11.0,3.3446,2582.0,24.6785,609.0306,16.0,0.6159,17,22,19.0,5.0,4.1304,1747.0,1.1704,1.3698,851.0,32.756
O,2015.0,2.6088,11.0,931,1072,1004.0,10.0,2.6011,2008.0,26.3466,694.1453,7.0,0.3474,16,22,18.0,5.0,3.913,1235.0,1.2349,1.5249,780.0,38.7097
G,1831.0,2.3706,11.0,863,948,911.0,10.0,2.3602,1822.0,20.8345,434.0751,9.0,0.4915,17,22,18.0,5.0,3.913,1235.0,1.148,1.318,596.0,32.5505
B,1551.0,2.0081,11.0,732,827,778.0,10.0,2.0156,1556.0,22.7181,516.1127,5.0,0.3224,16,21,18.0,5.0,3.913,1235.0,1.1988,1.4371,316.0,20.374
W,1503.0,1.9459,11.0,710,806,752.0,10.0,1.9482,1504.0,22.9103,524.8833,1.0,0.0665,16,21,18.0,5.0,3.913,1235.0,1.0616,1.1269,268.0,17.831
F,1164.0,1.507,11.0,532,626,579.0,10.0,1.5,1158.0,19.8364,393.4812,6.0,0.5155,15,21,17.0,5.0,3.6957,873.0,1.1683,1.3649,291.0,25.0
Z,950.0,1.23,10.0,464,511,482.0,9.0,1.2487,964.0,12.7513,162.5963,14.0,1.4737,15,19,16.0,4.0,3.4783,617.0,1.0812,1.169,333.0,35.0526
K,881.0,1.1406,10.0,410,466,438.0,9.0,1.1347,876.0,13.59,184.6873,5.0,0.5675,14,20,17.0,5.0,3.6957,873.0,1.14,1.2996,8.0,0.9081
P,594.0,0.7691,10.0,278,325,298.0,9.0,0.772,596.0,10.8728,118.2188,2.0,0.3367,14,19,15.0,4.0,3.2609,436.0,1.3001,1.6902,158.0,26.5993
V,499.0,0.6461,9.0,224,278,250.0,8.0,0.6477,500.0,10.8557,117.8453,1.0,0.2004,13,18,15.0,4.0,3.2609,436.0,1.4327,2.0527,63.0,12.6253
Y,198.0,0.2564,8.0,81,113,99.0,7.0,0.2565,198.0,6.2021,38.4657,0.0,0.0,10,16,12.0,4.0,2.6087,153.0,1.328,1.7637,45.0,22.7273
J,170.0,0.2201,8.0,70,98,85.0,7.0,0.2202,170.0,5.552,30.8249,0.0,0.0,10,14,12.0,4.0,2.6087,153.0,0.8722,0.7608,17.0,10.0
Q,65.0,0.0842,7.0,22,42,31.0,5.0,0.0803,62.0,3.6617,13.4078,3.0,4.6154,5,11,9.0,4.0,1.9565,53.0,1.0925,1.1935,12.0,18.4615
X,4.0,0.0052,2.0,0,4,2.0,1.0,0.0052,4.0,0.9161,0.8392,0.0,0.0,1,4,2.0,1.0,0.4348,3.0,0.8234,0.678,1.0,25.0
