letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,12083.0,15.6439,14.0,11848.0,12262.0,12068.0,14.0,15.6303,108.0433,11673.3453,15.0,0.1241,4943.0,27968.0,12289.0,14.0,15.7873,5824.9145,33929629.0943,206.0,1.7049
N,7464.0,9.6636,13.0,7262.0,7632.0,7466.0,13.0,9.6699,78.8246,6213.3241,2.0,0.0268,2471.0,9887.0,6853.0,13.0,8.8038,2076.6806,4312602.1224,611.0,8.186
I,6684.0,8.6538,13.0,6558.0,6814.0,6681.0,13.0,8.6531,67.2042,4516.4098,3.0,0.0449,1747.0,13983.0,7052.0,13.0,9.0595,3006.1132,9036716.5714,368.0,5.5057
R,5235.0,6.7778,13.0,5078.0,5348.0,5240.0,13.0,6.7868,67.6505,4576.5943,5.0,0.0955,1747.0,9887.0,5398.0,13.0,6.9346,2147.7259,4612726.3935,163.0,3.1137
H,4917.0,6.366,13.0,4744.0,5066.0,4906.0,13.0,6.3542,77.4105,5992.3853,11.0,0.2237,2471.0,9887.0,4831.0,13.0,6.2062,1832.8742,3359427.8139,86.0,1.749
T,4900.0,6.344,13.0,4742.0,5032.0,4898.0,13.0,6.3438,68.3243,4668.2139,2.0,0.0408,1747.0,13983.0,4837.0,13.0,6.2139,2314.7431,5358035.6506,63.0,1.2857
S,4891.0,6.3324,13.0,4758.0,5050.0,4887.0,13.0,6.3296,64.8211,4201.778,4.0,0.0818,2471.0,9887.0,4926.0,13.0,6.3283,2068.8852,4280285.9363,35.0,0.7156
A,3792.0,4.9095,12.0,3666.0,3938.0,3796.0,12.0,4.9165,61.3909,3768.8424,4.0,0.1055,1747.0,13983.0,4210.0,13.0,5.4085,2285.2289,5222271.1118,418.0,11.0232
D,3757.0,4.8642,12.0,3662.0,3906.0,3767.0,12.0,4.879,53.9058,2905.8367,10.0,0.2662,1235.0,9887.0,3959.0,12.0,5.086,1536.7357,2361556.5649,202.0,5.3766
L,3367.0,4.3593,12.0,3258.0,3492.0,3364.0,12.0,4.357,54.1004,2926.8571,3.0,0.0891,1747.0,9887.0,3442.0,12.0,4.4218,1598.2533,2554413.7208,75.0,2.2275
