letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,21743.0,13.6853,15.0,10703,11030,10873.0,14.0,13.6965,21746.0,82.4374,6795.9282,3.0,0.0138,24,29,26.0,5.0,5.2104,19776.0,1.1132,1.2392,1967.0,9.0466
A,17653.0,11.111,15.0,8687,8920,8810.0,14.0,11.0978,17620.0,64.0861,4107.0306,33.0,0.1869,23,28,25.0,5.0,5.01,13983.0,1.1856,1.4057,3670.0,20.7897
O,14901.0,9.3788,14.0,7292,7618,7450.0,13.0,9.3846,14900.0,61.5548,3788.9898,1.0,0.0067,23,29,25.0,5.0,5.01,13983.0,1.3242,1.7535,918.0,6.1607
S,12342.0,7.7682,14.0,6060,6262,6162.0,13.0,7.7622,12324.0,52.3053,2735.8465,18.0,0.1458,22,27,24.0,5.0,4.8096,9887.0,1.2415,1.5412,2455.0,19.8914
R,10964.0,6.9008,14.0,5396,5594,5492.0,13.0,6.9182,10984.0,44.4423,1975.1188,20.0,0.1824,21,26,23.0,5.0,4.6092,6991.0,1.2843,1.6494,3973.0,36.2368
N,10005.0,6.2972,14.0,4904,5123,5005.0,13.0,6.3047,10010.0,49.5861,2458.7771,5.0,0.05,21,27,23.0,5.0,4.6092,6991.0,1.1429,1.3061,3014.0,30.1249
I,9484.0,5.9693,14.0,4599,4857,4737.0,13.0,5.9671,9474.0,47.2144,2229.2004,10.0,0.1054,21,26,23.0,5.0,4.6092,6991.0,1.2454,1.551,2493.0,26.2864
L,8919.0,5.6137,14.0,4365,4591,4464.0,13.0,5.6232,8928.0,52.5515,2761.6608,9.0,0.1009,20,25,23.0,5.0,4.6092,6991.0,1.1421,1.3045,1928.0,21.6168
D,7622.0,4.7974,13.0,3707,3902,3807.0,12.0,4.7956,7614.0,41.7486,1742.9424,8.0,0.105,21,26,22.0,5.0,4.4088,4943.0,1.3323,1.7751,2679.0,35.1483
U,7385.0,4.6482,13.0,3601,3751,3688.0,12.0,4.6457,7376.0,39.2159,1537.8894,9.0,0.1219,20,26,22.0,5.0,4.4088,4943.0,1.2395,1.5363,2442.0,33.067
T,7224.0,4.5469,13.0,3488,3693,3602.0,12.0,4.5374,7204.0,37.6921,1420.6976,20.0,0.2769,20,27,22.0,5.0,4.4088,4943.0,1.3797,1.9037,2281.0,31.5753
C,6304.0,3.9678,13.0,3056,3230,3140.0,12.0,3.9554,6280.0,39.1987,1536.5343,24.0,0.3807,21,25,22.0,5.0,4.4088,4943.0,1.0102,1.0204,1361.0,21.5895
M,5392.0,3.3938,13.0,2623,2773,2692.0,12.0,3.3911,5384.0,30.9653,958.8494,8.0,0.1484,20,24,22.0,5.0,4.4088,4943.0,1.1132,1.2392,449.0,8.3272
P,3930.0,2.4736,12.0,1899,2042,1968.0,11.0,2.4791,3936.0,33.9293,1151.1955,6.0,0.1527,18,24,21.0,5.0,4.2084,3495.0,1.1669,1.3616,435.0,11.0687
H,2542.0,1.6,12.0,1217,1329,1269.0,11.0,1.5985,2538.0,27.5216,757.4404,4.0,0.1574,18,23,19.0,5.0,3.8076,1747.0,1.3607,1.8514,795.0,31.2746
Q,2208.0,1.3897,12.0,1064,1151,1105.0,11.0,1.392,2210.0,21.8805,478.7547,2.0,0.0906,17,21,19.0,5.0,3.8076,1747.0,1.0539,1.1106,461.0,20.8786
B,2000.0,1.2588,11.0,935,1039,998.0,10.0,1.2572,1996.0,20.3454,413.9363,4.0,0.2,16,23,18.0,5.0,3.6072,1235.0,1.2534,1.571,765.0,38.25
Y,1956.0,1.2311,11.0,933,1022,978.0,10.0,1.232,1956.0,18.4224,339.3861,0.0,0.0,16,22,18.0,5.0,3.6072,1235.0,1.237,1.5302,721.0,36.8609
V,1936.0,1.2185,11.0,934,1016,963.0,10.0,1.2131,1926.0,19.7189,388.8363,10.0,0.5165,16,21,19.0,5.0,3.8076,1747.0,1.2022,1.4453,189.0,9.7624
G,1803.0,1.1348,11.0,844,942,900.0,10.0,1.1337,1800.0,17.3357,300.5261,3.0,0.1664,17,20,18.0,5.0,3.6072,1235.0,0.9596,0.9208,568.0,31.5031
F,1079.0,0.6791,11.0,494,594,539.0,10.0,0.679,1078.0,19.1481,366.6486,1.0,0.0927,14,21,17.0,5.0,3.4068,873.0,1.2171,1.4812,206.0,19.0918
Z,653.0,0.411,10.0,295,364,327.0,9.0,0.4119,654.0,13.7706,189.6282,1.0,0.1531,14,19,15.0,4.0,3.006,436.0,1.2048,1.4514,217.0,33.2312
J,551.0,0.3468,10.0,241,308,276.0,9.0,0.3477,552.0,14.1493,200.2041,1.0,0.1815,11,17,15.0,4.0,3.006,436.0,1.2454,1.551,115.0,20.8711
X,274.0,0.1725,9.0,116,157,136.0,8.0,0.1713,272.0,8.8577,78.4592,2.0,0.7299,11,16,13.0,4.0,2.6052,217.0,1.192,1.4208,57.0,20.8029
K,5.0,0.0031,3.0,1,5,2.0,1.0,0.0025,4.0,1.0768,1.1596,1.0,20.0,2,5,3.0,2.0,0.6012,5.0,0.6893,0.4751,0.0,0.0
W,4.0,0.0025,2.0,0,4,2.0,1.0,0.0025,4.0,1.0467,1.0955,0.0,0.0,2,4,2.0,1.0,0.4008,3.0,0.7001,0.4902,1.0,25.0
