letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,21743.0,13.6853,15.0,21406.0,22060.0,21747.0,15.0,13.6958,164.8748,27183.7127,4.0,0.0184,9887.0,55937.0,22521.0,15.0,13.9393,9222.1149,85047403.22,778.0,3.5782
A,17653.0,11.111,15.0,17374.0,17840.0,17621.0,15.0,11.0973,128.1722,16428.1224,32.0,0.1813,6991.0,39553.0,19189.0,15.0,11.877,7889.7446,62248070.6106,1536.0,8.7011
O,14901.0,9.3788,14.0,14584.0,15236.0,14900.0,14.0,9.3837,123.1095,15155.9592,1.0,0.0067,6991.0,55937.0,15822.0,14.0,9.793,8471.4414,71765318.9208,921.0,6.1808
S,12342.0,7.7682,14.0,12120.0,12524.0,12325.0,14.0,7.762,104.6106,10943.3861,17.0,0.1377,4943.0,27968.0,12282.0,14.0,7.6019,5622.4085,31611477.6098,60.0,0.4861
R,10964.0,6.9008,14.0,10792.0,11188.0,10984.0,14.0,6.9175,88.8846,7900.4751,20.0,0.1824,3495.0,19776.0,10611.0,14.0,6.5676,4446.0801,19767628.0037,353.0,3.2196
N,10005.0,6.2972,14.0,9808.0,10246.0,10011.0,14.0,6.3047,99.1721,9835.1086,6.0,0.06,3495.0,27968.0,9989.0,14.0,6.1827,4373.882,19130843.4796,16.0,0.1599
I,9484.0,5.9693,14.0,9198.0,9714.0,9475.0,14.0,5.9672,94.4288,8916.8016,9.0,0.0949,3495.0,19776.0,10093.0,14.0,6.247,4387.1825,19247370.4363,609.0,6.4213
L,8919.0,5.6137,14.0,8730.0,9182.0,8929.0,14.0,5.6233,105.103,11046.6433,10.0,0.1121,2471.0,13983.0,7614.0,13.0,4.7127,2814.7769,7922969.182,1305.0,14.6317
D,7622.0,4.7974,13.0,7414.0,7804.0,7615.0,13.0,4.7958,83.4971,6971.7698,7.0,0.0918,3495.0,19776.0,7712.0,13.0,4.7733,3689.1822,13610065.078,90.0,1.1808
U,7385.0,4.6482,13.0,7202.0,7502.0,7377.0,13.0,4.6459,78.4319,6151.5576,8.0,0.1083,2471.0,19776.0,7364.0,13.0,4.5579,3515.3379,12357600.3265,21.0,0.2844
T,7224.0,4.5469,13.0,6976.0,7386.0,7205.0,13.0,4.5376,75.3843,5682.7902,19.0,0.263,2471.0,27968.0,7569.0,13.0,4.6848,4411.751,19463546.449,345.0,4.7757
C,6304.0,3.9678,13.0,6112.0,6460.0,6280.0,13.0,3.955,78.3973,6146.1371,24.0,0.3807,3495.0,13983.0,6478.0,13.0,4.0095,2459.3334,6048320.8882,174.0,2.7602
M,5392.0,3.3938,13.0,5246.0,5546.0,5384.0,13.0,3.3907,61.9306,3835.3976,8.0,0.1484,2471.0,9887.0,5613.0,13.0,3.4741,2149.361,4619752.5159,221.0,4.0987
P,3930.0,2.4736,12.0,3798.0,4084.0,3937.0,12.0,2.4794,67.8585,4604.782,7.0,0.1781,1235.0,9887.0,4002.0,12.0,2.477,1679.0465,2819197.1527,72.0,1.8321
H,2542.0,1.6,12.0,2434.0,2658.0,2539.0,12.0,1.599,55.0433,3029.7616,3.0,0.118,1235.0,6991.0,2618.0,12.0,1.6204,1360.3449,1850538.1159,76.0,2.9898
Q,2208.0,1.3897,12.0,2128.0,2302.0,2211.0,12.0,1.3924,43.7609,1915.0188,3.0,0.1359,873.0,3495.0,2185.0,12.0,1.3524,790.4903,624874.9861,23.0,1.0417
B,2000.0,1.2588,11.0,1870.0,2078.0,1996.0,11.0,1.257,40.6909,1655.7453,4.0,0.2,617.0,6991.0,1916.0,11.0,1.1859,1012.2934,1024738.0261,84.0,4.2
Y,1956.0,1.2311,11.0,1866.0,2044.0,1956.0,11.0,1.2318,36.8449,1357.5445,0.0,0.0,617.0,4943.0,1897.0,11.0,1.1741,842.5601,709907.5004,59.0,3.0164
V,1936.0,1.2185,11.0,1868.0,2032.0,1927.0,11.0,1.2136,39.4379,1555.3453,9.0,0.4649,617.0,3495.0,1938.0,11.0,1.1995,801.8985,643041.1429,2.0,0.1033
G,1803.0,1.1348,11.0,1688.0,1884.0,1801.0,11.0,1.1342,34.6714,1202.1045,2.0,0.1109,873.0,2471.0,1693.0,11.0,1.0479,532.0982,283128.4898,110.0,6.1009
F,1079.0,0.6791,11.0,988.0,1188.0,1078.0,11.0,0.6789,38.2961,1466.5943,1.0,0.0927,308.0,3495.0,1030.0,11.0,0.6375,493.9407,243977.4433,49.0,4.5412
Z,653.0,0.411,10.0,590.0,728.0,654.0,10.0,0.4119,27.5411,758.5127,1.0,0.1531,308.0,1747.0,621.0,10.0,0.3844,290.5254,84404.98,32.0,4.9005
J,551.0,0.3468,10.0,482.0,616.0,552.0,10.0,0.3476,28.2987,800.8163,1.0,0.1815,108.0,873.0,541.0,10.0,0.3348,195.6982,38297.7731,10.0,1.8149
X,274.0,0.1725,9.0,232.0,314.0,273.0,9.0,0.1719,17.7154,313.8367,1.0,0.365,108.0,617.0,258.0,9.0,0.1597,112.0605,12557.5612,16.0,5.8394
K,5.0,0.0031,3.0,2.0,10.0,5.0,3.0,0.0031,2.1537,4.6384,0.0,0.0,3.0,12.0,5.0,3.0,0.0031,1.8867,3.5596,0.0,0.0
W,4.0,0.0025,2.0,0.0,8.0,4.0,2.0,0.0025,2.0933,4.382,0.0,0.0,3.0,8.0,4.0,2.0,0.0025,1.7173,2.949,0.0,0.0
