letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,37206.0,16.03,16.0,18442,18864,18603.0,15.0,16.034,37206.0,95.3841,9098.1261,0.0,0.0,25,31,27.0,5.0,4.9724,27968.0,1.1373,1.2935,9238.0,24.8293
S,19107.0,8.2321,15.0,9461,9711,9545.0,14.0,8.2269,19090.0,58.3153,3400.671,17.0,0.089,24,28,25.0,5.0,4.6041,13983.0,1.1265,1.269,5124.0,26.8174
A,17165.0,7.3954,15.0,8377,8737,8592.0,14.0,7.4055,17184.0,68.1997,4651.1935,19.0,0.1107,23,27,25.0,5.0,4.6041,13983.0,1.0093,1.0188,3182.0,18.5377
N,17093.0,7.3644,15.0,8451,8694,8551.0,14.0,7.3702,17102.0,54.9688,3021.5657,9.0,0.0527,23,28,25.0,5.0,4.6041,13983.0,1.1373,1.2935,3110.0,18.1946
T,16625.0,7.1628,15.0,8170,8507,8317.0,14.0,7.1685,16634.0,71.0741,5051.5282,9.0,0.0541,23,28,25.0,5.0,4.6041,13983.0,1.198,1.4351,2642.0,15.8917
I,16156.0,6.9607,14.0,7885,8172,8062.0,13.0,6.9487,16124.0,55.6075,3092.1963,32.0,0.1981,23,27,25.0,5.0,4.6041,13983.0,1.088,1.1837,2173.0,13.4501
R,16095.0,6.9344,14.0,7880,8180,8036.0,13.0,6.9263,16072.0,70.0424,4905.9331,23.0,0.1429,23,28,25.0,5.0,4.6041,13983.0,1.3045,1.7016,2112.0,13.1221
U,15095.0,6.5036,14.0,7440,7658,7539.0,13.0,6.4979,15078.0,57.4872,3304.7755,17.0,0.1126,22,28,25.0,5.0,4.6041,13983.0,1.0467,1.0955,1112.0,7.3667
O,14899.0,6.4191,14.0,7303,7553,7445.0,13.0,6.4169,14890.0,59.3971,3528.02,9.0,0.0604,21,28,25.0,5.0,4.6041,13983.0,1.2349,1.5249,916.0,6.1481
L,12997.0,5.5997,14.0,6396,6621,6495.0,13.0,5.5981,12990.0,52.9695,2805.7698,7.0,0.0539,22,27,24.0,5.0,4.4199,9887.0,1.2196,1.4873,3110.0,23.9286
M,8000.0,3.4467,13.0,3894,4136,3999.0,12.0,3.4468,7998.0,47.5236,2258.4963,2.0,0.025,21,25,23.0,5.0,4.2357,6991.0,0.9258,0.8571,1009.0,12.6125
D,7681.0,3.3093,13.0,3750,3926,3842.0,12.0,3.3114,7684.0,38.1593,1456.131,3.0,0.0391,20,26,23.0,5.0,4.2357,6991.0,1.0428,1.0873,690.0,8.9832
C,7210.0,3.1064,13.0,3513,3709,3612.0,12.0,3.1132,7224.0,41.8179,1748.7363,14.0,0.1942,20,26,22.0,5.0,4.0516,4943.0,1.4033,1.9694,2267.0,31.4424
P,6590.0,2.8393,13.0,3203,3343,3283.0,12.0,2.8296,6566.0,37.1409,1379.4433,24.0,0.3642,20,25,22.0,5.0,4.0516,4943.0,1.019,1.0384,1647.0,24.9924
V,4193.0,1.8065,13.0,2044,2174,2096.0,12.0,1.8066,4192.0,33.5401,1124.9388,1.0,0.0238,19,24,21.0,5.0,3.8674,3495.0,1.1808,1.3943,698.0,16.6468
Q,2891.0,1.2456,12.0,1390,1512,1449.0,11.0,1.2489,2898.0,26.7446,715.2751,7.0,0.2421,17,23,20.0,5.0,3.6832,2471.0,1.2513,1.5657,420.0,14.5278
H,2808.0,1.2098,12.0,1333,1446,1400.0,11.0,1.2067,2800.0,24.868,618.4184,8.0,0.2849,18,23,20.0,5.0,3.6832,2471.0,1.1112,1.2347,337.0,12.0014
F,2401.0,1.0345,12.0,1130,1247,1198.0,11.0,1.0326,2396.0,23.0051,529.2343,5.0,0.2082,17,23,19.0,5.0,3.4991,1747.0,1.2578,1.582,654.0,27.2387
G,2235.0,0.9629,12.0,1066,1157,1119.0,11.0,0.9645,2238.0,20.3559,414.3608,3.0,0.1342,17,21,19.0,5.0,3.4991,1747.0,1.0224,1.0453,488.0,21.8345
B,1936.0,0.8341,11.0,921,1013,971.0,10.0,0.8369,1942.0,18.2881,334.4555,6.0,0.3099,16,23,19.0,5.0,3.4991,1747.0,1.4377,2.0669,189.0,9.7624
J,1333.0,0.5743,11.0,641,702,670.0,10.0,0.5775,1340.0,15.7201,247.12,7.0,0.5251,16,21,18.0,5.0,3.3149,1235.0,1.1156,1.2445,98.0,7.3518
X,784.0,0.3378,10.0,346,420,391.0,9.0,0.337,782.0,13.8961,193.102,2.0,0.2551,14,20,16.0,4.0,2.9466,617.0,1.088,1.1837,167.0,21.301
Z,736.0,0.3171,10.0,333,396,369.0,9.0,0.318,738.0,14.3851,206.931,2.0,0.2717,13,20,16.0,4.0,2.9466,617.0,1.3024,1.6963,119.0,16.1685
Y,627.0,0.2701,10.0,289,340,318.0,9.0,0.2741,636.0,12.181,148.3776,9.0,1.4354,13,18,15.0,4.0,2.7624,436.0,1.3704,1.878,191.0,30.4625
K,205.0,0.0883,8.0,78,121,103.0,7.0,0.0888,206.0,7.0918,50.2943,1.0,0.4878,11,16,12.0,4.0,2.2099,153.0,1.2196,1.4873,52.0,25.3659
W,35.0,0.0151,6.0,12,27,17.0,5.0,0.0147,34.0,3.1252,9.7669,1.0,2.8571,6,10,7.0,3.0,1.2891,26.0,1.0616,1.1269,9.0,25.7143
