letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,37206.0,16.03,16.0,36884.0,37728.0,37207.0,16.0,16.0332,190.7682,36392.5045,1.0,0.0027,13983.0,111875.0,40097.0,16.0,17.1553,16704.5399,279041652.6486,2891.0,7.7703
S,19107.0,8.2321,15.0,18922.0,19422.0,19091.0,15.0,8.2267,116.6305,13602.6841,16.0,0.0837,9887.0,39553.0,18475.0,15.0,7.9045,7792.8372,60728312.3282,632.0,3.3077
A,17165.0,7.3954,15.0,16754.0,17474.0,17184.0,15.0,7.4049,136.3993,18604.7739,19.0,0.1107,6991.0,27968.0,15041.0,14.0,6.4352,5246.0398,27520933.9629,2124.0,12.374
N,17093.0,7.3644,15.0,16902.0,17388.0,17103.0,15.0,7.37,109.9375,12086.2629,10.0,0.0585,6991.0,39553.0,16160.0,14.0,6.914,7332.2234,53761500.7118,933.0,5.4584
T,16625.0,7.1628,15.0,16340.0,17014.0,16635.0,15.0,7.1683,142.1482,20206.1127,10.0,0.0602,6991.0,39553.0,17722.0,15.0,7.5823,7590.3604,57613570.4261,1097.0,6.5985
I,16156.0,6.9607,14.0,15770.0,16344.0,16125.0,14.0,6.9486,111.215,12368.7853,31.0,0.1919,6991.0,27968.0,16030.0,14.0,6.8584,5837.9588,34081763.4384,126.0,0.7799
R,16095.0,6.9344,14.0,15760.0,16360.0,16072.0,14.0,6.9257,140.0847,19623.7322,23.0,0.1429,6991.0,39553.0,16464.0,15.0,7.0441,7785.4412,60613095.2004,369.0,2.2926
U,15095.0,6.5036,14.0,14880.0,15316.0,15078.0,14.0,6.4974,114.9744,13219.102,17.0,0.1126,4943.0,39553.0,15314.0,14.0,6.552,5704.7609,32544296.6351,219.0,1.4508
O,14899.0,6.4191,14.0,14606.0,15106.0,14891.0,14.0,6.4168,118.7943,14112.08,8.0,0.0537,3495.0,39553.0,16124.0,14.0,6.8986,6943.5004,48212197.7453,1225.0,8.222
L,12997.0,5.5997,14.0,12792.0,13242.0,12990.0,14.0,5.5976,105.939,11223.0792,7.0,0.0539,4943.0,27968.0,13609.0,14.0,5.8226,5521.51,30487072.5714,612.0,4.7088
M,8000.0,3.4467,13.0,7788.0,8272.0,7999.0,13.0,3.4469,95.0473,9033.9853,1.0,0.0125,3495.0,13983.0,7876.0,13.0,3.3697,2552.1359,6513397.6555,124.0,1.55
D,7681.0,3.3093,13.0,7500.0,7852.0,7685.0,13.0,3.3116,76.3186,5824.5241,4.0,0.0521,2471.0,19776.0,7772.0,13.0,3.3252,2967.4061,8805499.1939,91.0,1.1847
C,7210.0,3.1064,13.0,7026.0,7418.0,7225.0,13.0,3.1134,83.6358,6994.9453,15.0,0.208,2471.0,19776.0,6613.0,13.0,2.8293,3461.0654,11978973.9106,597.0,8.2802
P,6590.0,2.8393,13.0,6406.0,6686.0,6566.0,13.0,2.8294,74.2817,5517.7731,24.0,0.3642,2471.0,13983.0,5873.0,13.0,2.5127,2167.7086,4698960.4833,717.0,10.8801
V,4193.0,1.8065,13.0,4088.0,4348.0,4193.0,13.0,1.8068,67.0802,4499.7551,0.0,0.0,1747.0,9887.0,4415.0,13.0,1.8889,1815.1124,3294633.0384,222.0,5.2945
Q,2891.0,1.2456,12.0,2780.0,3024.0,2899.0,12.0,1.2492,53.4893,2861.1004,8.0,0.2767,873.0,6991.0,2863.0,12.0,1.2249,1273.5584,1621951.0873,28.0,0.9685
H,2808.0,1.2098,12.0,2666.0,2892.0,2801.0,12.0,1.207,49.736,2473.6735,7.0,0.2493,1235.0,6991.0,2950.0,12.0,1.2621,1183.0033,1399496.9078,142.0,5.057
F,2401.0,1.0345,12.0,2260.0,2494.0,2397.0,12.0,1.0329,46.0102,2116.9371,4.0,0.1666,873.0,6991.0,2399.0,12.0,1.0264,1129.4697,1275701.7616,2.0,0.0833
G,2235.0,0.9629,12.0,2132.0,2314.0,2239.0,12.0,0.9648,40.7117,1657.4433,4.0,0.179,873.0,3495.0,2089.0,12.0,0.8938,739.3725,546671.7535,146.0,6.5324
B,1936.0,0.8341,11.0,1842.0,2026.0,1943.0,11.0,0.8373,36.5762,1337.822,7.0,0.3616,617.0,6991.0,2091.0,12.0,0.8946,1338.8601,1792546.2596,155.0,8.0062
J,1333.0,0.5743,11.0,1282.0,1404.0,1341.0,11.0,0.5779,31.4401,988.48,8.0,0.6002,617.0,3495.0,1346.0,11.0,0.5759,608.1904,369895.5494,13.0,0.9752
X,784.0,0.3378,10.0,692.0,840.0,782.0,10.0,0.337,27.7922,772.4082,2.0,0.2551,308.0,2471.0,764.0,10.0,0.3269,347.3511,120652.7873,20.0,2.551
Z,736.0,0.3171,10.0,666.0,792.0,738.0,10.0,0.318,28.7702,827.7241,2.0,0.2717,217.0,2471.0,741.0,10.0,0.317,368.8158,136025.0714,5.0,0.6793
Y,627.0,0.2701,10.0,578.0,680.0,636.0,10.0,0.2741,24.3621,593.5102,9.0,1.4354,217.0,1235.0,653.0,10.0,0.2794,300.2243,90134.6078,26.0,4.1467
K,205.0,0.0883,8.0,156.0,242.0,207.0,8.0,0.0892,14.1837,201.1771,2.0,0.9756,108.0,617.0,213.0,8.0,0.0911,105.2636,11080.4331,8.0,3.9024
W,35.0,0.0151,6.0,24.0,54.0,35.0,6.0,0.0151,6.2504,39.0678,0.0,0.0,18.0,76.0,35.0,6.0,0.015,14.039,197.0943,0.0,0.0
