letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,28300.0,17.0757,15.0,13957,14362,14154.0,14.0,17.0839,28308.0,90.9694,8275.4286,8.0,0.0283,25,29,26.0,5.0,5.1181,19776.0,1.0373,1.0759,8524.0,30.1201
N,17178.0,10.3649,15.0,8451,8783,8590.0,14.0,10.3681,17180.0,66.745,4454.9016,2.0,0.0116,23,29,25.0,5.0,4.9213,13983.0,1.3254,1.7567,3195.0,18.5994
I,13710.0,8.2723,14.0,6729,7016,6858.0,13.0,8.2776,13716.0,68.4242,4681.8776,6.0,0.0438,22,27,24.0,5.0,4.7244,9887.0,1.3056,1.7045,3823.0,27.8848
R,11479.0,6.9262,14.0,5589,5854,5731.0,13.0,6.9173,11462.0,62.2683,3877.3473,17.0,0.1481,22,27,24.0,5.0,4.7244,9887.0,1.2122,1.4694,1592.0,13.8688
S,10736.0,6.4779,14.0,5280,5483,5373.0,13.0,6.4852,10746.0,51.2881,2630.4718,10.0,0.0931,21,26,23.0,5.0,4.5276,6991.0,0.9906,0.9812,3745.0,34.8826
H,10050.0,6.064,14.0,4912,5101,5026.0,13.0,6.0664,10052.0,45.6316,2082.2404,2.0,0.0199,22,26,23.0,5.0,4.5276,6991.0,1.1606,1.3469,3059.0,30.4378
T,9775.0,5.898,14.0,4749,5011,4889.0,13.0,5.901,9778.0,57.4067,3295.5331,3.0,0.0307,21,27,23.0,5.0,4.5276,6991.0,1.4205,2.018,2784.0,28.4808
A,8630.0,5.2072,14.0,4174,4486,4326.0,13.0,5.2215,8652.0,57.4058,3295.4269,22.0,0.2549,21,27,23.0,5.0,4.5276,6991.0,1.4033,1.9694,1639.0,18.9919
D,7670.0,4.6279,13.0,3706,3937,3835.0,12.0,4.6288,7670.0,44.2813,1960.8363,0.0,0.0,20,26,23.0,5.0,4.5276,6991.0,1.3403,1.7963,679.0,8.8527
L,6762.0,4.0801,13.0,3282,3489,3374.0,12.0,4.0724,6748.0,43.6786,1907.822,14.0,0.207,20,25,22.0,5.0,4.3307,4943.0,1.1457,1.3127,1819.0,26.9003
U,6266.0,3.7808,13.0,3048,3211,3127.0,12.0,3.7743,6254.0,34.4353,1185.7882,12.0,0.1915,21,25,22.0,5.0,4.3307,4943.0,1.1082,1.2282,1323.0,21.1139
G,5422.0,3.2715,13.0,2643,2773,2717.0,12.0,3.2794,5434.0,35.7207,1275.9694,12.0,0.2213,19,25,22.0,5.0,4.3307,4943.0,1.2784,1.6343,479.0,8.8344
C,5209.0,3.143,13.0,2529,2671,2597.0,12.0,3.1346,5194.0,34.9801,1223.6065,15.0,0.288,20,24,21.0,5.0,4.1339,3495.0,1.1516,1.3261,1714.0,32.9046
M,4916.0,2.9662,13.0,2346,2523,2453.0,12.0,2.9608,4906.0,36.2726,1315.6984,10.0,0.2034,19,24,21.0,5.0,4.1339,3495.0,1.0882,1.1841,1421.0,28.9056
O,4429.0,2.6724,13.0,2136,2298,2218.0,12.0,2.6771,4436.0,38.5703,1487.6718,7.0,0.158,19,24,21.0,5.0,4.1339,3495.0,1.028,1.0567,934.0,21.0883
W,3254.0,1.9634,12.0,1553,1691,1625.0,11.0,1.9614,3250.0,29.0343,842.9898,4.0,0.1229,18,23,20.0,5.0,3.937,2471.0,1.1205,1.2555,783.0,24.0627
B,3086.0,1.862,12.0,1480,1589,1539.0,11.0,1.8576,3078.0,27.0068,729.3669,8.0,0.2592,17,23,20.0,5.0,3.937,2471.0,1.3708,1.8792,615.0,19.9287
F,2220.0,1.3395,12.0,1065,1146,1105.0,11.0,1.3337,2210.0,19.2608,370.9796,10.0,0.4505,17,22,19.0,5.0,3.7402,1747.0,1.2976,1.6837,473.0,21.3063
K,1999.0,1.2062,11.0,944,1060,997.0,10.0,1.2034,1994.0,24.0077,576.371,5.0,0.2501,17,21,19.0,5.0,3.7402,1747.0,1.0784,1.1629,252.0,12.6063
Z,1758.0,1.0607,11.0,832,932,879.0,10.0,1.061,1758.0,22.1457,490.4331,0.0,0.0,16,21,18.0,5.0,3.5433,1235.0,1.1761,1.3833,523.0,29.7497
V,1238.0,0.747,11.0,583,651,618.0,10.0,0.7459,1236.0,18.1583,329.7245,2.0,0.1616,15,21,17.0,5.0,3.3465,873.0,1.1147,1.2424,365.0,29.483
P,876.0,0.5286,10.0,398,472,435.0,9.0,0.525,870.0,15.0919,227.7653,6.0,0.6849,15,18,16.0,4.0,3.1496,617.0,0.9258,0.8571,259.0,29.5662
Y,517.0,0.3119,10.0,237,284,259.0,9.0,0.3126,518.0,11.7112,137.1514,1.0,0.1934,13,18,15.0,4.0,2.9528,436.0,1.1634,1.3535,81.0,15.6673
J,224.0,0.1352,8.0,95,128,112.0,7.0,0.1352,224.0,7.0418,49.5873,0.0,0.0,10,16,12.0,4.0,2.3622,153.0,1.3486,1.8188,71.0,31.6964
X,18.0,0.0109,5.0,4,14,8.0,3.0,0.0097,16.0,2.1217,4.5016,2.0,11.1111,4,8,5.0,3.0,0.9843,12.0,0.9116,0.831,6.0,33.3333
Q,11.0,0.0066,4.0,3,10,5.0,3.0,0.006,10.0,1.6507,2.7249,1.0,9.0909,3,7,4.0,2.0,0.7874,8.0,0.833,0.6939,3.0,27.2727
