letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,28300.0,17.0757,15.0,27914.0,28724.0,28309.0,15.0,17.083,181.9388,33101.7143,9.0,0.0318,13983.0,55937.0,28146.0,15.0,16.7942,9875.1226,97518047.0731,154.0,0.5442
N,17178.0,10.3649,15.0,16902.0,17566.0,17180.0,15.0,10.3673,133.4901,17819.6065,2.0,0.0116,6991.0,55937.0,17231.0,15.0,10.2814,9440.0593,89114719.3065,53.0,0.3085
I,13710.0,8.2723,14.0,13458.0,14032.0,13717.0,14.0,8.2775,136.8485,18727.5102,7.0,0.0511,4943.0,27968.0,13647.0,14.0,8.1429,6356.4652,40404649.982,63.0,0.4595
R,11479.0,6.9262,14.0,11178.0,11708.0,11462.0,14.0,6.9167,124.5367,15509.3894,17.0,0.1481,4943.0,27968.0,12408.0,14.0,7.4036,5517.0246,30437560.3776,929.0,8.093
S,10736.0,6.4779,14.0,10560.0,10966.0,10746.0,14.0,6.4847,102.5763,10521.8873,10.0,0.0931,3495.0,19776.0,9497.0,14.0,5.6667,3308.4042,10945538.0637,1239.0,11.5406
H,10050.0,6.064,14.0,9824.0,10202.0,10052.0,14.0,6.0659,91.2631,8328.9616,2.0,0.0199,4943.0,19776.0,9994.0,14.0,5.9632,4157.3229,17283334.0833,56.0,0.5572
T,9775.0,5.898,14.0,9498.0,10022.0,9778.0,14.0,5.9005,114.8135,13182.1322,3.0,0.0307,3495.0,27968.0,10071.0,14.0,6.0092,5780.9044,33418856.2143,296.0,3.0281
A,8630.0,5.2072,14.0,8348.0,8972.0,8652.0,14.0,5.221,114.8116,13181.7078,22.0,0.2549,3495.0,27968.0,10025.0,14.0,5.9817,5160.1831,26627489.3718,1395.0,16.1645
D,7670.0,4.6279,13.0,7412.0,7874.0,7670.0,13.0,4.6285,88.5627,7843.3453,0.0,0.0,2471.0,19776.0,8174.0,13.0,4.8773,4089.2004,16721560.2143,504.0,6.5711
L,6762.0,4.0801,13.0,6564.0,6978.0,6749.0,13.0,4.0727,87.3572,7631.2882,13.0,0.1923,2471.0,13983.0,6478.0,13.0,3.8653,2607.0252,6796580.1535,284.0,4.1999
U,6266.0,3.7808,13.0,6096.0,6422.0,6255.0,13.0,3.7746,68.8705,4743.1527,11.0,0.1756,3495.0,13983.0,6519.0,13.0,3.8898,2738.6925,7500436.7935,253.0,4.0377
G,5422.0,3.2715,13.0,5286.0,5546.0,5434.0,13.0,3.2791,71.4414,5103.8776,12.0,0.2213,1747.0,13983.0,5973.0,13.0,3.564,2606.9088,6795973.3878,551.0,10.1623
C,5209.0,3.143,13.0,5058.0,5342.0,5195.0,13.0,3.1349,69.9602,4894.4261,14.0,0.2688,2471.0,9887.0,5305.0,13.0,3.1654,2137.1233,4567296.1045,96.0,1.843
M,4916.0,2.9662,13.0,4692.0,5046.0,4907.0,13.0,2.9611,72.5451,5262.7935,9.0,0.1831,1747.0,9887.0,5047.0,13.0,3.0114,1934.0983,3740736.32,131.0,2.6648
O,4429.0,2.6724,13.0,4272.0,4596.0,4437.0,13.0,2.6775,77.1407,5950.6873,8.0,0.1806,1747.0,9887.0,4246.0,13.0,2.5335,1594.3887,2542075.1935,183.0,4.1319
W,3254.0,1.9634,12.0,3106.0,3382.0,3251.0,12.0,1.9618,58.0686,3371.9592,3.0,0.0922,1235.0,6991.0,3319.0,12.0,1.9804,1311.0624,1718884.578,65.0,1.9975
B,3086.0,1.862,12.0,2960.0,3178.0,3078.0,12.0,1.8574,54.0136,2917.4678,8.0,0.2592,873.0,6991.0,3020.0,12.0,1.802,1347.2712,1815139.5984,66.0,2.1387
F,2220.0,1.3395,12.0,2130.0,2292.0,2211.0,12.0,1.3342,38.5217,1483.9184,9.0,0.4054,873.0,4943.0,2139.0,12.0,1.2763,969.0318,939022.6939,81.0,3.6486
K,1999.0,1.2062,11.0,1888.0,2120.0,1994.0,11.0,1.2033,48.0155,2305.4841,5.0,0.2501,873.0,3495.0,1881.0,11.0,1.1224,696.8218,485560.5698,118.0,5.903
Z,1758.0,1.0607,11.0,1664.0,1864.0,1759.0,11.0,1.0615,44.2914,1961.7322,1.0,0.0569,617.0,3495.0,1659.0,11.0,0.9899,689.0192,474747.4286,99.0,5.6314
V,1238.0,0.747,11.0,1166.0,1302.0,1237.0,11.0,0.7465,36.3166,1318.898,1.0,0.0808,436.0,3495.0,1193.0,11.0,0.7118,520.7901,271222.3384,45.0,3.6349
P,876.0,0.5286,10.0,796.0,944.0,871.0,10.0,0.5256,30.1838,911.0612,5.0,0.5708,436.0,1235.0,796.0,10.0,0.475,236.432,55900.069,80.0,9.1324
Y,517.0,0.3119,10.0,474.0,568.0,518.0,10.0,0.3126,23.4223,548.6057,1.0,0.1934,217.0,1235.0,575.0,10.0,0.3431,248.7801,61891.551,58.0,11.2186
J,224.0,0.1352,8.0,190.0,256.0,224.0,8.0,0.1352,14.0837,198.3494,0.0,0.0,76.0,617.0,224.0,8.0,0.1337,123.9012,15351.5102,0.0,0.0
X,18.0,0.0109,5.0,8.0,28.0,17.0,5.0,0.0103,4.2434,18.0065,1.0,5.5556,8.0,37.0,17.0,5.0,0.0101,6.1106,37.3392,1.0,5.5556
Q,11.0,0.0066,4.0,6.0,20.0,11.0,4.0,0.0066,3.3015,10.8996,0.0,0.0,5.0,26.0,10.0,4.0,0.006,4.0015,16.0118,1.0,9.0909
