letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,24,25,23,23,25,23,24,25,25,25,22,22,25,24,22,23,24,25,24,25,24,25,23,22,23,23,23,25,28,23,24,24,26,25,21,23,24,22,24,23,24,23,23,24,21,23,23,23,23,24,21,28,23.0,5.0109,1.2848,1.6506,6991.0
A,24,23,21,23,20,21,22,21,23,23,21,21,22,21,19,20,23,21,22,23,23,22,22,25,20,21,21,23,21,24,22,21,21,21,23,24,23,21,22,24,22,22,24,23,25,22,24,22,21,23,19,25,22.0,4.793,1.3498,1.822,4943.0
T,22,24,22,22,22,24,21,23,22,23,22,24,23,23,21,21,23,22,22,21,22,25,23,23,22,19,22,23,22,22,22,23,23,23,20,22,23,21,22,23,22,23,23,24,23,21,22,23,22,22,19,25,22.0,4.793,1.0616,1.1269,4943.0
I,22,22,23,22,22,21,22,22,22,24,21,23,20,21,21,20,23,21,22,22,21,22,21,20,20,22,21,19,22,20,20,21,23,22,23,21,21,23,23,22,21,22,21,23,22,22,21,22,23,21,19,24,21.0,4.5752,1.0476,1.0976,3495.0
S,23,22,21,20,21,23,23,22,22,23,22,22,21,20,20,20,21,22,20,21,21,22,23,21,22,22,22,21,22,24,21,22,21,23,20,22,20,21,22,20,22,21,19,20,22,21,21,20,22,19,19,24,21.0,4.5752,1.1205,1.2555,3495.0
R,22,20,23,23,22,20,21,20,22,18,20,21,21,21,21,22,23,20,23,21,22,21,21,21,22,22,23,22,21,22,22,26,22,21,21,23,22,20,21,21,20,20,21,23,21,22,22,22,21,22,18,26,21.0,4.5752,1.2329,1.52,3495.0
N,21,21,20,23,24,21,23,20,22,22,22,23,22,22,23,20,23,21,24,21,22,20,22,23,22,22,22,23,23,23,22,22,22,21,20,22,23,22,18,22,23,21,23,22,21,21,22,23,22,23,18,24,21.0,4.5752,1.165,1.3571,3495.0
H,22,21,24,21,23,20,20,20,20,22,23,20,22,21,20,22,23,20,22,22,23,20,20,22,20,22,21,20,23,23,23,22,21,22,22,22,20,22,22,21,21,21,22,23,21,19,23,23,24,22,19,24,21.0,4.5752,1.2316,1.5167,3495.0
O,23,22,20,21,21,20,22,22,22,22,24,23,20,23,20,21,24,23,22,22,20,22,22,22,22,21,21,22,22,22,23,21,24,22,24,23,23,22,22,20,22,22,22,22,21,21,20,22,23,21,20,24,21.0,4.5752,1.1068,1.2249,3495.0
L,20,21,20,19,21,19,20,21,21,22,23,20,20,21,20,20,22,21,23,18,20,23,20,23,22,18,20,23,20,18,21,18,23,21,21,20,22,20,21,20,21,20,21,20,22,21,20,19,22,18,18,23,20.0,4.3573,1.3997,1.9592,2471.0
D,20,22,20,18,20,21,22,19,18,19,21,19,19,20,19,23,21,19,20,20,21,20,19,20,19,21,18,21,19,20,19,20,20,21,22,20,18,19,20,20,18,20,20,20,18,20,20,19,21,21,18,23,19.0,4.1394,1.1542,1.3322,1747.0
U,19,19,17,18,21,20,20,20,19,21,20,22,21,19,22,20,17,19,23,21,20,21,18,20,19,17,20,20,19,19,17,20,21,19,20,20,20,20,17,17,20,20,19,19,20,20,19,21,20,18,17,23,19.0,4.1394,1.3726,1.8841,1747.0
M,18,19,18,19,19,20,19,20,21,18,19,20,19,19,19,20,19,20,20,19,20,20,19,19,19,23,20,19,20,19,19,19,19,18,21,21,18,20,21,19,19,19,18,19,19,20,21,20,20,19,18,23,19.0,4.1394,0.9723,0.9453,1747.0
F,19,18,20,17,18,16,16,19,19,19,16,20,17,18,18,18,19,17,18,18,20,21,19,17,17,17,18,19,19,17,18,19,18,18,20,16,17,19,19,19,19,17,17,19,16,17,19,19,18,18,16,21,18.0,3.9216,1.2061,1.4547,1235.0
Y,18,19,19,19,19,20,18,18,18,18,18,17,19,18,20,19,21,19,17,20,18,18,19,20,20,21,21,19,20,18,17,18,19,17,21,18,20,19,19,18,19,18,20,20,20,19,18,20,18,19,17,21,18.0,3.9216,1.0926,1.1939,1235.0
W,20,19,18,18,20,21,18,18,19,21,18,19,19,18,19,18,18,18,16,19,20,18,19,19,19,19,19,18,20,18,19,20,19,20,20,18,18,19,20,18,18,18,21,19,20,19,21,19,20,18,16,21,18.0,3.9216,1.0382,1.078,1235.0
P,18,17,16,18,19,19,18,17,18,15,17,16,19,18,19,17,18,18,16,17,17,18,17,18,18,17,18,17,18,18,18,17,18,17,17,18,17,19,19,17,19,18,17,18,18,16,17,15,16,17,15,19,17.0,3.7037,0.9947,0.9894,873.0
C,18,17,17,16,18,18,17,17,17,19,17,18,18,19,18,19,19,17,16,19,16,16,17,18,18,16,17,19,17,18,18,17,17,20,18,19,19,20,18,17,20,18,18,18,20,21,18,17,17,18,16,21,17.0,3.7037,1.1718,1.3731,873.0
B,17,17,15,18,18,19,19,18,18,17,19,17,17,16,16,18,18,16,18,19,19,19,19,16,18,20,16,16,18,15,15,19,17,18,18,17,17,18,18,18,19,16,17,19,19,17,17,17,18,18,15,20,17.0,3.7037,1.2149,1.4759,873.0
G,20,17,18,17,18,19,17,16,19,16,21,18,17,17,17,18,19,17,17,17,18,19,18,19,19,20,18,18,18,17,18,17,16,19,18,18,18,19,19,18,19,17,15,17,16,16,17,19,17,17,15,21,17.0,3.7037,1.2002,1.4404,873.0
K,15,16,15,16,14,14,17,14,18,16,16,16,16,15,18,18,17,16,15,17,16,17,17,16,15,15,16,16,16,14,16,17,16,15,16,16,17,17,16,14,17,17,17,18,16,16,17,15,17,17,14,18,16.0,3.4858,1.085,1.1771,617.0
V,17,15,17,17,15,13,16,16,17,15,14,15,15,16,17,17,15,16,15,16,17,16,17,14,17,15,16,14,17,16,18,17,17,15,16,15,16,17,16,15,16,19,17,16,15,16,16,16,15,19,13,19,16.0,3.4858,1.1952,1.4286,617.0
Q,11,12,13,10,12,11,11,10,12,10,13,12,12,11,9,12,9,10,11,10,10,13,11,11,11,9,11,10,11,11,11,12,13,12,10,12,11,10,12,11,9,11,11,10,11,12,12,13,10,11,9,13,11.0,2.3965,1.0956,1.2004,108.0
X,11,10,11,11,8,11,9,10,10,9,11,11,11,8,9,11,9,10,12,9,9,10,12,10,8,10,11,12,9,13,9,10,11,10,10,8,12,10,9,11,10,9,9,11,9,11,10,9,12,9,8,13,10.0,2.1786,1.2095,1.4629,76.0
J,8,9,8,9,9,9,10,9,9,8,10,11,11,9,9,9,10,8,9,8,10,10,10,8,9,10,8,10,9,10,11,10,9,9,9,10,9,7,9,10,8,7,7,9,9,9,9,9,8,8,7,11,9.0,1.9608,0.9681,0.9371,53.0
Z,6,5,4,5,6,5,6,4,4,5,6,7,7,6,7,4,6,5,5,5,5,5,6,6,5,4,6,3,5,7,6,6,4,4,4,3,4,6,5,4,6,4,5,4,7,4,4,6,4,6,3,7,5.0,1.0893,1.0812,1.169,12.0
