letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,9887.0,13983.0,6991.0,6991.0,13983.0,6991.0,9887.0,13983.0,13983.0,13983.0,4943.0,4943.0,13983.0,9887.0,4943.0,6991.0,9887.0,13983.0,9887.0,13983.0,9887.0,13983.0,6991.0,4943.0,6991.0,6991.0,6991.0,13983.0,39553.0,6991.0,9887.0,9887.0,19776.0,13983.0,3495.0,6991.0,9887.0,4943.0,9887.0,6991.0,9887.0,6991.0,6991.0,9887.0,3495.0,6991.0,6991.0,6991.0,6991.0,9887.0,3495.0,39553.0,9844.0,13.725,5549.0941,30792445.3163
T,4943.0,9887.0,4943.0,4943.0,4943.0,9887.0,3495.0,6991.0,4943.0,6991.0,4943.0,9887.0,6991.0,6991.0,3495.0,3495.0,6991.0,4943.0,4943.0,3495.0,4943.0,13983.0,6991.0,6991.0,4943.0,1747.0,4943.0,6991.0,4943.0,4943.0,4943.0,6991.0,6991.0,6991.0,2471.0,4943.0,6991.0,3495.0,4943.0,6991.0,4943.0,6991.0,6991.0,9887.0,6991.0,3495.0,4943.0,6991.0,4943.0,4943.0,1747.0,13983.0,5928.0,8.2651,2171.8996,4717148.0098
A,9887.0,6991.0,3495.0,6991.0,2471.0,3495.0,4943.0,3495.0,6991.0,6991.0,3495.0,3495.0,4943.0,3495.0,1747.0,2471.0,6991.0,3495.0,4943.0,6991.0,6991.0,4943.0,4943.0,13983.0,2471.0,3495.0,3495.0,6991.0,3495.0,9887.0,4943.0,3495.0,3495.0,3495.0,6991.0,9887.0,6991.0,3495.0,4943.0,9887.0,4943.0,4943.0,9887.0,6991.0,13983.0,4943.0,9887.0,4943.0,3495.0,6991.0,1747.0,13983.0,5742.0,8.0058,2815.5914,7927554.88
N,3495.0,3495.0,2471.0,6991.0,9887.0,3495.0,6991.0,2471.0,4943.0,4943.0,4943.0,6991.0,4943.0,4943.0,6991.0,2471.0,6991.0,3495.0,9887.0,3495.0,4943.0,2471.0,4943.0,6991.0,4943.0,4943.0,4943.0,6991.0,6991.0,6991.0,4943.0,4943.0,4943.0,3495.0,2471.0,4943.0,6991.0,4943.0,1235.0,4943.0,6991.0,3495.0,6991.0,4943.0,3495.0,3495.0,4943.0,6991.0,4943.0,6991.0,1235.0,9887.0,5132.0,7.1553,1857.0891,3448779.9184
O,6991.0,4943.0,2471.0,3495.0,3495.0,2471.0,4943.0,4943.0,4943.0,4943.0,9887.0,6991.0,2471.0,6991.0,2471.0,3495.0,9887.0,6991.0,4943.0,4943.0,2471.0,4943.0,4943.0,4943.0,4943.0,3495.0,3495.0,4943.0,4943.0,4943.0,6991.0,3495.0,9887.0,4943.0,9887.0,6991.0,6991.0,4943.0,4943.0,2471.0,4943.0,4943.0,4943.0,4943.0,3495.0,3495.0,2471.0,4943.0,6991.0,3495.0,2471.0,9887.0,5059.0,7.0535,1981.0038,3924375.9282
H,4943.0,3495.0,9887.0,3495.0,6991.0,2471.0,2471.0,2471.0,2471.0,4943.0,6991.0,2471.0,4943.0,3495.0,2471.0,4943.0,6991.0,2471.0,4943.0,4943.0,6991.0,2471.0,2471.0,4943.0,2471.0,4943.0,3495.0,2471.0,6991.0,6991.0,6991.0,4943.0,3495.0,4943.0,4943.0,4943.0,2471.0,4943.0,4943.0,3495.0,3495.0,3495.0,4943.0,6991.0,3495.0,1747.0,6991.0,6991.0,9887.0,4943.0,1747.0,9887.0,4632.0,6.4582,1960.9638,3845379.1935
I,4943.0,4943.0,6991.0,4943.0,4943.0,3495.0,4943.0,4943.0,4943.0,9887.0,3495.0,6991.0,2471.0,3495.0,3495.0,2471.0,6991.0,3495.0,4943.0,4943.0,3495.0,4943.0,3495.0,2471.0,2471.0,4943.0,3495.0,1747.0,4943.0,2471.0,2471.0,3495.0,6991.0,4943.0,6991.0,3495.0,3495.0,6991.0,6991.0,4943.0,3495.0,4943.0,3495.0,6991.0,4943.0,4943.0,3495.0,4943.0,6991.0,3495.0,1747.0,9887.0,4615.0,6.4345,1660.8377,2758381.7208
R,4943.0,2471.0,6991.0,6991.0,4943.0,2471.0,3495.0,2471.0,4943.0,1235.0,2471.0,3495.0,3495.0,3495.0,3495.0,4943.0,6991.0,2471.0,6991.0,3495.0,4943.0,3495.0,3495.0,3495.0,4943.0,4943.0,6991.0,4943.0,3495.0,4943.0,4943.0,19776.0,4943.0,3495.0,3495.0,6991.0,4943.0,2471.0,3495.0,3495.0,2471.0,2471.0,3495.0,6991.0,3495.0,4943.0,4943.0,4943.0,3495.0,4943.0,1235.0,19776.0,4564.0,6.3634,2636.0525,6948772.771
S,6991.0,4943.0,3495.0,2471.0,3495.0,6991.0,6991.0,4943.0,4943.0,6991.0,4943.0,4943.0,3495.0,2471.0,2471.0,2471.0,3495.0,4943.0,2471.0,3495.0,3495.0,4943.0,6991.0,3495.0,4943.0,4943.0,4943.0,3495.0,4943.0,9887.0,3495.0,4943.0,3495.0,6991.0,2471.0,4943.0,2471.0,3495.0,4943.0,2471.0,4943.0,3495.0,1747.0,2471.0,4943.0,3495.0,3495.0,2471.0,4943.0,1747.0,1747.0,9887.0,4259.0,5.9381,1673.1512,2799434.8147
L,2471.0,3495.0,2471.0,1747.0,3495.0,1747.0,2471.0,3495.0,3495.0,4943.0,6991.0,2471.0,2471.0,3495.0,2471.0,2471.0,4943.0,3495.0,6991.0,1235.0,2471.0,6991.0,2471.0,6991.0,4943.0,1235.0,2471.0,6991.0,2471.0,1235.0,3495.0,1235.0,6991.0,3495.0,3495.0,2471.0,4943.0,2471.0,3495.0,2471.0,3495.0,2471.0,3495.0,2471.0,4943.0,3495.0,2471.0,1747.0,4943.0,1235.0,1235.0,6991.0,3409.0,4.753,1678.6467,2817854.7984
D,2471.0,4943.0,2471.0,1235.0,2471.0,3495.0,4943.0,1747.0,1235.0,1747.0,3495.0,1747.0,1747.0,2471.0,1747.0,6991.0,3495.0,1747.0,2471.0,2471.0,3495.0,2471.0,1747.0,2471.0,1747.0,3495.0,1235.0,3495.0,1747.0,2471.0,1747.0,2471.0,2471.0,3495.0,4943.0,2471.0,1235.0,1747.0,2471.0,2471.0,1235.0,2471.0,2471.0,2471.0,1235.0,2471.0,2471.0,1747.0,3495.0,3495.0,1235.0,6991.0,2571.0,3.5846,1135.2117,1288705.6718
U,1747.0,1747.0,873.0,1235.0,3495.0,2471.0,2471.0,2471.0,1747.0,3495.0,2471.0,4943.0,3495.0,1747.0,4943.0,2471.0,873.0,1747.0,6991.0,3495.0,2471.0,3495.0,1235.0,2471.0,1747.0,873.0,2471.0,2471.0,1747.0,1747.0,873.0,2471.0,3495.0,1747.0,2471.0,2471.0,2471.0,2471.0,873.0,873.0,2471.0,2471.0,1747.0,1747.0,2471.0,2471.0,1747.0,3495.0,2471.0,1235.0,873.0,6991.0,2363.0,3.2946,1157.1777,1339060.1208
M,1235.0,1747.0,1235.0,1747.0,1747.0,2471.0,1747.0,2471.0,3495.0,1235.0,1747.0,2471.0,1747.0,1747.0,1747.0,2471.0,1747.0,2471.0,2471.0,1747.0,2471.0,2471.0,1747.0,1747.0,1747.0,6991.0,2471.0,1747.0,2471.0,1747.0,1747.0,1747.0,1747.0,1235.0,3495.0,3495.0,1235.0,2471.0,3495.0,1747.0,1747.0,1747.0,1235.0,1747.0,1747.0,2471.0,3495.0,2471.0,2471.0,1747.0,1235.0,6991.0,2167.0,3.0213,934.9017,874041.182
W,2471.0,1747.0,1235.0,1235.0,2471.0,3495.0,1235.0,1235.0,1747.0,3495.0,1235.0,1747.0,1747.0,1235.0,1747.0,1235.0,1235.0,1235.0,617.0,1747.0,2471.0,1235.0,1747.0,1747.0,1747.0,1747.0,1747.0,1235.0,2471.0,1235.0,1747.0,2471.0,1747.0,2471.0,2471.0,1235.0,1235.0,1747.0,2471.0,1235.0,1235.0,1235.0,3495.0,1747.0,2471.0,1747.0,3495.0,1747.0,2471.0,1235.0,617.0,3495.0,1824.0,2.5431,687.4568,472596.8996
Y,1235.0,1747.0,1747.0,1747.0,1747.0,2471.0,1235.0,1235.0,1235.0,1235.0,1235.0,873.0,1747.0,1235.0,2471.0,1747.0,3495.0,1747.0,873.0,2471.0,1235.0,1235.0,1747.0,2471.0,2471.0,3495.0,3495.0,1747.0,2471.0,1235.0,873.0,1235.0,1747.0,873.0,3495.0,1235.0,2471.0,1747.0,1747.0,1235.0,1747.0,1235.0,2471.0,2471.0,2471.0,1747.0,1235.0,2471.0,1235.0,1747.0,873.0,3495.0,1812.0,2.5264,714.6308,510697.2147
F,1747.0,1235.0,2471.0,873.0,1235.0,617.0,617.0,1747.0,1747.0,1747.0,617.0,2471.0,873.0,1235.0,1235.0,1235.0,1747.0,873.0,1235.0,1235.0,2471.0,3495.0,1747.0,873.0,873.0,873.0,1235.0,1747.0,1747.0,873.0,1235.0,1747.0,1235.0,1235.0,2471.0,617.0,873.0,1747.0,1747.0,1747.0,1747.0,873.0,873.0,1747.0,617.0,873.0,1747.0,1747.0,1235.0,1235.0,617.0,3495.0,1401.0,1.9533,595.5278,354653.3159
C,1235.0,873.0,873.0,617.0,1235.0,1235.0,873.0,873.0,873.0,1747.0,873.0,1235.0,1235.0,1747.0,1235.0,1747.0,1747.0,873.0,617.0,1747.0,617.0,617.0,873.0,1235.0,1235.0,617.0,873.0,1747.0,873.0,1235.0,1235.0,873.0,873.0,2471.0,1235.0,1747.0,1747.0,2471.0,1235.0,873.0,2471.0,1235.0,1235.0,1235.0,2471.0,3495.0,1235.0,873.0,873.0,1235.0,617.0,3495.0,1290.0,1.7986,589.6427,347678.5306
G,2471.0,873.0,1235.0,873.0,1235.0,1747.0,873.0,617.0,1747.0,617.0,3495.0,1235.0,873.0,873.0,873.0,1235.0,1747.0,873.0,873.0,873.0,1235.0,1747.0,1235.0,1747.0,1747.0,2471.0,1235.0,1235.0,1235.0,873.0,1235.0,873.0,617.0,1747.0,1235.0,1235.0,1235.0,1747.0,1747.0,1235.0,1747.0,873.0,436.0,873.0,617.0,617.0,873.0,1747.0,873.0,873.0,436.0,3495.0,1248.0,1.74,565.721,320040.229
