letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,9095,9095,9095,9095.0,12.5975,,,9095.0
T,6296,6296,6296,6296.0,8.7206,,,6296.0
O,5880,5880,5880,5880.0,8.1444,,,5880.0
A,5400,5400,5400,5400.0,7.4795,,,5400.0
I,4783,4783,4783,4783.0,6.6249,,,4783.0
H,4743,4743,4743,4743.0,6.5695,,,4743.0
S,4706,4706,4706,4706.0,6.5183,,,4706.0
N,4656,4656,4656,4656.0,6.449,,,4656.0
R,4386,4386,4386,4386.0,6.075,,,4386.0
L,3281,3281,3281,3281.0,4.5445,,,3281.0
D,2795,2795,2795,2795.0,3.8714,,,2795.0
U,2480,2480,2480,2480.0,3.435,,,2480.0
M,2263,2263,2263,2263.0,3.1345,,,2263.0
Y,1882,1882,1882,1882.0,2.6068,,,1882.0
W,1770,1770,1770,1770.0,2.4516,,,1770.0
C,1365,1365,1365,1365.0,1.8907,,,1365.0
F,1346,1346,1346,1346.0,1.8643,,,1346.0
G,1208,1208,1208,1208.0,1.6732,,,1208.0
P,1161,1161,1161,1161.0,1.6081,,,1161.0
B,1090,1090,1090,1090.0,1.5098,,,1090.0
V,699,699,699,699.0,0.9682,,,699.0
K,634,634,634,634.0,0.8782,,,634.0
Q,115,115,115,115.0,0.1593,,,115.0
X,92,92,92,92.0,0.1274,,,92.0
J,58,58,58,58.0,0.0803,,,58.0
Z,13,13,13,13.0,0.018,,,13.0
