letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,4463,4483,4490,4647,4591,4553,4616,4638,4519,4576,4552,4586,4512,4572,4516,4539,4592,4567,4655,4561,4559,4545,4557,4561,4642,4521,4516,4485,4593,4496,4542,4545,4575,4593,4512,4617,4538,4547,4566,4579,4544,4545,4569,4649,4607,4587,4555,4453,4605,4506,4453,4655,4558.0,12.6215,48.0407,2307.9106,9116.0
T,3095,3169,3168,3133,3166,3158,3149,3147,3165,3247,3141,3148,3177,3124,3184,3097,3093,3160,3168,3170,3223,3153,3165,3167,3148,3188,3170,3153,3113,3149,3134,3187,3128,3160,3144,3176,3161,3139,3107,3151,3106,3109,3119,3111,3155,3124,3142,3077,3163,3139,3077,3247,3148.0,8.7171,31.924,1019.1429,6296.0
O,2922,2882,2939,2938,2980,2899,2928,2939,2910,2976,2983,2913,2928,2936,2897,2995,2922,2872,2867,2996,2865,2939,2929,2920,2886,2976,2932,2931,2945,2999,2957,2907,2896,2935,2946,2908,2896,2936,2978,2950,2962,2963,2935,2914,2902,2944,2885,2942,2958,2972,2865,2999,2932.0,8.119,34.124,1164.449,5864.0
A,2744,2709,2613,2732,2740,2674,2765,2695,2675,2771,2707,2732,2742,2659,2667,2687,2711,2695,2678,2732,2710,2712,2699,2706,2651,2715,2709,2760,2614,2707,2751,2738,2633,2639,2718,2693,2766,2751,2766,2714,2721,2670,2726,2683,2720,2682,2688,2730,2709,2716,2613,2771,2706.0,7.4931,37.9851,1442.8673,5412.0
I,2394,2440,2406,2387,2359,2369,2393,2392,2427,2367,2476,2376,2454,2448,2346,2346,2384,2345,2396,2400,2342,2368,2412,2415,2440,2399,2393,2415,2303,2433,2348,2402,2360,2410,2373,2420,2420,2438,2406,2445,2363,2418,2389,2341,2292,2402,2413,2418,2374,2438,2292,2476,2393.0,6.6264,38.1732,1457.1939,4786.0
H,2363,2356,2285,2341,2376,2380,2356,2344,2395,2329,2368,2403,2343,2392,2317,2413,2384,2373,2318,2320,2336,2368,2439,2356,2378,2388,2402,2392,2366,2338,2411,2389,2353,2369,2356,2356,2361,2284,2361,2407,2391,2418,2350,2388,2406,2380,2358,2365,2368,2348,2284,2439,2366.0,6.5517,31.8476,1014.2678,4732.0
S,2368,2317,2407,2376,2351,2361,2367,2379,2387,2306,2346,2332,2326,2388,2327,2354,2314,2357,2327,2377,2402,2365,2375,2426,2385,2333,2388,2307,2412,2378,2371,2392,2354,2372,2419,2386,2327,2392,2354,2316,2383,2342,2372,2376,2349,2274,2365,2381,2326,2347,2274,2426,2360.0,6.535,32.1064,1030.818,4720.0
N,2380,2323,2306,2357,2321,2350,2317,2360,2378,2353,2312,2301,2364,2364,2355,2318,2345,2285,2311,2348,2279,2309,2309,2349,2300,2387,2329,2316,2311,2309,2309,2320,2414,2335,2327,2340,2312,2320,2284,2348,2260,2329,2319,2395,2325,2325,2307,2341,2342,2326,2260,2414,2330.0,6.452,30.3384,920.418,4660.0
R,2223,2214,2160,2184,2205,2201,2194,2177,2160,2192,2177,2202,2181,2196,2168,2196,2200,2197,2199,2157,2192,2149,2146,2204,2214,2215,2238,2264,2278,2187,2203,2154,2224,2185,2146,2214,2176,2174,2173,2194,2228,2205,2217,2169,2175,2188,2223,2250,2179,2168,2146,2278,2194.0,6.0754,28.6458,820.5816,4388.0
L,1637,1646,1637,1610,1646,1613,1632,1624,1712,1648,1680,1610,1682,1603,1661,1726,1696,1622,1654,1649,1577,1634,1654,1635,1632,1607,1684,1543,1647,1678,1681,1656,1680,1638,1646,1636,1659,1636,1662,1652,1664,1600,1684,1677,1622,1677,1650,1622,1648,1601,1543,1726,1645.0,4.5551,33.5133,1123.1429,3290.0
D,1422,1370,1325,1428,1429,1408,1406,1463,1418,1388,1349,1418,1412,1435,1433,1346,1378,1377,1389,1343,1453,1394,1335,1374,1405,1414,1385,1429,1382,1448,1369,1354,1401,1394,1382,1397,1410,1355,1362,1379,1449,1397,1450,1397,1416,1462,1383,1376,1420,1408,1325,1463,1398.0,3.8712,33.5581,1126.1473,2796.0
U,1246,1218,1269,1253,1188,1257,1256,1250,1205,1237,1231,1254,1246,1253,1223,1251,1235,1241,1232,1283,1231,1233,1204,1239,1200,1236,1234,1234,1247,1238,1257,1217,1251,1221,1239,1255,1207,1243,1241,1228,1265,1229,1230,1207,1231,1229,1261,1250,1263,1237,1188,1283,1237.0,3.4254,19.0769,363.9286,2474.0
M,1089,1172,1136,1134,1144,1116,1174,1157,1141,1067,1152,1166,1132,1147,1173,1129,1130,1122,1198,1127,1186,1099,1167,1139,1137,1111,1115,1147,1098,1128,1077,1108,1129,1095,1150,1168,1107,1092,1141,1105,1178,1172,1141,1106,1132,1131,1126,1099,1173,1168,1067,1198,1134.0,3.1401,29.9039,894.2404,2268.0
Y,925,909,964,943,934,965,917,952,922,921,940,934,955,945,944,908,934,921,903,947,949,971,920,926,958,935,896,917,960,900,933,944,908,938,923,970,933,948,981,918,934,914,960,945,967,964,970,930,941,918,896,981,937.0,2.5946,20.9195,437.6261,1874.0
W,912,852,894,920,891,925,859,912,895,894,857,886,868,897,908,843,855,898,893,883,911,905,874,891,896,895,898,908,884,868,886,865,875,872,902,896,898,898,912,896,855,901,895,889,904,888,910,863,893,906,843,925,889.0,2.4617,19.1335,366.0914,1778.0
C,676,691,669,685,717,682,691,672,665,664,666,673,685,683,719,677,682,683,696,684,651,688,684,671,681,719,693,687,673,638,695,692,696,680,689,696,657,675,682,705,669,703,648,682,677,674,724,693,712,715,638,724,684.0,1.8941,18.2496,333.0486,1368.0
F,686,682,684,647,641,662,646,658,651,662,685,656,704,695,703,665,663,668,693,710,664,667,652,673,664,671,659,701,638,686,656,680,694,665,659,681,652,653,644,675,653,696,679,651,670,655,665,680,669,673,638,710,669.0,1.8525,17.8806,319.7159,1338.0
G,584,641,608,607,604,597,592,598,618,618,618,595,601,592,569,624,604,596,629,605,612,614,633,596,589,598,570,602,623,595,562,606,597,622,614,586,601,604,600,636,598,617,611,591,588,621,598,628,603,597,562,641,604.0,1.6725,16.4956,272.1045,1208.0
P,571,574,589,607,588,566,579,590,586,569,573,585,573,568,564,593,582,575,580,613,574,571,594,566,564,556,592,573,553,588,577,604,588,587,571,559,604,586,568,562,581,562,580,575,589,574,587,560,598,588,553,613,579.0,1.6033,13.6631,186.6792,1158.0
B,520,556,571,511,538,549,513,546,503,556,557,555,530,559,567,576,544,511,550,552,529,565,566,542,542,552,575,521,527,577,542,537,559,548,572,514,557,548,569,544,556,535,538,524,548,536,531,560,560,512,503,577,545.0,1.5092,19.228,369.7143,1090.0
V,342,313,341,362,346,335,356,354,350,370,362,365,350,366,347,362,356,339,332,361,370,356,329,327,347,362,345,361,356,362,357,346,347,335,344,371,348,360,377,344,337,340,361,336,345,340,333,321,338,344,313,377,348.0,0.9636,13.7232,188.3249,696.0
K,318,314,302,338,336,329,327,316,325,315,309,308,318,324,323,317,296,300,312,340,329,325,296,316,319,312,329,329,325,307,316,327,317,293,305,321,331,315,315,328,329,335,312,329,299,303,325,320,337,302,293,340,318.0,0.8806,11.8955,141.5024,636.0
Q,61,60,56,59,54,56,60,49,62,54,56,57,63,54,60,56,58,61,61,62,61,61,56,56,56,55,65,64,64,50,65,61,51,50,62,61,57,55,51,66,65,54,52,63,59,52,55,65,59,59,49,66,58.0,0.1606,4.5342,20.5588,116.0
X,51,39,50,48,45,47,50,37,40,43,44,51,48,51,51,44,49,51,44,56,53,54,46,42,51,46,43,48,45,49,50,52,41,40,48,47,53,44,32,44,47,42,52,49,45,46,55,53,39,46,32,56,46.0,0.1274,4.9885,24.8853,92.0
J,31,33,29,23,26,28,23,25,22,30,33,32,34,24,32,22,29,31,29,29,37,32,30,25,21,31,35,33,24,29,32,35,26,27,25,35,36,35,29,27,35,22,26,27,30,30,31,29,32,28,21,37,29.0,0.0803,4.1683,17.3751,58.0
Z,9,4,11,5,6,9,5,5,9,4,8,4,6,5,9,8,5,5,8,9,10,5,9,11,5,7,8,5,8,9,6,2,7,4,8,6,7,6,4,5,7,9,6,4,8,8,6,7,4,7,2,11,6.0,0.0166,2.0678,4.2759,12.0
