letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,8926.0,8966.0,8980.0,9294.0,9182.0,9106.0,9232.0,9276.0,9038.0,9152.0,9104.0,9172.0,9024.0,9144.0,9032.0,9078.0,9184.0,9134.0,9310.0,9122.0,9118.0,9090.0,9114.0,9122.0,9284.0,9042.0,9032.0,8970.0,9186.0,8992.0,9084.0,9090.0,9150.0,9186.0,9024.0,9234.0,9076.0,9094.0,9132.0,9158.0,9088.0,9090.0,9138.0,9298.0,9214.0,9174.0,9110.0,8906.0,9210.0,9012.0,8906.0,9310.0,9117.0,12.6206,96.0814,9231.6424
T,6190.0,6338.0,6336.0,6266.0,6332.0,6316.0,6298.0,6294.0,6330.0,6494.0,6282.0,6296.0,6354.0,6248.0,6368.0,6194.0,6186.0,6320.0,6336.0,6340.0,6446.0,6306.0,6330.0,6334.0,6296.0,6376.0,6340.0,6306.0,6226.0,6298.0,6268.0,6374.0,6256.0,6320.0,6288.0,6352.0,6322.0,6278.0,6214.0,6302.0,6212.0,6218.0,6238.0,6222.0,6310.0,6248.0,6284.0,6154.0,6326.0,6278.0,6154.0,6494.0,6296.0,8.7155,63.848,4076.5714
O,5844.0,5764.0,5878.0,5876.0,5960.0,5798.0,5856.0,5878.0,5820.0,5952.0,5966.0,5826.0,5856.0,5872.0,5794.0,5990.0,5844.0,5744.0,5734.0,5992.0,5730.0,5878.0,5858.0,5840.0,5772.0,5952.0,5864.0,5862.0,5890.0,5998.0,5914.0,5814.0,5792.0,5870.0,5892.0,5816.0,5792.0,5872.0,5956.0,5900.0,5924.0,5926.0,5870.0,5828.0,5804.0,5888.0,5770.0,5884.0,5916.0,5944.0,5730.0,5998.0,5865.0,8.1189,68.248,4657.7959
A,5488.0,5418.0,5226.0,5464.0,5480.0,5348.0,5530.0,5390.0,5350.0,5542.0,5414.0,5464.0,5484.0,5318.0,5334.0,5374.0,5422.0,5390.0,5356.0,5464.0,5420.0,5424.0,5398.0,5412.0,5302.0,5430.0,5418.0,5520.0,5228.0,5414.0,5502.0,5476.0,5266.0,5278.0,5436.0,5386.0,5532.0,5502.0,5532.0,5428.0,5442.0,5340.0,5452.0,5366.0,5440.0,5364.0,5376.0,5460.0,5418.0,5432.0,5226.0,5542.0,5413.0,7.4932,75.9702,5771.4694
I,4788.0,4880.0,4812.0,4774.0,4718.0,4738.0,4786.0,4784.0,4854.0,4734.0,4952.0,4752.0,4908.0,4896.0,4692.0,4692.0,4768.0,4690.0,4792.0,4800.0,4684.0,4736.0,4824.0,4830.0,4880.0,4798.0,4786.0,4830.0,4606.0,4866.0,4696.0,4804.0,4720.0,4820.0,4746.0,4840.0,4840.0,4876.0,4812.0,4890.0,4726.0,4836.0,4778.0,4682.0,4584.0,4804.0,4826.0,4836.0,4748.0,4876.0,4584.0,4952.0,4787.0,6.6266,76.3464,5828.7755
H,4726.0,4712.0,4570.0,4682.0,4752.0,4760.0,4712.0,4688.0,4790.0,4658.0,4736.0,4806.0,4686.0,4784.0,4634.0,4826.0,4768.0,4746.0,4636.0,4640.0,4672.0,4736.0,4878.0,4712.0,4756.0,4776.0,4804.0,4784.0,4732.0,4676.0,4822.0,4778.0,4706.0,4738.0,4712.0,4712.0,4722.0,4568.0,4722.0,4814.0,4782.0,4836.0,4700.0,4776.0,4812.0,4760.0,4716.0,4730.0,4736.0,4696.0,4568.0,4878.0,4733.0,6.5519,63.6951,4057.071
S,4736.0,4634.0,4814.0,4752.0,4702.0,4722.0,4734.0,4758.0,4774.0,4612.0,4692.0,4664.0,4652.0,4776.0,4654.0,4708.0,4628.0,4714.0,4654.0,4754.0,4804.0,4730.0,4750.0,4852.0,4770.0,4666.0,4776.0,4614.0,4824.0,4756.0,4742.0,4784.0,4708.0,4744.0,4838.0,4772.0,4654.0,4784.0,4708.0,4632.0,4766.0,4684.0,4744.0,4752.0,4698.0,4548.0,4730.0,4762.0,4652.0,4694.0,4548.0,4852.0,4721.0,6.5353,64.2127,4123.2718
N,4760.0,4646.0,4612.0,4714.0,4642.0,4700.0,4634.0,4720.0,4756.0,4706.0,4624.0,4602.0,4728.0,4728.0,4710.0,4636.0,4690.0,4570.0,4622.0,4696.0,4558.0,4618.0,4618.0,4698.0,4600.0,4774.0,4658.0,4632.0,4622.0,4618.0,4618.0,4640.0,4828.0,4670.0,4654.0,4680.0,4624.0,4640.0,4568.0,4696.0,4520.0,4658.0,4638.0,4790.0,4650.0,4650.0,4614.0,4682.0,4684.0,4652.0,4520.0,4828.0,4660.0,6.4508,60.6768,3681.6718
R,4446.0,4428.0,4320.0,4368.0,4410.0,4402.0,4388.0,4354.0,4320.0,4384.0,4354.0,4404.0,4362.0,4392.0,4336.0,4392.0,4400.0,4394.0,4398.0,4314.0,4384.0,4298.0,4292.0,4408.0,4428.0,4430.0,4476.0,4528.0,4556.0,4374.0,4406.0,4308.0,4448.0,4370.0,4292.0,4428.0,4352.0,4348.0,4346.0,4388.0,4456.0,4410.0,4434.0,4338.0,4350.0,4376.0,4446.0,4500.0,4358.0,4336.0,4292.0,4556.0,4388.0,6.0743,57.2916,3282.3265
L,3274.0,3292.0,3274.0,3220.0,3292.0,3226.0,3264.0,3248.0,3424.0,3296.0,3360.0,3220.0,3364.0,3206.0,3322.0,3452.0,3392.0,3244.0,3308.0,3298.0,3154.0,3268.0,3308.0,3270.0,3264.0,3214.0,3368.0,3086.0,3294.0,3356.0,3362.0,3312.0,3360.0,3276.0,3292.0,3272.0,3318.0,3272.0,3324.0,3304.0,3328.0,3200.0,3368.0,3354.0,3244.0,3354.0,3300.0,3244.0,3296.0,3202.0,3086.0,3452.0,3290.0,4.5543,67.0266,4492.5714
