letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,28,27,27,23,24,25,24,25,26,24,24,24,25,26,26,27,26,26,25,24,26,25,26,25,23,25,26,26,24,26,23,24,25,25,25,27,25,27,22,24,25,25,25,24,25,23,26,24,26,25,22,28,25.0,5.0403,1.2521,1.5678,13983.0
S,22,25,23,23,23,23,23,22,24,23,23,23,22,24,22,23,23,26,24,22,24,23,24,22,22,22,24,22,23,23,23,23,24,25,23,23,23,23,25,21,22,23,24,24,24,23,24,22,23,23,21,26,23.0,4.6371,0.9691,0.9392,6991.0
N,23,22,23,22,22,24,21,25,26,24,22,21,23,23,24,23,21,24,24,23,25,24,26,26,22,23,24,22,23,26,21,24,24,23,21,24,23,24,25,26,24,21,26,24,22,20,24,21,22,23,20,26,23.0,4.6371,1.5754,2.482,6991.0
I,24,22,23,24,24,24,24,23,23,21,21,25,23,21,23,23,23,25,23,24,24,25,24,24,21,22,23,22,23,22,24,25,23,21,24,25,24,24,21,22,24,23,25,23,23,21,24,24,21,24,21,25,23.0,4.6371,1.2513,1.5657,6991.0
R,22,22,22,22,24,23,24,23,23,24,23,23,25,20,21,24,21,21,22,24,23,22,24,25,22,24,24,24,23,22,22,23,23,22,24,22,22,20,23,24,25,23,22,21,23,23,22,23,25,25,20,25,22.0,4.4355,1.2618,1.5922,4943.0
T,22,22,25,23,22,24,22,23,23,22,22,22,23,21,24,24,23,25,22,24,24,22,22,23,20,22,23,24,23,22,24,26,22,23,25,23,24,24,22,23,22,23,22,22,23,22,24,24,23,24,20,26,22.0,4.4355,1.1421,1.3045,4943.0
O,22,23,21,22,24,22,25,23,23,21,23,24,26,21,24,24,22,21,23,22,22,22,22,24,24,25,23,22,22,22,23,26,23,22,23,23,24,22,22,25,22,26,23,21,21,23,25,23,24,24,21,26,22.0,4.4355,1.3626,1.8567,4943.0
A,25,23,21,21,25,23,22,25,22,23,24,24,23,24,25,24,21,23,25,24,24,24,22,22,22,25,23,23,23,23,21,23,23,24,24,23,23,25,22,22,22,24,21,22,22,23,21,24,21,21,21,25,22.0,4.4355,1.2856,1.6527,4943.0
U,23,23,23,22,24,23,23,21,21,25,23,23,21,23,22,23,22,25,23,23,22,22,20,23,21,21,22,22,21,21,22,24,22,22,23,22,21,24,23,24,25,22,22,23,22,24,24,22,24,22,20,25,22.0,4.4355,1.1634,1.3535,4943.0
L,23,23,23,24,24,22,22,23,20,21,24,19,23,22,22,23,24,22,22,22,23,21,21,22,21,22,21,21,20,21,22,23,22,20,22,22,20,21,22,22,22,22,23,20,21,23,22,23,20,23,19,24,21.0,4.2339,1.1925,1.422,3495.0
C,20,20,19,22,20,20,22,22,21,19,20,20,20,22,22,22,20,21,22,21,18,21,21,22,21,21,19,20,21,20,20,21,20,21,23,21,18,20,21,19,23,21,22,22,20,21,22,22,20,19,18,23,20.0,4.0323,1.1824,1.398,2471.0
M,23,22,18,21,20,23,23,21,21,19,20,20,22,21,21,21,21,21,21,21,19,20,20,23,20,19,23,21,22,20,21,23,21,19,22,21,21,22,20,20,22,20,22,21,20,20,19,20,20,22,18,23,20.0,4.0323,1.2291,1.5106,2471.0
P,22,19,20,21,20,20,23,24,21,21,20,20,20,19,18,19,19,20,20,19,19,20,19,21,21,20,19,20,19,22,21,21,19,19,19,21,20,20,19,19,20,19,19,20,19,22,21,20,21,21,18,24,20.0,4.0323,1.1824,1.398,2471.0
D,20,20,20,22,21,22,21,22,20,22,21,21,19,23,21,22,22,21,20,22,20,21,21,20,19,18,22,19,21,21,21,21,21,19,20,22,22,22,22,19,19,23,19,20,19,20,20,20,22,20,18,23,20.0,4.0323,1.1995,1.4388,2471.0
