letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,39553.0,27968.0,27968.0,6991.0,9887.0,13983.0,9887.0,13983.0,19776.0,9887.0,9887.0,9887.0,13983.0,19776.0,19776.0,27968.0,19776.0,19776.0,13983.0,9887.0,19776.0,13983.0,19776.0,13983.0,6991.0,13983.0,19776.0,19776.0,9887.0,19776.0,6991.0,9887.0,13983.0,13983.0,13983.0,27968.0,13983.0,27968.0,4943.0,9887.0,13983.0,13983.0,13983.0,9887.0,13983.0,6991.0,19776.0,9887.0,19776.0,13983.0,4943.0,39553.0,15641.0,14.6086,6937.9926,48135741.8127
N,6991.0,4943.0,6991.0,4943.0,4943.0,9887.0,3495.0,13983.0,19776.0,9887.0,4943.0,3495.0,6991.0,6991.0,9887.0,6991.0,3495.0,9887.0,9887.0,6991.0,13983.0,9887.0,19776.0,19776.0,4943.0,6991.0,9887.0,4943.0,6991.0,19776.0,3495.0,9887.0,9887.0,6991.0,3495.0,9887.0,6991.0,9887.0,13983.0,19776.0,9887.0,3495.0,19776.0,9887.0,4943.0,2471.0,9887.0,3495.0,4943.0,6991.0,2471.0,19776.0,8848.0,8.264,4973.2316,24733032.7282
I,9887.0,4943.0,6991.0,9887.0,9887.0,9887.0,9887.0,6991.0,6991.0,3495.0,3495.0,13983.0,6991.0,3495.0,6991.0,6991.0,6991.0,13983.0,6991.0,9887.0,9887.0,13983.0,9887.0,9887.0,3495.0,4943.0,6991.0,4943.0,6991.0,4943.0,9887.0,13983.0,6991.0,3495.0,9887.0,13983.0,9887.0,9887.0,3495.0,4943.0,9887.0,6991.0,13983.0,6991.0,6991.0,3495.0,9887.0,9887.0,3495.0,9887.0,3495.0,13983.0,8050.0,7.5187,3189.6605,10173934.1322
O,4943.0,6991.0,3495.0,4943.0,9887.0,4943.0,13983.0,6991.0,6991.0,3495.0,6991.0,9887.0,19776.0,3495.0,9887.0,9887.0,4943.0,3495.0,6991.0,4943.0,4943.0,4943.0,4943.0,9887.0,9887.0,13983.0,6991.0,4943.0,4943.0,4943.0,6991.0,19776.0,6991.0,4943.0,6991.0,6991.0,9887.0,4943.0,4943.0,13983.0,4943.0,19776.0,6991.0,3495.0,3495.0,6991.0,13983.0,6991.0,9887.0,9887.0,3495.0,19776.0,7804.0,7.2889,4200.4222,17643546.5588
S,4943.0,13983.0,6991.0,6991.0,6991.0,6991.0,6991.0,4943.0,9887.0,6991.0,6991.0,6991.0,4943.0,9887.0,4943.0,6991.0,6991.0,19776.0,9887.0,4943.0,9887.0,6991.0,9887.0,4943.0,4943.0,4943.0,9887.0,4943.0,6991.0,6991.0,6991.0,6991.0,9887.0,13983.0,6991.0,6991.0,6991.0,6991.0,13983.0,3495.0,4943.0,6991.0,9887.0,9887.0,9887.0,6991.0,9887.0,4943.0,6991.0,6991.0,3495.0,19776.0,7782.0,7.2683,2960.2214,8762911.0208
A,13983.0,6991.0,3495.0,3495.0,13983.0,6991.0,4943.0,13983.0,4943.0,6991.0,9887.0,9887.0,6991.0,9887.0,13983.0,9887.0,3495.0,6991.0,13983.0,9887.0,9887.0,9887.0,4943.0,4943.0,4943.0,13983.0,6991.0,6991.0,6991.0,6991.0,3495.0,6991.0,6991.0,9887.0,9887.0,6991.0,6991.0,13983.0,4943.0,4943.0,4943.0,9887.0,3495.0,4943.0,4943.0,6991.0,3495.0,9887.0,3495.0,3495.0,3495.0,13983.0,7638.0,7.1339,3360.2039,11290970.4882
T,4943.0,4943.0,13983.0,6991.0,4943.0,9887.0,4943.0,6991.0,6991.0,4943.0,4943.0,4943.0,6991.0,3495.0,9887.0,9887.0,6991.0,13983.0,4943.0,9887.0,9887.0,4943.0,4943.0,6991.0,2471.0,4943.0,6991.0,9887.0,6991.0,4943.0,9887.0,19776.0,4943.0,6991.0,13983.0,6991.0,9887.0,9887.0,4943.0,6991.0,4943.0,6991.0,4943.0,4943.0,6991.0,4943.0,9887.0,9887.0,6991.0,9887.0,2471.0,19776.0,7463.0,6.9704,3219.0179,10362075.9841
R,4943.0,4943.0,4943.0,4943.0,9887.0,6991.0,9887.0,6991.0,6991.0,9887.0,6991.0,6991.0,13983.0,2471.0,3495.0,9887.0,3495.0,3495.0,4943.0,9887.0,6991.0,4943.0,9887.0,13983.0,4943.0,9887.0,9887.0,9887.0,6991.0,4943.0,4943.0,6991.0,6991.0,4943.0,9887.0,4943.0,4943.0,2471.0,6991.0,9887.0,13983.0,6991.0,4943.0,3495.0,6991.0,6991.0,4943.0,6991.0,13983.0,13983.0,2471.0,13983.0,7293.0,6.8116,3131.7731,9808002.6122
U,6991.0,6991.0,6991.0,4943.0,9887.0,6991.0,6991.0,3495.0,3495.0,13983.0,6991.0,6991.0,3495.0,6991.0,4943.0,6991.0,4943.0,13983.0,6991.0,6991.0,4943.0,4943.0,2471.0,6991.0,3495.0,3495.0,4943.0,4943.0,3495.0,3495.0,4943.0,9887.0,4943.0,4943.0,6991.0,4943.0,3495.0,9887.0,6991.0,9887.0,13983.0,4943.0,4943.0,6991.0,4943.0,9887.0,9887.0,4943.0,9887.0,4943.0,2471.0,13983.0,6510.0,6.0803,2781.7173,7737951.3208
L,6991.0,6991.0,6991.0,9887.0,9887.0,4943.0,4943.0,6991.0,2471.0,3495.0,9887.0,1747.0,6991.0,4943.0,4943.0,6991.0,9887.0,4943.0,4943.0,4943.0,6991.0,3495.0,3495.0,4943.0,3495.0,4943.0,3495.0,3495.0,2471.0,3495.0,4943.0,6991.0,4943.0,2471.0,4943.0,4943.0,2471.0,3495.0,4943.0,4943.0,4943.0,4943.0,6991.0,2471.0,3495.0,6991.0,4943.0,6991.0,2471.0,6991.0,1747.0,9887.0,5208.0,4.8642,2071.7739,4292246.9943
