letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,16456,16456,16456,16456.0,15.4463,,,16456.0
S,8357,8357,8357,8357.0,7.8442,,,8357.0
T,7734,7734,7734,7734.0,7.2594,,,7734.0
N,7544,7544,7544,7544.0,7.0811,,,7544.0
R,7502,7502,7502,7502.0,7.0417,,,7502.0
A,7392,7392,7392,7392.0,6.9384,,,7392.0
I,7391,7391,7391,7391.0,6.9375,,,7391.0
O,7082,7082,7082,7082.0,6.6475,,,7082.0
U,6820,6820,6820,6820.0,6.4015,,,6820.0
L,5486,5486,5486,5486.0,5.1494,,,5486.0
D,3616,3616,3616,3616.0,3.3941,,,3616.0
M,3558,3558,3558,3558.0,3.3397,,,3558.0
C,3368,3368,3368,3368.0,3.1613,,,3368.0
P,2897,2897,2897,2897.0,2.7192,,,2897.0
V,1944,1944,1944,1944.0,1.8247,,,1944.0
H,1689,1689,1689,1689.0,1.5854,,,1689.0
F,1284,1284,1284,1284.0,1.2052,,,1284.0
B,1234,1234,1234,1234.0,1.1583,,,1234.0
G,1165,1165,1165,1165.0,1.0935,,,1165.0
Q,1073,1073,1073,1073.0,1.0072,,,1073.0
J,904,904,904,904.0,0.8485,,,904.0
Y,759,759,759,759.0,0.7124,,,759.0
X,420,420,420,420.0,0.3942,,,420.0
Z,398,398,398,398.0,0.3736,,,398.0
W,272,272,272,272.0,0.2553,,,272.0
K,192,192,192,192.0,0.1802,,,192.0
