letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,16456,16456,16456,16456.0,15.4463,,
S,8357,8357,8357,8357.0,7.8442,,
T,7734,7734,7734,7734.0,7.2594,,
N,7544,7544,7544,7544.0,7.0811,,
R,7502,7502,7502,7502.0,7.0417,,
A,7392,7392,7392,7392.0,6.9384,,
I,7391,7391,7391,7391.0,6.9375,,
O,7082,7082,7082,7082.0,6.6475,,
U,6820,6820,6820,6820.0,6.4015,,
L,5486,5486,5486,5486.0,5.1494,,
D,3616,3616,3616,3616.0,3.3941,,
M,3558,3558,3558,3558.0,3.3397,,
C,3368,3368,3368,3368.0,3.1613,,
P,2897,2897,2897,2897.0,2.7192,,
V,1944,1944,1944,1944.0,1.8247,,
H,1689,1689,1689,1689.0,1.5854,,
F,1284,1284,1284,1284.0,1.2052,,
B,1234,1234,1234,1234.0,1.1583,,
G,1165,1165,1165,1165.0,1.0935,,
Q,1073,1073,1073,1073.0,1.0072,,
J,904,904,904,904.0,0.8485,,
Y,759,759,759,759.0,0.7124,,
X,420,420,420,420.0,0.3942,,
Z,398,398,398,398.0,0.3736,,
W,272,272,272,272.0,0.2553,,
K,192,192,192,192.0,0.1802,,
