letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,8130,8210,8211,8282,8341,8231,8136,8238,8222,8310,8244,8068,8245,8221,8209,8245,8294,8258,8263,8248,8206,8238,8229,8329,8245,8146,8205,8253,8285,8272,8246,8171,8292,8154,8255,8184,8218,8204,8284,8219,8313,8169,8200,8218,8263,8217,8291,8319,8183,8384,8068,8384,8235.0,15.4616,58.4109,3411.8351,16470.0
S,4370,4133,4143,4203,4120,4188,4162,4224,4214,4277,4192,4171,4219,4136,4192,4189,4085,4185,4101,4210,4106,4144,4151,4258,4220,4142,4155,4202,4187,4201,4177,4209,4157,4186,4199,4180,4176,4137,4155,4197,4181,4201,4151,4212,4132,4174,4208,4143,4099,4136,4085,4370,4177.0,7.8425,48.3913,2341.7143,8354.0
T,3924,3875,3863,3789,3819,3872,3879,3872,3890,3807,3892,3889,3762,3884,3849,3908,3886,3911,3916,3853,3862,3883,3884,3802,3830,3849,3885,3823,3898,3822,3880,3930,3941,3851,3852,3830,3838,3853,3883,3897,3847,3855,3866,3912,3877,3901,3966,3767,3893,3860,3762,3966,3867.0,7.2605,41.6718,1736.5392,7734.0
N,3763,3829,3734,3716,3757,3756,3759,3743,3747,3780,3830,3782,3807,3751,3848,3795,3790,3793,3817,3779,3675,3714,3795,3734,3689,3746,3772,3724,3809,3751,3804,3764,3796,3765,3791,3782,3776,3753,3757,3719,3751,3792,3830,3765,3782,3852,3748,3780,3713,3769,3675,3852,3769.0,7.0765,38.0495,1447.7649,7538.0
R,3738,3736,3779,3598,3700,3721,3793,3842,3829,3745,3798,3731,3766,3671,3723,3757,3721,3759,3738,3727,3706,3708,3771,3719,3750,3822,3752,3756,3797,3739,3678,3859,3681,3733,3716,3823,3709,3759,3810,3811,3749,3759,3757,3692,3716,3699,3774,3785,3749,3694,3598,3859,3746.0,7.0333,49.029,2403.8469,7492.0
I,3685,3679,3735,3703,3714,3732,3689,3701,3739,3651,3703,3683,3701,3714,3636,3722,3666,3683,3725,3691,3726,3752,3724,3712,3632,3655,3715,3670,3629,3757,3683,3739,3706,3738,3670,3643,3729,3703,3663,3742,3698,3714,3758,3727,3691,3732,3765,3715,3655,3699,3629,3765,3701.0,6.9488,34.3075,1177.0057,7402.0
A,3743,3633,3657,3692,3758,3693,3679,3716,3721,3784,3667,3707,3605,3651,3722,3658,3743,3707,3637,3755,3676,3660,3667,3686,3668,3661,3687,3674,3688,3695,3688,3729,3716,3691,3729,3759,3675,3674,3706,3720,3668,3726,3678,3750,3645,3774,3696,3707,3649,3691,3605,3784,3695.0,6.9375,38.5324,1484.7465,7390.0
O,3538,3541,3491,3539,3621,3474,3554,3643,3568,3545,3544,3562,3587,3557,3568,3622,3494,3486,3520,3568,3503,3554,3501,3516,3585,3538,3543,3519,3531,3535,3543,3566,3475,3573,3606,3554,3557,3553,3487,3530,3557,3508,3587,3571,3494,3569,3588,3570,3575,3586,3474,3643,3547.0,6.6597,38.5115,1483.1363,7094.0
U,3419,3413,3441,3382,3425,3377,3389,3376,3430,3376,3397,3440,3388,3390,3405,3355,3460,3455,3399,3399,3440,3410,3413,3386,3408,3375,3367,3373,3446,3367,3408,3364,3423,3425,3389,3391,3389,3467,3474,3410,3387,3407,3394,3369,3389,3486,3449,3452,3339,3372,3339,3486,3405.0,6.393,33.1319,1097.7245,6810.0
L,2705,2774,2741,2767,2784,2725,2703,2716,2684,2783,2794,2739,2766,2681,2767,2781,2686,2734,2736,2822,2750,2748,2740,2674,2784,2755,2713,2754,2761,2701,2737,2728,2706,2859,2698,2715,2717,2781,2647,2775,2742,2720,2807,2752,2698,2725,2799,2713,2710,2766,2647,2859,2741.0,5.1464,41.3106,1706.5637,5482.0
