letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,16260.0,16420.0,16422.0,16564.0,16682.0,16462.0,16272.0,16476.0,16444.0,16620.0,16488.0,16136.0,16490.0,16442.0,16418.0,16490.0,16588.0,16516.0,16526.0,16496.0,16412.0,16476.0,16458.0,16658.0,16490.0,16292.0,16410.0,16506.0,16570.0,16544.0,16492.0,16342.0,16584.0,16308.0,16510.0,16368.0,16436.0,16408.0,16568.0,16438.0,16626.0,16338.0,16400.0,16436.0,16526.0,16434.0,16582.0,16638.0,16366.0,16768.0,16136.0,16768.0,16471.0,15.4605,116.8218,13647.3404
S,8740.0,8266.0,8286.0,8406.0,8240.0,8376.0,8324.0,8448.0,8428.0,8554.0,8384.0,8342.0,8438.0,8272.0,8384.0,8378.0,8170.0,8370.0,8202.0,8420.0,8212.0,8288.0,8302.0,8516.0,8440.0,8284.0,8310.0,8404.0,8374.0,8402.0,8354.0,8418.0,8314.0,8372.0,8398.0,8360.0,8352.0,8274.0,8310.0,8394.0,8362.0,8402.0,8302.0,8424.0,8264.0,8348.0,8416.0,8286.0,8198.0,8272.0,8170.0,8740.0,8355.0,7.8424,96.7825,9366.8571
T,7848.0,7750.0,7726.0,7578.0,7638.0,7744.0,7758.0,7744.0,7780.0,7614.0,7784.0,7778.0,7524.0,7768.0,7698.0,7816.0,7772.0,7822.0,7832.0,7706.0,7724.0,7766.0,7768.0,7604.0,7660.0,7698.0,7770.0,7646.0,7796.0,7644.0,7760.0,7860.0,7882.0,7702.0,7704.0,7660.0,7676.0,7706.0,7766.0,7794.0,7694.0,7710.0,7732.0,7824.0,7754.0,7802.0,7932.0,7534.0,7786.0,7720.0,7524.0,7932.0,7735.0,7.2605,83.3436,6946.1567
N,7526.0,7658.0,7468.0,7432.0,7514.0,7512.0,7518.0,7486.0,7494.0,7560.0,7660.0,7564.0,7614.0,7502.0,7696.0,7590.0,7580.0,7586.0,7634.0,7558.0,7350.0,7428.0,7590.0,7468.0,7378.0,7492.0,7544.0,7448.0,7618.0,7502.0,7608.0,7528.0,7592.0,7530.0,7582.0,7564.0,7552.0,7506.0,7514.0,7438.0,7502.0,7584.0,7660.0,7530.0,7564.0,7704.0,7496.0,7560.0,7426.0,7538.0,7350.0,7704.0,7538.0,7.0755,76.099,5791.0596
R,7476.0,7472.0,7558.0,7196.0,7400.0,7442.0,7586.0,7684.0,7658.0,7490.0,7596.0,7462.0,7532.0,7342.0,7446.0,7514.0,7442.0,7518.0,7476.0,7454.0,7412.0,7416.0,7542.0,7438.0,7500.0,7644.0,7504.0,7512.0,7594.0,7478.0,7356.0,7718.0,7362.0,7466.0,7432.0,7646.0,7418.0,7518.0,7620.0,7622.0,7498.0,7518.0,7514.0,7384.0,7432.0,7398.0,7548.0,7570.0,7498.0,7388.0,7196.0,7718.0,7493.0,7.0333,98.0581,9615.3878
I,7370.0,7358.0,7470.0,7406.0,7428.0,7464.0,7378.0,7402.0,7478.0,7302.0,7406.0,7366.0,7402.0,7428.0,7272.0,7444.0,7332.0,7366.0,7450.0,7382.0,7452.0,7504.0,7448.0,7424.0,7264.0,7310.0,7430.0,7340.0,7258.0,7514.0,7366.0,7478.0,7412.0,7476.0,7340.0,7286.0,7458.0,7406.0,7326.0,7484.0,7396.0,7428.0,7516.0,7454.0,7382.0,7464.0,7530.0,7430.0,7310.0,7398.0,7258.0,7530.0,7403.0,6.9488,68.615,4708.0229
A,7486.0,7266.0,7314.0,7384.0,7516.0,7386.0,7358.0,7432.0,7442.0,7568.0,7334.0,7414.0,7210.0,7302.0,7444.0,7316.0,7486.0,7414.0,7274.0,7510.0,7352.0,7320.0,7334.0,7372.0,7336.0,7322.0,7374.0,7348.0,7376.0,7390.0,7376.0,7458.0,7432.0,7382.0,7458.0,7518.0,7350.0,7348.0,7412.0,7440.0,7336.0,7452.0,7356.0,7500.0,7290.0,7548.0,7392.0,7414.0,7298.0,7382.0,7210.0,7568.0,7390.0,6.9366,77.0648,5938.9861
O,7076.0,7082.0,6982.0,7078.0,7242.0,6948.0,7108.0,7286.0,7136.0,7090.0,7088.0,7124.0,7174.0,7114.0,7136.0,7244.0,6988.0,6972.0,7040.0,7136.0,7006.0,7108.0,7002.0,7032.0,7170.0,7076.0,7086.0,7038.0,7062.0,7070.0,7086.0,7132.0,6950.0,7146.0,7212.0,7108.0,7114.0,7106.0,6974.0,7060.0,7114.0,7016.0,7174.0,7142.0,6988.0,7138.0,7176.0,7140.0,7150.0,7172.0,6948.0,7286.0,7095.0,6.6597,77.023,5932.5453
U,6838.0,6826.0,6882.0,6764.0,6850.0,6754.0,6778.0,6752.0,6860.0,6752.0,6794.0,6880.0,6776.0,6780.0,6810.0,6710.0,6920.0,6910.0,6798.0,6798.0,6880.0,6820.0,6826.0,6772.0,6816.0,6750.0,6734.0,6746.0,6892.0,6734.0,6816.0,6728.0,6846.0,6850.0,6778.0,6782.0,6778.0,6934.0,6948.0,6820.0,6774.0,6814.0,6788.0,6738.0,6778.0,6972.0,6898.0,6904.0,6678.0,6744.0,6678.0,6972.0,6811.0,6.3931,66.2639,4390.898
L,5410.0,5548.0,5482.0,5534.0,5568.0,5450.0,5406.0,5432.0,5368.0,5566.0,5588.0,5478.0,5532.0,5362.0,5534.0,5562.0,5372.0,5468.0,5472.0,5644.0,5500.0,5496.0,5480.0,5348.0,5568.0,5510.0,5426.0,5508.0,5522.0,5402.0,5474.0,5456.0,5412.0,5718.0,5396.0,5430.0,5434.0,5562.0,5294.0,5550.0,5484.0,5440.0,5614.0,5504.0,5396.0,5450.0,5598.0,5426.0,5420.0,5532.0,5294.0,5718.0,5482.0,5.1457,82.6212,6826.2547
