letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,22,26,24,27,24,24,27,25,22,22,23,26,25,24,25,26,23,25,25,23,25,23,24,23,25,23,25,25,23,23,24,24,23,24,23,25,26,24,25,25,24,26,25,24,24,23,27,24,26,24,22,27,24.0,5.2174,1.2875,1.6576,9887.0
N,22,23,23,24,23,24,22,22,24,23,23,24,22,22,23,24,22,22,23,23,23,24,23,24,22,24,23,22,22,22,23,21,23,22,22,23,20,24,23,23,23,23,23,23,24,21,23,21,24,24,20,24,22.0,4.7826,0.9476,0.898,4943.0
I,21,22,23,25,24,22,21,22,23,23,21,22,23,24,22,23,22,22,22,24,23,21,20,23,24,24,23,23,22,24,25,22,23,25,23,19,22,24,23,23,22,24,22,21,23,24,23,24,23,25,19,25,22.0,4.7826,1.2867,1.6555,4943.0
R,22,21,24,23,23,22,23,21,21,22,22,21,21,24,20,22,22,22,22,22,23,21,24,24,22,19,22,20,24,20,22,23,23,22,20,22,22,22,21,21,20,23,23,22,23,23,23,23,23,21,19,24,22.0,4.7826,1.2036,1.4486,4943.0
T,21,24,20,22,23,23,22,23,22,22,21,21,22,21,20,21,22,22,21,20,21,23,21,21,22,22,23,22,23,22,20,23,22,23,20,21,21,24,21,20,21,21,23,21,23,20,20,22,19,25,19,25,21.0,4.5652,1.2554,1.5759,3495.0
S,24,20,21,22,24,23,21,22,21,22,21,21,24,23,22,22,22,23,22,23,23,22,20,24,22,22,21,21,22,20,20,22,21,22,21,23,22,21,20,22,23,20,21,21,21,23,20,21,23,21,20,24,21.0,4.5652,1.1528,1.329,3495.0
D,21,20,21,21,22,21,20,19,19,18,21,22,22,21,21,22,22,21,21,20,20,22,21,22,22,20,21,22,21,20,21,21,21,21,23,22,24,22,23,21,21,20,21,22,20,22,21,21,23,22,18,24,21.0,4.5652,1.0947,1.1984,3495.0
A,23,20,21,22,24,20,22,19,23,22,21,24,22,21,22,19,21,22,21,21,21,22,21,20,23,20,21,25,20,21,22,20,20,22,22,21,20,22,22,20,20,20,22,22,21,21,19,21,21,19,19,25,21.0,4.5652,1.3138,1.7261,3495.0
H,20,22,22,21,22,20,24,22,23,21,22,21,22,21,22,21,20,20,21,24,23,23,22,20,21,21,22,21,20,23,22,23,21,21,23,23,23,21,22,23,23,21,21,22,22,22,21,23,21,22,20,24,21.0,4.5652,1.0654,1.1351,3495.0
U,21,21,23,21,21,20,21,19,21,19,20,19,21,21,22,20,18,20,20,21,24,20,17,20,20,20,21,19,22,21,22,23,21,20,20,21,19,21,20,18,20,21,21,20,21,22,22,22,20,19,17,24,20.0,4.3478,1.313,1.7241,2471.0
