letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,4943.0,19776.0,9887.0,27968.0,9887.0,9887.0,27968.0,13983.0,4943.0,4943.0,6991.0,19776.0,13983.0,9887.0,13983.0,19776.0,6991.0,13983.0,13983.0,6991.0,13983.0,6991.0,9887.0,6991.0,13983.0,6991.0,13983.0,13983.0,6991.0,6991.0,9887.0,9887.0,6991.0,9887.0,6991.0,13983.0,19776.0,9887.0,13983.0,13983.0,9887.0,19776.0,13983.0,9887.0,9887.0,6991.0,27968.0,9887.0,19776.0,9887.0,4943.0,27968.0,12289.0,15.7873,5824.9145,33929629.0943
I,3495.0,4943.0,6991.0,13983.0,9887.0,4943.0,3495.0,4943.0,6991.0,6991.0,3495.0,4943.0,6991.0,9887.0,4943.0,6991.0,4943.0,4943.0,4943.0,9887.0,6991.0,3495.0,2471.0,6991.0,9887.0,9887.0,6991.0,6991.0,4943.0,9887.0,13983.0,4943.0,6991.0,13983.0,6991.0,1747.0,4943.0,9887.0,6991.0,6991.0,4943.0,9887.0,4943.0,3495.0,6991.0,9887.0,6991.0,9887.0,6991.0,13983.0,1747.0,13983.0,7052.0,9.0595,3006.1132,9036716.5714
N,4943.0,6991.0,6991.0,9887.0,6991.0,9887.0,4943.0,4943.0,9887.0,6991.0,6991.0,9887.0,4943.0,4943.0,6991.0,9887.0,4943.0,4943.0,6991.0,6991.0,6991.0,9887.0,6991.0,9887.0,4943.0,9887.0,6991.0,4943.0,4943.0,4943.0,6991.0,3495.0,6991.0,4943.0,4943.0,6991.0,2471.0,9887.0,6991.0,6991.0,6991.0,6991.0,6991.0,6991.0,9887.0,3495.0,6991.0,3495.0,9887.0,9887.0,2471.0,9887.0,6853.0,8.8038,2076.6806,4312602.1224
R,4943.0,3495.0,9887.0,6991.0,6991.0,4943.0,6991.0,3495.0,3495.0,4943.0,4943.0,3495.0,3495.0,9887.0,2471.0,4943.0,4943.0,4943.0,4943.0,4943.0,6991.0,3495.0,9887.0,9887.0,4943.0,1747.0,4943.0,2471.0,9887.0,2471.0,4943.0,6991.0,6991.0,4943.0,2471.0,4943.0,4943.0,4943.0,3495.0,3495.0,2471.0,6991.0,6991.0,4943.0,6991.0,6991.0,6991.0,6991.0,6991.0,3495.0,1747.0,9887.0,5398.0,6.9346,2147.7259,4612726.3935
S,9887.0,2471.0,3495.0,4943.0,9887.0,6991.0,3495.0,4943.0,3495.0,4943.0,3495.0,3495.0,9887.0,6991.0,4943.0,4943.0,4943.0,6991.0,4943.0,6991.0,6991.0,4943.0,2471.0,9887.0,4943.0,4943.0,3495.0,3495.0,4943.0,2471.0,2471.0,4943.0,3495.0,4943.0,3495.0,6991.0,4943.0,3495.0,2471.0,4943.0,6991.0,2471.0,3495.0,3495.0,3495.0,6991.0,2471.0,3495.0,6991.0,3495.0,2471.0,9887.0,4926.0,6.3283,2068.8852,4280285.9363
T,3495.0,9887.0,2471.0,4943.0,6991.0,6991.0,4943.0,6991.0,4943.0,4943.0,3495.0,3495.0,4943.0,3495.0,2471.0,3495.0,4943.0,4943.0,3495.0,2471.0,3495.0,6991.0,3495.0,3495.0,4943.0,4943.0,6991.0,4943.0,6991.0,4943.0,2471.0,6991.0,4943.0,6991.0,2471.0,3495.0,3495.0,9887.0,3495.0,2471.0,3495.0,3495.0,6991.0,3495.0,6991.0,2471.0,2471.0,4943.0,1747.0,13983.0,1747.0,13983.0,4837.0,6.2139,2314.7431,5358035.6506
H,2471.0,4943.0,4943.0,3495.0,4943.0,2471.0,9887.0,4943.0,6991.0,3495.0,4943.0,3495.0,4943.0,3495.0,4943.0,3495.0,2471.0,2471.0,3495.0,9887.0,6991.0,6991.0,4943.0,2471.0,3495.0,3495.0,4943.0,3495.0,2471.0,6991.0,4943.0,6991.0,3495.0,3495.0,6991.0,6991.0,6991.0,3495.0,4943.0,6991.0,6991.0,3495.0,3495.0,4943.0,4943.0,4943.0,3495.0,6991.0,3495.0,4943.0,2471.0,9887.0,4831.0,6.2062,1832.8742,3359427.8139
A,6991.0,2471.0,3495.0,4943.0,9887.0,2471.0,4943.0,1747.0,6991.0,4943.0,3495.0,9887.0,4943.0,3495.0,4943.0,1747.0,3495.0,4943.0,3495.0,3495.0,3495.0,4943.0,3495.0,2471.0,6991.0,2471.0,3495.0,13983.0,2471.0,3495.0,4943.0,2471.0,2471.0,4943.0,4943.0,3495.0,2471.0,4943.0,4943.0,2471.0,2471.0,2471.0,4943.0,4943.0,3495.0,3495.0,1747.0,3495.0,3495.0,1747.0,1747.0,13983.0,4210.0,5.4085,2285.2289,5222271.1118
D,3495.0,2471.0,3495.0,3495.0,4943.0,3495.0,2471.0,1747.0,1747.0,1235.0,3495.0,4943.0,4943.0,3495.0,3495.0,4943.0,4943.0,3495.0,3495.0,2471.0,2471.0,4943.0,3495.0,4943.0,4943.0,2471.0,3495.0,4943.0,3495.0,2471.0,3495.0,3495.0,3495.0,3495.0,6991.0,4943.0,9887.0,4943.0,6991.0,3495.0,3495.0,2471.0,3495.0,4943.0,2471.0,4943.0,3495.0,3495.0,6991.0,4943.0,1235.0,9887.0,3959.0,5.086,1536.7357,2361556.5649
L,2471.0,1747.0,2471.0,3495.0,1747.0,3495.0,2471.0,1747.0,3495.0,2471.0,2471.0,3495.0,3495.0,2471.0,4943.0,4943.0,1747.0,2471.0,2471.0,3495.0,6991.0,6991.0,2471.0,2471.0,3495.0,6991.0,3495.0,2471.0,2471.0,2471.0,3495.0,9887.0,3495.0,2471.0,3495.0,3495.0,2471.0,2471.0,2471.0,4943.0,2471.0,3495.0,3495.0,4943.0,4943.0,4943.0,3495.0,3495.0,2471.0,1747.0,1747.0,9887.0,3442.0,4.4218,1598.2533,2554413.7208
