letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,12083,12083,12083,12083.0,15.6439,,,12083.0
N,7464,7464,7464,7464.0,9.6636,,,7464.0
I,6684,6684,6684,6684.0,8.6538,,,6684.0
R,5235,5235,5235,5235.0,6.7778,,,5235.0
H,4917,4917,4917,4917.0,6.366,,,4917.0
T,4900,4900,4900,4900.0,6.344,,,4900.0
S,4891,4891,4891,4891.0,6.3324,,,4891.0
A,3792,3792,3792,3792.0,4.9095,,,3792.0
D,3757,3757,3757,3757.0,4.8642,,,3757.0
L,3367,3367,3367,3367.0,4.3593,,,3367.0
U,3228,3228,3228,3228.0,4.1793,,,3228.0
C,2897,2897,2897,2897.0,3.7507,,,2897.0
M,2598,2598,2598,2598.0,3.3636,,,2598.0
O,2015,2015,2015,2015.0,2.6088,,,2015.0
G,1831,1831,1831,1831.0,2.3706,,,1831.0
B,1551,1551,1551,1551.0,2.0081,,,1551.0
W,1503,1503,1503,1503.0,1.9459,,,1503.0
F,1164,1164,1164,1164.0,1.507,,,1164.0
Z,950,950,950,950.0,1.23,,,950.0
K,881,881,881,881.0,1.1406,,,881.0
P,594,594,594,594.0,0.7691,,,594.0
V,499,499,499,499.0,0.6461,,,499.0
Y,198,198,198,198.0,0.2564,,,198.0
J,170,170,170,170.0,0.2201,,,170.0
Q,65,65,65,65.0,0.0842,,,65.0
X,4,4,4,4.0,0.0052,,,4.0
