letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,12083,12083,12083,12083.0,15.6439,,
N,7464,7464,7464,7464.0,9.6636,,
I,6684,6684,6684,6684.0,8.6538,,
R,5235,5235,5235,5235.0,6.7778,,
H,4917,4917,4917,4917.0,6.366,,
T,4900,4900,4900,4900.0,6.344,,
S,4891,4891,4891,4891.0,6.3324,,
A,3792,3792,3792,3792.0,4.9095,,
D,3757,3757,3757,3757.0,4.8642,,
L,3367,3367,3367,3367.0,4.3593,,
U,3228,3228,3228,3228.0,4.1793,,
C,2897,2897,2897,2897.0,3.7507,,
M,2598,2598,2598,2598.0,3.3636,,
O,2015,2015,2015,2015.0,2.6088,,
G,1831,1831,1831,1831.0,2.3706,,
B,1551,1551,1551,1551.0,2.0081,,
W,1503,1503,1503,1503.0,1.9459,,
F,1164,1164,1164,1164.0,1.507,,
Z,950,950,950,950.0,1.23,,
K,881,881,881,881.0,1.1406,,
P,594,594,594,594.0,0.7691,,
V,499,499,499,499.0,0.6461,,
Y,198,198,198,198.0,0.2564,,
J,170,170,170,170.0,0.2201,,
Q,65,65,65,65.0,0.0842,,
X,4,4,4,4.0,0.0052,,
