letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,6065,5962,6019,5984,6016,6103,5995,6131,6051,6081,6073,5983,6013,6094,6103,5969,5936,6098,6003,6039,6033,6068,6023,6014,6046,6092,6129,6031,6086,5984,6123,6049,5924,5982,6088,5997,6065,6025,5982,6035,5939,6018,6059,6095,6090,6091,6029,5990,5947,5972,5924,6131,6034.0,15.6325,54.0216,2918.3363,12068.0
N,3816,3747,3694,3755,3751,3739,3750,3705,3734,3722,3785,3742,3645,3715,3684,3754,3749,3748,3771,3791,3631,3734,3736,3765,3699,3697,3729,3710,3718,3782,3806,3715,3763,3695,3664,3748,3710,3736,3790,3709,3679,3742,3705,3743,3740,3717,3719,3807,3708,3773,3631,3816,3733.0,9.6712,39.4123,1553.331,7466.0
I,3326,3371,3349,3370,3329,3309,3390,3339,3327,3393,3355,3279,3381,3333,3302,3350,3387,3302,3360,3363,3298,3290,3394,3384,3323,3280,3302,3366,3363,3292,3283,3334,3363,3303,3340,3375,3314,3351,3365,3324,3356,3361,3347,3407,3347,3300,3322,3351,3320,3373,3279,3407,3340.0,8.6531,33.6021,1129.1024,6680.0
R,2625,2650,2674,2601,2617,2626,2641,2668,2597,2638,2539,2583,2560,2673,2618,2625,2651,2645,2651,2664,2584,2633,2574,2637,2651,2617,2614,2663,2650,2636,2618,2662,2657,2616,2650,2585,2615,2612,2583,2591,2621,2561,2655,2633,2628,2612,2584,2560,2597,2561,2539,2674,2620.0,6.7877,33.8253,1144.1486,5240.0
H,2521,2437,2387,2460,2407,2444,2465,2496,2447,2389,2451,2438,2437,2475,2473,2514,2374,2423,2461,2467,2469,2476,2477,2450,2380,2469,2460,2419,2480,2447,2460,2511,2472,2458,2384,2459,2387,2458,2482,2477,2466,2487,2447,2451,2495,2474,2487,2372,2405,2533,2372,2533,2453.0,6.3551,38.7052,1498.0963,4906.0
T,2423,2489,2404,2448,2434,2428,2422,2483,2435,2489,2468,2403,2389,2470,2462,2387,2451,2474,2458,2474,2390,2457,2452,2490,2431,2454,2455,2514,2431,2442,2480,2502,2424,2371,2405,2467,2451,2516,2462,2454,2457,2507,2409,2434,2448,2474,2446,2446,2412,2491,2371,2516,2449.0,6.3447,34.1622,1167.0535,4898.0
S,2379,2438,2480,2486,2382,2407,2486,2471,2456,2463,2419,2422,2500,2456,2394,2399,2466,2438,2449,2430,2525,2403,2461,2384,2442,2446,2442,2467,2452,2445,2443,2430,2467,2456,2431,2475,2430,2430,2465,2431,2489,2403,2436,2392,2459,2453,2422,2442,2501,2438,2379,2525,2443.0,6.3292,32.4106,1050.4445,4886.0
A,1904,1944,1945,1890,1932,1866,1898,1921,1885,1914,1833,1899,1899,1879,1891,1863,1901,1931,1959,1880,1888,1859,1895,1943,1859,1906,1904,1849,1879,1845,1969,1873,1886,1851,1892,1901,1882,1946,1877,1914,1867,1909,1935,1913,1921,1922,1884,1880,1909,1930,1833,1969,1898.0,4.9172,30.6954,942.2106,3796.0
D,1846,1875,1902,1852,1915,1886,1913,1873,1912,1914,1876,1854,1870,1924,1852,1953,1878,1860,1898,1867,1891,1891,1831,1897,1840,1879,1862,1904,1875,1891,1855,1899,1883,1904,1877,1860,1891,1907,1864,1869,1945,1864,1912,1903,1904,1866,1835,1856,1911,1899,1831,1953,1883.0,4.8784,26.9529,726.4592,3766.0
L,1729,1719,1674,1668,1705,1654,1647,1702,1661,1657,1677,1715,1678,1699,1707,1676,1679,1696,1722,1651,1690,1632,1691,1746,1705,1696,1702,1638,1691,1638,1674,1712,1660,1671,1658,1678,1702,1658,1658,1720,1723,1629,1663,1671,1662,1683,1699,1700,1686,1668,1629,1746,1682.0,4.3576,27.0502,731.7143,3364.0
U,1627,1565,1677,1604,1634,1576,1675,1616,1610,1601,1625,1702,1607,1575,1574,1581,1626,1637,1553,1611,1623,1594,1600,1635,1545,1624,1602,1591,1625,1604,1573,1631,1678,1583,1642,1628,1611,1545,1650,1622,1635,1643,1619,1572,1627,1583,1627,1655,1619,1642,1545,1702,1614.0,4.1815,34.0437,1158.9731,3228.0
