letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,12130.0,11924.0,12038.0,11968.0,12032.0,12206.0,11990.0,12262.0,12102.0,12162.0,12146.0,11966.0,12026.0,12188.0,12206.0,11938.0,11872.0,12196.0,12006.0,12078.0,12066.0,12136.0,12046.0,12028.0,12092.0,12184.0,12258.0,12062.0,12172.0,11968.0,12246.0,12098.0,11848.0,11964.0,12176.0,11994.0,12130.0,12050.0,11964.0,12070.0,11878.0,12036.0,12118.0,12190.0,12180.0,12182.0,12058.0,11980.0,11894.0,11944.0,11848.0,12262.0,12068.0,15.6303,108.0433,11673.3453
N,7632.0,7494.0,7388.0,7510.0,7502.0,7478.0,7500.0,7410.0,7468.0,7444.0,7570.0,7484.0,7290.0,7430.0,7368.0,7508.0,7498.0,7496.0,7542.0,7582.0,7262.0,7468.0,7472.0,7530.0,7398.0,7394.0,7458.0,7420.0,7436.0,7564.0,7612.0,7430.0,7526.0,7390.0,7328.0,7496.0,7420.0,7472.0,7580.0,7418.0,7358.0,7484.0,7410.0,7486.0,7480.0,7434.0,7438.0,7614.0,7416.0,7546.0,7262.0,7632.0,7466.0,9.6699,78.8246,6213.3241
I,6652.0,6742.0,6698.0,6740.0,6658.0,6618.0,6780.0,6678.0,6654.0,6786.0,6710.0,6558.0,6762.0,6666.0,6604.0,6700.0,6774.0,6604.0,6720.0,6726.0,6596.0,6580.0,6788.0,6768.0,6646.0,6560.0,6604.0,6732.0,6726.0,6584.0,6566.0,6668.0,6726.0,6606.0,6680.0,6750.0,6628.0,6702.0,6730.0,6648.0,6712.0,6722.0,6694.0,6814.0,6694.0,6600.0,6644.0,6702.0,6640.0,6746.0,6558.0,6814.0,6681.0,8.6531,67.2042,4516.4098
R,5250.0,5300.0,5348.0,5202.0,5234.0,5252.0,5282.0,5336.0,5194.0,5276.0,5078.0,5166.0,5120.0,5346.0,5236.0,5250.0,5302.0,5290.0,5302.0,5328.0,5168.0,5266.0,5148.0,5274.0,5302.0,5234.0,5228.0,5326.0,5300.0,5272.0,5236.0,5324.0,5314.0,5232.0,5300.0,5170.0,5230.0,5224.0,5166.0,5182.0,5242.0,5122.0,5310.0,5266.0,5256.0,5224.0,5168.0,5120.0,5194.0,5122.0,5078.0,5348.0,5240.0,6.7868,67.6505,4576.5943
H,5042.0,4874.0,4774.0,4920.0,4814.0,4888.0,4930.0,4992.0,4894.0,4778.0,4902.0,4876.0,4874.0,4950.0,4946.0,5028.0,4748.0,4846.0,4922.0,4934.0,4938.0,4952.0,4954.0,4900.0,4760.0,4938.0,4920.0,4838.0,4960.0,4894.0,4920.0,5022.0,4944.0,4916.0,4768.0,4918.0,4774.0,4916.0,4964.0,4954.0,4932.0,4974.0,4894.0,4902.0,4990.0,4948.0,4974.0,4744.0,4810.0,5066.0,4744.0,5066.0,4906.0,6.3542,77.4105,5992.3853
T,4846.0,4978.0,4808.0,4896.0,4868.0,4856.0,4844.0,4966.0,4870.0,4978.0,4936.0,4806.0,4778.0,4940.0,4924.0,4774.0,4902.0,4948.0,4916.0,4948.0,4780.0,4914.0,4904.0,4980.0,4862.0,4908.0,4910.0,5028.0,4862.0,4884.0,4960.0,5004.0,4848.0,4742.0,4810.0,4934.0,4902.0,5032.0,4924.0,4908.0,4914.0,5014.0,4818.0,4868.0,4896.0,4948.0,4892.0,4892.0,4824.0,4982.0,4742.0,5032.0,4898.0,6.3438,68.3243,4668.2139
S,4758.0,4876.0,4960.0,4972.0,4764.0,4814.0,4972.0,4942.0,4912.0,4926.0,4838.0,4844.0,5000.0,4912.0,4788.0,4798.0,4932.0,4876.0,4898.0,4860.0,5050.0,4806.0,4922.0,4768.0,4884.0,4892.0,4884.0,4934.0,4904.0,4890.0,4886.0,4860.0,4934.0,4912.0,4862.0,4950.0,4860.0,4860.0,4930.0,4862.0,4978.0,4806.0,4872.0,4784.0,4918.0,4906.0,4844.0,4884.0,5002.0,4876.0,4758.0,5050.0,4887.0,6.3296,64.8211,4201.778
A,3808.0,3888.0,3890.0,3780.0,3864.0,3732.0,3796.0,3842.0,3770.0,3828.0,3666.0,3798.0,3798.0,3758.0,3782.0,3726.0,3802.0,3862.0,3918.0,3760.0,3776.0,3718.0,3790.0,3886.0,3718.0,3812.0,3808.0,3698.0,3758.0,3690.0,3938.0,3746.0,3772.0,3702.0,3784.0,3802.0,3764.0,3892.0,3754.0,3828.0,3734.0,3818.0,3870.0,3826.0,3842.0,3844.0,3768.0,3760.0,3818.0,3860.0,3666.0,3938.0,3796.0,4.9165,61.3909,3768.8424
D,3692.0,3750.0,3804.0,3704.0,3830.0,3772.0,3826.0,3746.0,3824.0,3828.0,3752.0,3708.0,3740.0,3848.0,3704.0,3906.0,3756.0,3720.0,3796.0,3734.0,3782.0,3782.0,3662.0,3794.0,3680.0,3758.0,3724.0,3808.0,3750.0,3782.0,3710.0,3798.0,3766.0,3808.0,3754.0,3720.0,3782.0,3814.0,3728.0,3738.0,3890.0,3728.0,3824.0,3806.0,3808.0,3732.0,3670.0,3712.0,3822.0,3798.0,3662.0,3906.0,3767.0,4.879,53.9058,2905.8367
L,3458.0,3438.0,3348.0,3336.0,3410.0,3308.0,3294.0,3404.0,3322.0,3314.0,3354.0,3430.0,3356.0,3398.0,3414.0,3352.0,3358.0,3392.0,3444.0,3302.0,3380.0,3264.0,3382.0,3492.0,3410.0,3392.0,3404.0,3276.0,3382.0,3276.0,3348.0,3424.0,3320.0,3342.0,3316.0,3356.0,3404.0,3316.0,3316.0,3440.0,3446.0,3258.0,3326.0,3342.0,3324.0,3366.0,3398.0,3400.0,3372.0,3336.0,3258.0,3492.0,3364.0,4.357,54.1004,2926.8571
