letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,27,26,26,28,25,28,27,29,26,25,25,27,26,27,26,26,25,28,27,26,27,26,24,25,27,25,26,25,24,27,25,27,25,26,25,27,27,26,25,25,27,26,27,26,26,25,27,27,25,28,24,29,26.0,5.2104,1.1132,1.2392,19776.0
O,24,25,26,26,26,23,23,26,26,25,26,26,25,25,27,24,27,25,26,26,24,23,27,25,25,26,25,25,23,26,24,24,24,26,25,26,24,24,27,25,23,24,24,27,24,24,29,25,24,23,23,29,25.0,5.01,1.3242,1.7535,13983.0
A,26,25,27,26,26,26,26,25,25,25,28,25,24,25,27,23,26,26,25,25,25,26,26,28,26,27,25,25,27,25,25,26,28,26,25,24,27,27,26,23,25,27,23,27,26,25,25,25,26,27,23,28,25.0,5.01,1.1856,1.4057,13983.0
S,26,23,26,24,27,22,25,24,25,24,24,26,23,22,24,27,24,23,22,25,25,24,26,25,23,25,24,24,27,24,22,23,25,24,24,24,24,24,24,24,24,25,25,26,25,25,24,25,23,25,22,27,24.0,4.8096,1.2415,1.5412,9887.0
L,25,24,24,23,22,21,22,22,23,25,22,23,20,23,24,23,25,22,24,23,24,24,23,22,23,23,24,23,23,21,24,23,23,24,23,23,24,22,23,23,25,22,24,23,20,24,22,23,24,23,20,25,23.0,4.6092,1.1421,1.3045,6991.0
R,23,26,23,25,23,24,23,24,24,25,24,25,26,25,24,21,23,23,22,25,24,24,22,23,24,24,25,26,22,23,24,24,23,25,22,24,25,26,24,21,23,25,25,25,25,24,24,25,22,26,21,26,23.0,4.6092,1.2843,1.6494,6991.0
N,24,24,23,23,25,21,24,24,25,23,25,25,23,23,24,23,24,24,23,24,24,25,23,25,23,23,23,22,24,26,22,24,24,23,26,23,23,24,23,27,24,24,24,25,25,25,22,22,24,24,21,27,23.0,4.6092,1.1429,1.3061,6991.0
I,24,25,22,26,24,24,25,24,25,23,26,24,25,25,24,23,23,24,25,24,23,24,23,26,24,23,23,26,22,23,23,21,24,21,23,24,22,25,25,24,23,23,24,23,22,24,26,25,23,23,21,26,23.0,4.6092,1.2454,1.551,6991.0
U,21,24,22,24,21,22,22,22,22,24,23,21,24,24,23,24,24,22,25,23,23,22,23,24,23,23,26,20,23,23,26,24,23,22,22,24,23,21,23,23,23,22,23,24,22,22,22,23,24,21,20,26,22.0,4.4088,1.2395,1.5363,4943.0
M,22,22,21,23,24,21,23,23,21,21,22,22,23,23,23,21,24,23,23,20,20,24,22,23,22,21,22,23,23,22,22,21,24,21,23,22,24,21,23,22,21,22,22,21,20,24,22,22,23,21,20,24,22.0,4.4088,1.1132,1.2392,4943.0
