letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,27968.0,19776.0,19776.0,39553.0,13983.0,39553.0,27968.0,55937.0,19776.0,13983.0,13983.0,27968.0,19776.0,27968.0,19776.0,19776.0,13983.0,39553.0,27968.0,19776.0,27968.0,19776.0,9887.0,13983.0,27968.0,13983.0,19776.0,13983.0,9887.0,27968.0,13983.0,27968.0,13983.0,19776.0,13983.0,27968.0,27968.0,19776.0,13983.0,13983.0,27968.0,19776.0,27968.0,19776.0,19776.0,13983.0,27968.0,27968.0,13983.0,39553.0,9887.0,55937.0,22521.0,13.9393,9222.1149,85047403.22
A,19776.0,13983.0,27968.0,19776.0,19776.0,19776.0,19776.0,13983.0,13983.0,13983.0,39553.0,13983.0,9887.0,13983.0,27968.0,6991.0,19776.0,19776.0,13983.0,13983.0,13983.0,19776.0,19776.0,39553.0,19776.0,27968.0,13983.0,13983.0,27968.0,13983.0,13983.0,19776.0,39553.0,19776.0,13983.0,9887.0,27968.0,27968.0,19776.0,6991.0,13983.0,27968.0,6991.0,27968.0,19776.0,13983.0,13983.0,13983.0,19776.0,27968.0,6991.0,39553.0,19189.0,11.877,7889.7446,62248070.6106
O,9887.0,13983.0,19776.0,19776.0,19776.0,6991.0,6991.0,19776.0,19776.0,13983.0,19776.0,19776.0,13983.0,13983.0,27968.0,9887.0,27968.0,13983.0,19776.0,19776.0,9887.0,6991.0,27968.0,13983.0,13983.0,19776.0,13983.0,13983.0,6991.0,19776.0,9887.0,9887.0,9887.0,19776.0,13983.0,19776.0,9887.0,9887.0,27968.0,13983.0,6991.0,9887.0,9887.0,27968.0,9887.0,9887.0,55937.0,13983.0,9887.0,6991.0,6991.0,55937.0,15822.0,9.793,8471.4414,71765318.9208
S,19776.0,6991.0,19776.0,9887.0,27968.0,4943.0,13983.0,9887.0,13983.0,9887.0,9887.0,19776.0,6991.0,4943.0,9887.0,27968.0,9887.0,6991.0,4943.0,13983.0,13983.0,9887.0,19776.0,13983.0,6991.0,13983.0,9887.0,9887.0,27968.0,9887.0,4943.0,6991.0,13983.0,9887.0,9887.0,9887.0,9887.0,9887.0,9887.0,9887.0,9887.0,13983.0,13983.0,19776.0,13983.0,13983.0,9887.0,13983.0,6991.0,13983.0,4943.0,27968.0,12282.0,7.6019,5622.4085,31611477.6098
R,6991.0,19776.0,6991.0,13983.0,6991.0,9887.0,6991.0,9887.0,9887.0,13983.0,9887.0,13983.0,19776.0,13983.0,9887.0,3495.0,6991.0,6991.0,4943.0,13983.0,9887.0,9887.0,4943.0,6991.0,9887.0,9887.0,13983.0,19776.0,4943.0,6991.0,9887.0,9887.0,6991.0,13983.0,4943.0,9887.0,13983.0,19776.0,9887.0,3495.0,6991.0,13983.0,13983.0,13983.0,13983.0,9887.0,9887.0,13983.0,4943.0,19776.0,3495.0,19776.0,10611.0,6.5676,4446.0801,19767628.0037
I,9887.0,13983.0,4943.0,19776.0,9887.0,9887.0,13983.0,9887.0,13983.0,6991.0,19776.0,9887.0,13983.0,13983.0,9887.0,6991.0,6991.0,9887.0,13983.0,9887.0,6991.0,9887.0,6991.0,19776.0,9887.0,6991.0,6991.0,19776.0,4943.0,6991.0,6991.0,3495.0,9887.0,3495.0,6991.0,9887.0,4943.0,13983.0,13983.0,9887.0,6991.0,6991.0,9887.0,6991.0,4943.0,9887.0,19776.0,13983.0,6991.0,6991.0,3495.0,19776.0,10093.0,6.247,4387.1825,19247370.4363
N,9887.0,9887.0,6991.0,6991.0,13983.0,3495.0,9887.0,9887.0,13983.0,6991.0,13983.0,13983.0,6991.0,6991.0,9887.0,6991.0,9887.0,9887.0,6991.0,9887.0,9887.0,13983.0,6991.0,13983.0,6991.0,6991.0,6991.0,4943.0,9887.0,19776.0,4943.0,9887.0,9887.0,6991.0,19776.0,6991.0,6991.0,9887.0,6991.0,27968.0,9887.0,9887.0,9887.0,13983.0,13983.0,13983.0,4943.0,4943.0,9887.0,9887.0,3495.0,27968.0,9989.0,6.1827,4373.882,19130843.4796
D,3495.0,4943.0,6991.0,9887.0,9887.0,3495.0,9887.0,6991.0,6991.0,6991.0,9887.0,6991.0,4943.0,6991.0,6991.0,3495.0,3495.0,4943.0,6991.0,6991.0,9887.0,4943.0,4943.0,13983.0,9887.0,4943.0,3495.0,19776.0,9887.0,4943.0,6991.0,13983.0,3495.0,9887.0,6991.0,13983.0,13983.0,9887.0,4943.0,4943.0,4943.0,13983.0,9887.0,4943.0,6991.0,13983.0,3495.0,6991.0,9887.0,3495.0,3495.0,19776.0,7712.0,4.7733,3689.1822,13610065.078
L,13983.0,9887.0,9887.0,6991.0,4943.0,3495.0,4943.0,4943.0,6991.0,13983.0,4943.0,6991.0,2471.0,6991.0,9887.0,6991.0,13983.0,4943.0,9887.0,6991.0,9887.0,9887.0,6991.0,4943.0,6991.0,6991.0,9887.0,6991.0,6991.0,3495.0,9887.0,6991.0,6991.0,9887.0,6991.0,6991.0,9887.0,4943.0,6991.0,6991.0,13983.0,4943.0,9887.0,6991.0,2471.0,9887.0,4943.0,6991.0,9887.0,6991.0,2471.0,13983.0,7614.0,4.7127,2814.7769,7922969.182
T,4943.0,9887.0,3495.0,4943.0,9887.0,6991.0,4943.0,6991.0,9887.0,9887.0,4943.0,2471.0,4943.0,9887.0,13983.0,6991.0,4943.0,4943.0,6991.0,27968.0,6991.0,4943.0,4943.0,6991.0,6991.0,13983.0,4943.0,4943.0,6991.0,19776.0,4943.0,4943.0,9887.0,6991.0,4943.0,2471.0,6991.0,9887.0,4943.0,4943.0,9887.0,9887.0,6991.0,6991.0,2471.0,6991.0,13983.0,4943.0,6991.0,6991.0,2471.0,27968.0,7569.0,4.6848,4411.751,19463546.449
