letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,10703,10827,10932,10915,10931,10915,10952,10969,10857,10799,10885,10786,10795,10742,10905,10906,10756,10870,10815,11030,10873,10808,10745,10940,10869,10761,10854,10907,10852,10733,10905,10981,10907,10927,10787,11007,10771,10982,10893,10797,10997,10918,10949,10996,10996,10869,10859,10905,10788,10810,10703,11030,10873.0,13.6965,82.4374,6795.9282,21746.0
A,8902,8864,8882,8870,8920,8700,8910,8912,8843,8801,8863,8724,8779,8728,8750,8782,8829,8716,8875,8724,8824,8825,8772,8807,8740,8792,8789,8687,8818,8754,8893,8830,8854,8701,8890,8767,8911,8766,8791,8871,8795,8764,8746,8846,8769,8892,8825,8783,8799,8870,8687,8920,8810.0,11.0978,64.0861,4107.0306,17620.0
O,7540,7452,7502,7415,7396,7335,7363,7424,7420,7417,7337,7432,7570,7469,7512,7533,7473,7470,7441,7518,7497,7403,7419,7505,7479,7563,7292,7430,7421,7433,7513,7450,7451,7398,7420,7442,7425,7407,7473,7618,7427,7402,7472,7440,7542,7470,7418,7403,7440,7443,7292,7618,7450.0,9.3846,61.5548,3788.9898,14900.0
S,6231,6115,6152,6224,6209,6130,6193,6126,6224,6190,6085,6104,6156,6111,6120,6071,6180,6159,6191,6146,6137,6150,6169,6178,6163,6175,6208,6259,6060,6094,6166,6177,6112,6227,6079,6147,6131,6061,6170,6261,6219,6177,6236,6223,6143,6158,6203,6262,6142,6122,6060,6262,6162.0,7.7622,52.3053,2735.8465,12324.0
R,5509,5476,5541,5443,5504,5414,5481,5507,5440,5481,5518,5489,5469,5461,5594,5467,5454,5502,5463,5412,5490,5467,5396,5469,5522,5530,5441,5592,5530,5528,5506,5584,5505,5574,5497,5542,5410,5484,5506,5473,5501,5458,5460,5545,5501,5487,5491,5525,5475,5489,5396,5594,5492.0,6.9182,44.4423,1975.1188,10984.0
N,5029,5018,5090,4992,5032,4968,5028,4909,4963,5049,5027,5123,5095,5034,5004,4967,5064,5010,5026,4971,4983,5014,5049,4945,4986,5075,4970,4962,5090,5005,5036,4975,4996,4995,5020,4938,5011,4977,4943,4961,5038,5013,5112,4946,4979,4963,4961,5000,5040,4904,4904,5123,5005.0,6.3047,49.5861,2458.7771,10010.0
I,4715,4764,4694,4720,4781,4733,4709,4712,4705,4781,4721,4722,4713,4711,4697,4776,4730,4742,4691,4787,4690,4783,4773,4760,4599,4787,4743,4635,4736,4708,4738,4806,4721,4801,4663,4750,4773,4746,4704,4783,4756,4837,4742,4857,4762,4696,4777,4712,4761,4694,4599,4857,4737.0,5.9671,47.2144,2229.2004,9474.0
L,4517,4466,4386,4503,4509,4436,4487,4433,4456,4528,4492,4425,4437,4442,4455,4428,4516,4384,4398,4438,4492,4456,4366,4519,4496,4365,4416,4510,4510,4408,4514,4424,4493,4405,4437,4471,4438,4476,4591,4430,4532,4466,4513,4430,4457,4567,4465,4502,4390,4566,4365,4591,4464.0,5.6232,52.5515,2761.6608,8928.0
D,3753,3855,3861,3845,3749,3802,3810,3820,3768,3769,3798,3779,3754,3820,3862,3719,3770,3801,3827,3871,3851,3803,3803,3768,3812,3833,3787,3795,3861,3769,3799,3838,3758,3837,3841,3789,3794,3819,3813,3836,3764,3902,3874,3771,3790,3879,3830,3707,3810,3813,3707,3902,3807.0,4.7956,41.7486,1742.9424,7614.0
U,3707,3707,3656,3737,3698,3649,3749,3715,3697,3751,3726,3638,3691,3712,3690,3706,3615,3746,3688,3687,3650,3668,3691,3663,3721,3673,3669,3694,3738,3723,3703,3663,3633,3649,3601,3675,3636,3735,3645,3701,3711,3691,3663,3750,3664,3737,3606,3710,3662,3749,3601,3751,3688.0,4.6457,39.2159,1537.8894,7376.0
T,3621,3599,3582,3612,3579,3626,3569,3636,3611,3567,3613,3693,3559,3585,3526,3611,3626,3582,3488,3633,3631,3617,3584,3585,3578,3681,3623,3574,3645,3622,3619,3614,3571,3557,3618,3558,3575,3556,3630,3610,3585,3608,3586,3599,3620,3600,3655,3589,3641,3680,3488,3693,3602.0,4.5374,37.6921,1420.6976,7204.0
C,3139,3056,3116,3152,3176,3091,3165,3124,3080,3185,3157,3152,3097,3201,3184,3102,3153,3142,3168,3164,3139,3147,3118,3134,3116,3154,3108,3107,3116,3092,3211,3072,3168,3118,3098,3164,3156,3185,3230,3150,3134,3108,3154,3117,3201,3228,3138,3108,3096,3150,3056,3230,3140.0,3.9554,39.1987,1536.5343,6280.0
M,2704,2629,2657,2689,2697,2701,2709,2701,2657,2681,2684,2663,2687,2694,2680,2665,2685,2744,2713,2691,2689,2741,2685,2667,2659,2707,2737,2675,2674,2690,2773,2682,2727,2746,2638,2699,2659,2694,2655,2666,2744,2729,2725,2702,2692,2716,2684,2623,2704,2700,2623,2773,2692.0,3.3911,30.9653,958.8494,5384.0
P,1957,1949,1918,1929,1973,2004,1962,1987,2002,1923,1948,1944,1953,1915,1948,2040,1973,1999,1899,2003,2039,1966,1965,1953,2042,2012,1978,1975,1956,1978,1961,1928,1975,2001,2042,1944,1985,1976,1970,1905,1954,1985,1934,1941,1953,1995,1965,1959,1990,1986,1899,2042,1968.0,2.4791,33.9293,1151.1955,3936.0
H,1251,1237,1244,1280,1243,1290,1259,1258,1298,1247,1292,1257,1264,1231,1273,1328,1235,1288,1263,1299,1247,1270,1329,1244,1297,1283,1277,1275,1269,1318,1226,1218,1292,1270,1273,1305,1243,1303,1298,1258,1272,1217,1241,1305,1291,1250,1253,1251,1284,1293,1217,1329,1269.0,1.5985,27.5216,757.4404,2538.0
Q,1094,1116,1103,1118,1091,1067,1098,1091,1109,1137,1084,1134,1112,1120,1129,1064,1109,1102,1134,1146,1083,1118,1116,1104,1070,1128,1075,1111,1088,1109,1094,1086,1092,1105,1151,1100,1102,1066,1142,1095,1108,1121,1100,1083,1082,1117,1136,1112,1147,1100,1064,1151,1105.0,1.392,21.8805,478.7547,2210.0
B,1015,1014,1008,1034,1023,1005,993,935,1026,985,987,1019,1005,1019,969,1006,975,995,975,1002,1008,980,992,968,981,984,1005,1009,997,981,976,1000,993,1028,1003,1031,1014,998,988,994,1006,990,996,985,958,1039,1004,1022,986,1010,935,1039,998.0,1.2572,20.3454,413.9363,1996.0
Y,950,988,991,982,966,994,965,971,990,933,988,979,983,953,956,982,979,1009,970,974,1022,979,985,992,958,984,1006,1000,982,950,997,979,1003,962,1006,971,951,981,965,985,944,978,1003,970,989,962,968,971,992,964,933,1022,978.0,1.232,18.4224,339.3861,1956.0
V,958,954,989,963,954,986,954,940,938,971,944,979,939,955,980,987,962,943,974,970,952,944,984,947,1001,984,934,958,980,939,938,992,980,943,936,968,941,965,977,951,991,964,963,986,961,991,960,1016,947,966,934,1016,963.0,1.2131,19.7189,388.8363,1926.0
G,883,906,904,918,878,897,915,916,913,942,926,901,913,919,874,889,907,925,915,900,844,895,901,898,882,901,911,891,885,897,888,894,877,899,893,902,867,898,926,897,888,917,892,879,906,914,910,908,918,912,844,942,900.0,1.1337,17.3357,300.5261,1800.0
F,549,557,528,547,522,521,562,516,527,559,526,494,541,537,555,536,519,558,539,547,553,511,547,552,594,528,522,511,570,545,540,519,501,544,537,563,545,542,552,559,544,527,521,550,545,577,527,528,538,537,494,594,539.0,0.679,19.1481,366.6486,1078.0
Z,335,343,318,317,328,338,333,331,307,364,305,301,330,325,314,314,331,314,325,343,316,330,333,310,330,324,337,313,352,327,320,338,315,320,330,338,339,336,316,336,356,332,334,343,330,295,315,329,340,319,295,364,327.0,0.4119,13.7706,189.6282,654.0
J,290,295,254,280,275,282,271,264,270,290,274,301,254,249,263,266,273,284,260,272,287,285,267,271,286,252,280,289,273,252,276,283,281,283,291,280,268,274,308,280,287,273,268,270,291,241,268,291,297,291,241,308,276.0,0.3477,14.1493,200.2041,552.0
X,139,131,145,127,132,145,151,140,151,128,122,141,149,121,135,157,126,127,145,137,132,133,135,140,143,122,136,142,129,126,143,147,138,139,129,137,139,116,137,147,125,131,146,138,139,149,139,132,136,131,116,157,136.0,0.1713,8.8577,78.4592,272.0
K,2,3,3,2,4,3,2,2,3,3,1,3,2,4,4,4,3,2,3,1,5,4,4,3,3,3,3,2,3,1,4,1,4,3,2,2,5,1,5,3,3,2,5,4,2,3,3,4,3,3,1,5,2.0,0.0025,1.0768,1.1596,4.0
W,2,0,3,3,1,0,2,2,4,2,2,4,2,1,3,1,3,2,1,1,2,4,3,3,2,2,1,1,1,2,1,3,2,2,3,3,1,2,2,1,2,2,4,3,3,3,1,1,4,1,0,4,2.0,0.0025,1.0467,1.0955,4.0
