letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,21406.0,21654.0,21864.0,21830.0,21862.0,21830.0,21904.0,21938.0,21714.0,21598.0,21770.0,21572.0,21590.0,21484.0,21810.0,21812.0,21512.0,21740.0,21630.0,22060.0,21746.0,21616.0,21490.0,21880.0,21738.0,21522.0,21708.0,21814.0,21704.0,21466.0,21810.0,21962.0,21814.0,21854.0,21574.0,22014.0,21542.0,21964.0,21786.0,21594.0,21994.0,21836.0,21898.0,21992.0,21992.0,21738.0,21718.0,21810.0,21576.0,21620.0,21406.0,22060.0,21747.0,13.6958,164.8748,27183.7127
A,17804.0,17728.0,17764.0,17740.0,17840.0,17400.0,17820.0,17824.0,17686.0,17602.0,17726.0,17448.0,17558.0,17456.0,17500.0,17564.0,17658.0,17432.0,17750.0,17448.0,17648.0,17650.0,17544.0,17614.0,17480.0,17584.0,17578.0,17374.0,17636.0,17508.0,17786.0,17660.0,17708.0,17402.0,17780.0,17534.0,17822.0,17532.0,17582.0,17742.0,17590.0,17528.0,17492.0,17692.0,17538.0,17784.0,17650.0,17566.0,17598.0,17740.0,17374.0,17840.0,17621.0,11.0973,128.1722,16428.1224
O,15080.0,14904.0,15004.0,14830.0,14792.0,14670.0,14726.0,14848.0,14840.0,14834.0,14674.0,14864.0,15140.0,14938.0,15024.0,15066.0,14946.0,14940.0,14882.0,15036.0,14994.0,14806.0,14838.0,15010.0,14958.0,15126.0,14584.0,14860.0,14842.0,14866.0,15026.0,14900.0,14902.0,14796.0,14840.0,14884.0,14850.0,14814.0,14946.0,15236.0,14854.0,14804.0,14944.0,14880.0,15084.0,14940.0,14836.0,14806.0,14880.0,14886.0,14584.0,15236.0,14900.0,9.3837,123.1095,15155.9592
S,12462.0,12230.0,12304.0,12448.0,12418.0,12260.0,12386.0,12252.0,12448.0,12380.0,12170.0,12208.0,12312.0,12222.0,12240.0,12142.0,12360.0,12318.0,12382.0,12292.0,12274.0,12300.0,12338.0,12356.0,12326.0,12350.0,12416.0,12518.0,12120.0,12188.0,12332.0,12354.0,12224.0,12454.0,12158.0,12294.0,12262.0,12122.0,12340.0,12522.0,12438.0,12354.0,12472.0,12446.0,12286.0,12316.0,12406.0,12524.0,12284.0,12244.0,12120.0,12524.0,12325.0,7.762,104.6106,10943.3861
R,11018.0,10952.0,11082.0,10886.0,11008.0,10828.0,10962.0,11014.0,10880.0,10962.0,11036.0,10978.0,10938.0,10922.0,11188.0,10934.0,10908.0,11004.0,10926.0,10824.0,10980.0,10934.0,10792.0,10938.0,11044.0,11060.0,10882.0,11184.0,11060.0,11056.0,11012.0,11168.0,11010.0,11148.0,10994.0,11084.0,10820.0,10968.0,11012.0,10946.0,11002.0,10916.0,10920.0,11090.0,11002.0,10974.0,10982.0,11050.0,10950.0,10978.0,10792.0,11188.0,10984.0,6.9175,88.8846,7900.4751
N,10058.0,10036.0,10180.0,9984.0,10064.0,9936.0,10056.0,9818.0,9926.0,10098.0,10054.0,10246.0,10190.0,10068.0,10008.0,9934.0,10128.0,10020.0,10052.0,9942.0,9966.0,10028.0,10098.0,9890.0,9972.0,10150.0,9940.0,9924.0,10180.0,10010.0,10072.0,9950.0,9992.0,9990.0,10040.0,9876.0,10022.0,9954.0,9886.0,9922.0,10076.0,10026.0,10224.0,9892.0,9958.0,9926.0,9922.0,10000.0,10080.0,9808.0,9808.0,10246.0,10011.0,6.3047,99.1721,9835.1086
I,9430.0,9528.0,9388.0,9440.0,9562.0,9466.0,9418.0,9424.0,9410.0,9562.0,9442.0,9444.0,9426.0,9422.0,9394.0,9552.0,9460.0,9484.0,9382.0,9574.0,9380.0,9566.0,9546.0,9520.0,9198.0,9574.0,9486.0,9270.0,9472.0,9416.0,9476.0,9612.0,9442.0,9602.0,9326.0,9500.0,9546.0,9492.0,9408.0,9566.0,9512.0,9674.0,9484.0,9714.0,9524.0,9392.0,9554.0,9424.0,9522.0,9388.0,9198.0,9714.0,9475.0,5.9672,94.4288,8916.8016
L,9034.0,8932.0,8772.0,9006.0,9018.0,8872.0,8974.0,8866.0,8912.0,9056.0,8984.0,8850.0,8874.0,8884.0,8910.0,8856.0,9032.0,8768.0,8796.0,8876.0,8984.0,8912.0,8732.0,9038.0,8992.0,8730.0,8832.0,9020.0,9020.0,8816.0,9028.0,8848.0,8986.0,8810.0,8874.0,8942.0,8876.0,8952.0,9182.0,8860.0,9064.0,8932.0,9026.0,8860.0,8914.0,9134.0,8930.0,9004.0,8780.0,9132.0,8730.0,9182.0,8929.0,5.6233,105.103,11046.6433
D,7506.0,7710.0,7722.0,7690.0,7498.0,7604.0,7620.0,7640.0,7536.0,7538.0,7596.0,7558.0,7508.0,7640.0,7724.0,7438.0,7540.0,7602.0,7654.0,7742.0,7702.0,7606.0,7606.0,7536.0,7624.0,7666.0,7574.0,7590.0,7722.0,7538.0,7598.0,7676.0,7516.0,7674.0,7682.0,7578.0,7588.0,7638.0,7626.0,7672.0,7528.0,7804.0,7748.0,7542.0,7580.0,7758.0,7660.0,7414.0,7620.0,7626.0,7414.0,7804.0,7615.0,4.7958,83.4971,6971.7698
U,7414.0,7414.0,7312.0,7474.0,7396.0,7298.0,7498.0,7430.0,7394.0,7502.0,7452.0,7276.0,7382.0,7424.0,7380.0,7412.0,7230.0,7492.0,7376.0,7374.0,7300.0,7336.0,7382.0,7326.0,7442.0,7346.0,7338.0,7388.0,7476.0,7446.0,7406.0,7326.0,7266.0,7298.0,7202.0,7350.0,7272.0,7470.0,7290.0,7402.0,7422.0,7382.0,7326.0,7500.0,7328.0,7474.0,7212.0,7420.0,7324.0,7498.0,7202.0,7502.0,7377.0,4.6459,78.4319,6151.5576
