letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,28,30,29,28,28,29,28,26,26,29,27,27,28,28,28,28,26,26,29,28,26,27,28,29,27,28,29,28,29,26,29,28,28,27,27,28,25,28,28,28,31,29,27,28,28,27,29,28,27,28,25,31,27.0,4.9724,1.1373,1.2935,27968.0
S,25,26,27,26,24,26,26,25,28,24,26,24,27,25,27,28,24,25,26,26,26,26,27,27,26,25,26,24,25,25,25,27,28,24,25,25,24,25,27,24,25,25,25,25,26,26,24,26,26,25,24,28,25.0,4.6041,1.1265,1.269,13983.0
T,24,25,26,26,25,26,25,25,23,27,25,25,25,26,26,25,27,25,26,26,25,26,25,25,25,23,27,28,24,24,25,25,25,26,26,24,26,23,27,27,24,26,27,27,25,28,24,27,25,25,23,28,25.0,4.6041,1.198,1.4351,13983.0
R,25,25,23,25,23,25,25,24,26,25,24,24,26,23,25,24,25,24,27,26,25,26,25,24,23,25,23,28,25,25,26,26,26,27,23,25,24,25,26,27,27,26,26,28,27,25,27,25,24,26,23,28,25.0,4.6041,1.3045,1.7016,13983.0
I,25,25,23,26,26,26,26,24,26,26,24,26,26,23,26,26,25,26,24,26,24,25,23,25,26,25,24,26,25,27,24,24,26,24,27,25,27,25,25,24,24,25,27,24,26,25,26,25,27,25,23,27,25.0,4.6041,1.088,1.1837,13983.0
N,27,24,28,26,26,25,24,27,25,25,26,27,24,26,25,24,24,24,27,25,24,25,26,26,26,25,24,23,25,27,25,28,25,25,25,25,24,25,25,26,25,25,25,24,24,24,24,24,25,26,23,28,25.0,4.6041,1.1373,1.2935,13983.0
O,25,28,24,25,25,26,27,24,26,25,24,26,25,24,25,24,27,26,24,26,24,27,27,26,24,26,24,25,25,26,25,25,24,26,26,25,25,25,24,21,24,24,26,27,25,27,26,25,24,24,21,28,25.0,4.6041,1.2349,1.5249,13983.0
A,24,26,25,26,25,25,24,26,24,25,23,24,26,26,27,26,26,24,25,25,25,26,25,23,27,24,25,24,26,25,24,25,25,25,24,25,23,26,25,24,26,27,25,24,25,26,24,26,25,26,23,27,25.0,4.6041,1.0093,1.0188,13983.0
U,26,26,25,27,25,26,25,24,25,26,25,24,25,25,24,25,25,26,23,25,23,26,26,25,26,24,25,26,25,25,24,26,24,28,25,25,26,26,22,25,24,24,25,25,25,26,26,26,25,24,22,28,25.0,4.6041,1.0467,1.0955,13983.0
L,26,25,25,24,24,26,23,23,24,25,24,24,26,25,25,25,26,25,26,25,22,24,24,25,24,25,25,26,25,26,23,24,23,26,23,23,25,24,25,26,24,25,27,23,26,22,24,27,26,26,22,27,24.0,4.4199,1.2196,1.4873,9887.0
