letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,39553.0,79107.0,55937.0,39553.0,39553.0,55937.0,39553.0,19776.0,19776.0,55937.0,27968.0,27968.0,39553.0,39553.0,39553.0,39553.0,19776.0,19776.0,55937.0,39553.0,19776.0,27968.0,39553.0,55937.0,27968.0,39553.0,55937.0,39553.0,55937.0,19776.0,55937.0,39553.0,39553.0,27968.0,27968.0,39553.0,13983.0,39553.0,39553.0,39553.0,111875.0,55937.0,27968.0,39553.0,39553.0,27968.0,55937.0,39553.0,27968.0,39553.0,13983.0,111875.0,40097.0,17.1553,16704.5399,279041652.6486
S,13983.0,19776.0,27968.0,19776.0,9887.0,19776.0,19776.0,13983.0,39553.0,9887.0,19776.0,9887.0,27968.0,13983.0,27968.0,39553.0,9887.0,13983.0,19776.0,19776.0,19776.0,19776.0,27968.0,27968.0,19776.0,13983.0,19776.0,9887.0,13983.0,13983.0,13983.0,27968.0,39553.0,9887.0,13983.0,13983.0,9887.0,13983.0,27968.0,9887.0,13983.0,13983.0,13983.0,13983.0,19776.0,19776.0,9887.0,19776.0,19776.0,13983.0,9887.0,39553.0,18475.0,7.9045,7792.8372,60728312.3282
T,9887.0,13983.0,19776.0,19776.0,13983.0,19776.0,13983.0,13983.0,6991.0,27968.0,13983.0,13983.0,13983.0,19776.0,19776.0,13983.0,27968.0,13983.0,19776.0,19776.0,13983.0,19776.0,13983.0,13983.0,13983.0,6991.0,27968.0,39553.0,9887.0,9887.0,13983.0,13983.0,13983.0,19776.0,19776.0,9887.0,19776.0,6991.0,27968.0,27968.0,9887.0,19776.0,27968.0,27968.0,13983.0,39553.0,9887.0,27968.0,13983.0,13983.0,6991.0,39553.0,17722.0,7.5823,7590.3604,57613570.4261
R,13983.0,13983.0,6991.0,13983.0,6991.0,13983.0,13983.0,9887.0,19776.0,13983.0,9887.0,9887.0,19776.0,6991.0,13983.0,9887.0,13983.0,9887.0,27968.0,19776.0,13983.0,19776.0,13983.0,9887.0,6991.0,13983.0,6991.0,39553.0,13983.0,13983.0,19776.0,19776.0,19776.0,27968.0,6991.0,13983.0,9887.0,13983.0,19776.0,27968.0,27968.0,19776.0,19776.0,39553.0,27968.0,13983.0,27968.0,13983.0,9887.0,19776.0,6991.0,39553.0,16464.0,7.0441,7785.4412,60613095.2004
N,27968.0,9887.0,39553.0,19776.0,19776.0,13983.0,9887.0,27968.0,13983.0,13983.0,19776.0,27968.0,9887.0,19776.0,13983.0,9887.0,9887.0,9887.0,27968.0,13983.0,9887.0,13983.0,19776.0,19776.0,19776.0,13983.0,9887.0,6991.0,13983.0,27968.0,13983.0,39553.0,13983.0,13983.0,13983.0,13983.0,9887.0,13983.0,13983.0,19776.0,13983.0,13983.0,13983.0,9887.0,9887.0,9887.0,9887.0,9887.0,13983.0,19776.0,6991.0,39553.0,16160.0,6.914,7332.2234,53761500.7118
O,13983.0,39553.0,9887.0,13983.0,13983.0,19776.0,27968.0,9887.0,19776.0,13983.0,9887.0,19776.0,13983.0,9887.0,13983.0,9887.0,27968.0,19776.0,9887.0,19776.0,9887.0,27968.0,27968.0,19776.0,9887.0,19776.0,9887.0,13983.0,13983.0,19776.0,13983.0,13983.0,9887.0,19776.0,19776.0,13983.0,13983.0,13983.0,9887.0,3495.0,9887.0,9887.0,19776.0,27968.0,13983.0,27968.0,19776.0,13983.0,9887.0,9887.0,3495.0,39553.0,16124.0,6.8986,6943.5004,48212197.7453
I,13983.0,13983.0,6991.0,19776.0,19776.0,19776.0,19776.0,9887.0,19776.0,19776.0,9887.0,19776.0,19776.0,6991.0,19776.0,19776.0,13983.0,19776.0,9887.0,19776.0,9887.0,13983.0,6991.0,13983.0,19776.0,13983.0,9887.0,19776.0,13983.0,27968.0,9887.0,9887.0,19776.0,9887.0,27968.0,13983.0,27968.0,13983.0,13983.0,9887.0,9887.0,13983.0,27968.0,9887.0,19776.0,13983.0,19776.0,13983.0,27968.0,13983.0,6991.0,27968.0,16030.0,6.8584,5837.9588,34081763.4384
U,19776.0,19776.0,13983.0,27968.0,13983.0,19776.0,13983.0,9887.0,13983.0,19776.0,13983.0,9887.0,13983.0,13983.0,9887.0,13983.0,13983.0,19776.0,6991.0,13983.0,6991.0,19776.0,19776.0,13983.0,19776.0,9887.0,13983.0,19776.0,13983.0,13983.0,9887.0,19776.0,9887.0,39553.0,13983.0,13983.0,19776.0,19776.0,4943.0,13983.0,9887.0,9887.0,13983.0,13983.0,13983.0,19776.0,19776.0,19776.0,13983.0,9887.0,4943.0,39553.0,15314.0,6.552,5704.7609,32544296.6351
A,9887.0,19776.0,13983.0,19776.0,13983.0,13983.0,9887.0,19776.0,9887.0,13983.0,6991.0,9887.0,19776.0,19776.0,27968.0,19776.0,19776.0,9887.0,13983.0,13983.0,13983.0,19776.0,13983.0,6991.0,27968.0,9887.0,13983.0,9887.0,19776.0,13983.0,9887.0,13983.0,13983.0,13983.0,9887.0,13983.0,6991.0,19776.0,13983.0,9887.0,19776.0,27968.0,13983.0,9887.0,13983.0,19776.0,9887.0,19776.0,13983.0,19776.0,6991.0,27968.0,15041.0,6.4352,5246.0398,27520933.9629
L,19776.0,13983.0,13983.0,9887.0,9887.0,19776.0,6991.0,6991.0,9887.0,13983.0,9887.0,9887.0,19776.0,13983.0,13983.0,13983.0,19776.0,13983.0,19776.0,13983.0,4943.0,9887.0,9887.0,13983.0,9887.0,13983.0,13983.0,19776.0,13983.0,19776.0,6991.0,9887.0,6991.0,19776.0,6991.0,6991.0,13983.0,9887.0,13983.0,19776.0,9887.0,13983.0,27968.0,6991.0,19776.0,4943.0,9887.0,27968.0,19776.0,19776.0,4943.0,27968.0,13609.0,5.8226,5521.51,30487072.5714
