letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,18463,18500,18645,18634,18566,18725,18572,18594,18601,18864,18757,18781,18488,18742,18506,18551,18613,18521,18573,18488,18519,18633,18598,18442,18668,18596,18779,18650,18684,18612,18685,18503,18551,18615,18464,18637,18565,18618,18611,18493,18499,18632,18655,18750,18447,18622,18657,18518,18640,18652,18442,18864,18603.0,16.034,95.3841,9098.1261,37206.0
S,9471,9624,9495,9711,9561,9534,9495,9487,9494,9486,9559,9664,9593,9482,9556,9587,9461,9491,9615,9563,9697,9568,9517,9544,9516,9538,9510,9564,9551,9513,9571,9487,9599,9556,9577,9471,9536,9560,9499,9530,9585,9560,9492,9598,9589,9507,9461,9643,9493,9523,9461,9711,9545.0,8.2269,58.3153,3400.671,19090.0
A,8560,8527,8524,8617,8690,8586,8597,8377,8515,8666,8599,8632,8505,8528,8659,8697,8737,8516,8589,8604,8507,8615,8614,8610,8664,8536,8592,8596,8638,8548,8679,8687,8563,8516,8531,8610,8586,8608,8623,8682,8561,8648,8616,8521,8694,8595,8575,8588,8627,8469,8377,8737,8592.0,7.4055,68.1997,4651.1935,17184.0
N,8508,8502,8603,8613,8463,8522,8571,8694,8549,8499,8590,8587,8526,8537,8519,8672,8520,8544,8572,8636,8513,8545,8620,8451,8602,8583,8480,8514,8552,8547,8486,8542,8576,8620,8494,8512,8595,8529,8600,8492,8621,8485,8454,8519,8587,8548,8597,8590,8597,8514,8451,8694,8551.0,7.3702,54.9688,3021.5657,17102.0
T,8206,8356,8370,8338,8228,8254,8289,8193,8507,8346,8357,8289,8331,8324,8249,8217,8332,8389,8272,8287,8397,8322,8265,8256,8413,8335,8389,8310,8378,8428,8377,8371,8424,8345,8173,8230,8251,8328,8305,8395,8367,8340,8273,8297,8352,8268,8170,8400,8291,8300,8170,8507,8317.0,7.1685,71.0741,5051.5282,16634.0
I,8070,7988,7975,8119,8101,8011,8006,8089,7964,8120,8073,8105,8054,8115,8115,8079,8062,8159,8028,8092,8043,8060,8073,8006,7885,8114,8029,8032,8141,8081,8047,8074,8044,8068,8059,8014,8101,8047,8042,8158,8028,8172,8051,8067,8084,7964,8040,8043,8087,8158,7885,8172,8062.0,6.9487,55.6075,3092.1963,16124.0
R,8059,7994,7976,8153,8011,7930,8001,8012,8036,8044,8138,7913,7938,8010,8130,8103,7970,8036,8119,8114,8154,7991,7982,8077,8061,8015,7970,7979,8011,8136,8032,7988,8088,8021,7964,7880,7995,7969,8042,8062,8180,7986,8046,7958,8013,8141,8150,8071,8071,8088,7880,8180,8036.0,6.9263,70.0424,4905.9331,16072.0
U,7559,7496,7580,7478,7475,7598,7495,7610,7576,7525,7608,7638,7534,7532,7459,7478,7453,7486,7658,7575,7646,7546,7647,7499,7560,7592,7520,7476,7562,7522,7513,7534,7441,7559,7468,7477,7587,7488,7508,7558,7599,7546,7559,7542,7621,7490,7440,7541,7601,7495,7440,7658,7539.0,6.4979,57.4872,3304.7755,15078.0
O,7507,7390,7462,7425,7445,7516,7487,7461,7455,7488,7522,7476,7419,7553,7441,7551,7429,7435,7420,7367,7344,7359,7445,7380,7428,7540,7445,7536,7452,7433,7543,7406,7367,7503,7463,7414,7426,7429,7519,7416,7480,7364,7533,7410,7510,7421,7371,7303,7407,7403,7303,7553,7445.0,6.4169,59.3971,3528.02,14890.0
L,6534,6396,6569,6486,6492,6538,6531,6554,6451,6413,6499,6569,6464,6518,6454,6459,6443,6557,6474,6459,6543,6588,6414,6505,6577,6472,6442,6570,6504,6452,6538,6423,6557,6475,6490,6437,6449,6542,6621,6488,6506,6503,6504,6520,6428,6503,6398,6516,6467,6466,6396,6621,6495.0,5.5981,52.9695,2805.7698,12990.0
M,4005,3980,4034,3967,3914,3977,4092,4048,4003,4072,4007,4039,3987,3970,4017,3938,4136,3935,3975,4081,3984,3925,3910,4094,3996,3992,4009,4009,3955,4024,4000,4005,4021,3980,3952,3981,4015,4034,3952,4014,4014,4014,3984,4007,3894,4007,4013,3971,4009,4036,3894,4136,3999.0,3.4468,47.5236,2258.4963,7998.0
D,3926,3783,3914,3872,3834,3815,3773,3846,3857,3849,3878,3833,3874,3853,3860,3838,3824,3872,3832,3847,3849,3750,3872,3862,3872,3816,3819,3874,3897,3799,3841,3807,3822,3877,3792,3784,3834,3885,3849,3871,3806,3839,3848,3893,3819,3898,3845,3859,3765,3803,3750,3926,3842.0,3.3114,38.1593,1456.131,7684.0
C,3600,3536,3576,3709,3617,3570,3695,3653,3580,3618,3627,3602,3674,3587,3594,3549,3562,3597,3600,3610,3673,3662,3621,3689,3649,3597,3626,3574,3606,3557,3599,3606,3644,3581,3579,3513,3623,3664,3654,3592,3585,3598,3593,3655,3621,3650,3597,3582,3669,3621,3513,3709,3612.0,3.1132,41.8179,1748.7363,7224.0
P,3299,3282,3314,3323,3267,3277,3320,3257,3286,3314,3305,3282,3314,3268,3267,3248,3325,3313,3203,3343,3298,3276,3269,3238,3326,3245,3236,3299,3271,3282,3323,3203,3295,3249,3243,3206,3329,3247,3294,3331,3271,3246,3282,3330,3217,3334,3320,3313,3261,3317,3203,3343,3283.0,2.8296,37.1409,1379.4433,6566.0
V,2129,2163,2138,2047,2076,2148,2153,2077,2044,2093,2077,2065,2092,2104,2109,2066,2088,2081,2135,2102,2089,2093,2162,2068,2096,2081,2045,2096,2110,2068,2055,2096,2174,2106,2116,2093,2078,2123,2061,2061,2101,2158,2087,2099,2057,2050,2095,2126,2138,2071,2044,2174,2096.0,1.8066,33.5401,1124.9388,4192.0
Q,1416,1450,1415,1446,1490,1470,1452,1449,1439,1447,1428,1441,1476,1432,1436,1459,1426,1438,1419,1440,1470,1447,1447,1450,1414,1415,1507,1424,1460,1488,1425,1512,1458,1450,1482,1456,1484,1488,1482,1390,1421,1432,1455,1452,1461,1426,1496,1467,1420,1428,1390,1512,1449.0,1.2489,26.7446,715.2751,2898.0
H,1437,1410,1400,1392,1400,1390,1371,1395,1403,1406,1446,1413,1435,1384,1347,1422,1438,1393,1347,1419,1376,1387,1408,1424,1410,1363,1397,1420,1403,1406,1397,1382,1397,1407,1395,1437,1415,1435,1418,1410,1419,1376,1379,1406,1409,1406,1428,1333,1391,1353,1333,1446,1400.0,1.2067,24.868,618.4184,2800.0
F,1232,1226,1192,1200,1219,1182,1197,1180,1179,1182,1191,1210,1190,1221,1130,1208,1176,1171,1186,1223,1196,1167,1181,1199,1247,1211,1236,1210,1202,1205,1220,1213,1212,1204,1194,1188,1163,1162,1198,1229,1198,1237,1164,1205,1193,1213,1182,1222,1211,1169,1130,1247,1198.0,1.0326,23.0051,529.2343,2396.0
G,1105,1114,1117,1150,1091,1109,1136,1121,1153,1098,1108,1146,1157,1130,1136,1137,1126,1102,1127,1125,1145,1101,1144,1127,1073,1121,1125,1124,1108,1110,1089,1125,1099,1066,1114,1096,1111,1110,1135,1126,1131,1116,1109,1103,1146,1112,1105,1143,1141,1153,1066,1157,1119.0,0.9645,20.3559,414.3608,2238.0
B,975,961,921,960,950,1004,966,969,949,960,1001,965,976,952,1001,963,989,977,940,997,969,986,983,950,964,969,942,990,959,969,998,977,980,971,991,972,942,968,958,975,991,964,976,966,984,982,969,963,1013,981,921,1013,971.0,0.8369,18.2881,334.4555,1942.0
J,664,645,666,653,659,682,655,655,670,702,675,690,690,645,668,695,649,675,657,648,677,663,662,655,665,699,683,658,666,671,663,677,691,669,660,681,681,684,690,669,672,662,672,696,641,680,662,655,687,700,641,702,670.0,0.5775,15.7201,247.12,1340.0
X,418,392,403,403,398,400,382,378,406,378,382,377,388,389,378,396,403,395,373,404,369,389,388,397,385,403,372,402,400,397,380,408,395,379,408,408,399,389,393,374,389,401,411,377,420,346,393,386,389,380,346,420,391.0,0.337,13.8961,193.102,782.0
Z,363,339,372,357,355,372,359,363,333,356,371,390,369,358,347,366,344,381,370,376,385,366,376,373,366,382,369,350,382,372,394,385,375,396,347,375,391,370,349,371,370,382,383,379,354,375,367,391,371,376,333,396,369.0,0.318,14.3851,206.931,738.0
Y,329,312,327,314,322,327,327,299,326,330,328,327,325,319,298,324,328,307,309,318,321,336,318,318,309,304,289,309,296,324,305,302,322,306,329,309,309,332,312,339,324,308,326,294,321,319,325,340,328,335,289,340,318.0,0.2741,12.181,148.3776,636.0
K,106,98,97,102,109,106,101,105,107,101,101,99,100,104,104,100,105,105,99,86,107,112,105,97,99,104,110,117,105,106,102,108,98,115,78,105,106,110,102,96,105,104,112,96,105,100,121,97,106,114,78,121,103.0,0.0888,7.0918,50.2943,206.0
W,20,21,12,16,19,17,15,22,17,17,16,16,15,20,16,12,19,17,15,17,14,18,19,21,12,20,20,13,19,21,20,19,17,15,15,16,17,22,23,27,19,21,15,21,21,14,18,21,16,16,12,27,17.0,0.0147,3.1252,9.7669,34.0
