letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,36926.0,37000.0,37290.0,37268.0,37132.0,37450.0,37144.0,37188.0,37202.0,37728.0,37514.0,37562.0,36976.0,37484.0,37012.0,37102.0,37226.0,37042.0,37146.0,36976.0,37038.0,37266.0,37196.0,36884.0,37336.0,37192.0,37558.0,37300.0,37368.0,37224.0,37370.0,37006.0,37102.0,37230.0,36928.0,37274.0,37130.0,37236.0,37222.0,36986.0,36998.0,37264.0,37310.0,37500.0,36894.0,37244.0,37314.0,37036.0,37280.0,37304.0,36884.0,37728.0,37207.0,16.0332,190.7682,36392.5045
S,18942.0,19248.0,18990.0,19422.0,19122.0,19068.0,18990.0,18974.0,18988.0,18972.0,19118.0,19328.0,19186.0,18964.0,19112.0,19174.0,18922.0,18982.0,19230.0,19126.0,19394.0,19136.0,19034.0,19088.0,19032.0,19076.0,19020.0,19128.0,19102.0,19026.0,19142.0,18974.0,19198.0,19112.0,19154.0,18942.0,19072.0,19120.0,18998.0,19060.0,19170.0,19120.0,18984.0,19196.0,19178.0,19014.0,18922.0,19286.0,18986.0,19046.0,18922.0,19422.0,19091.0,8.2267,116.6305,13602.6841
A,17120.0,17054.0,17048.0,17234.0,17380.0,17172.0,17194.0,16754.0,17030.0,17332.0,17198.0,17264.0,17010.0,17056.0,17318.0,17394.0,17474.0,17032.0,17178.0,17208.0,17014.0,17230.0,17228.0,17220.0,17328.0,17072.0,17184.0,17192.0,17276.0,17096.0,17358.0,17374.0,17126.0,17032.0,17062.0,17220.0,17172.0,17216.0,17246.0,17364.0,17122.0,17296.0,17232.0,17042.0,17388.0,17190.0,17150.0,17176.0,17254.0,16938.0,16754.0,17474.0,17184.0,7.4049,136.3993,18604.7739
N,17016.0,17004.0,17206.0,17226.0,16926.0,17044.0,17142.0,17388.0,17098.0,16998.0,17180.0,17174.0,17052.0,17074.0,17038.0,17344.0,17040.0,17088.0,17144.0,17272.0,17026.0,17090.0,17240.0,16902.0,17204.0,17166.0,16960.0,17028.0,17104.0,17094.0,16972.0,17084.0,17152.0,17240.0,16988.0,17024.0,17190.0,17058.0,17200.0,16984.0,17242.0,16970.0,16908.0,17038.0,17174.0,17096.0,17194.0,17180.0,17194.0,17028.0,16902.0,17388.0,17103.0,7.37,109.9375,12086.2629
T,16412.0,16712.0,16740.0,16676.0,16456.0,16508.0,16578.0,16386.0,17014.0,16692.0,16714.0,16578.0,16662.0,16648.0,16498.0,16434.0,16664.0,16778.0,16544.0,16574.0,16794.0,16644.0,16530.0,16512.0,16826.0,16670.0,16778.0,16620.0,16756.0,16856.0,16754.0,16742.0,16848.0,16690.0,16346.0,16460.0,16502.0,16656.0,16610.0,16790.0,16734.0,16680.0,16546.0,16594.0,16704.0,16536.0,16340.0,16800.0,16582.0,16600.0,16340.0,17014.0,16635.0,7.1683,142.1482,20206.1127
I,16140.0,15976.0,15950.0,16238.0,16202.0,16022.0,16012.0,16178.0,15928.0,16240.0,16146.0,16210.0,16108.0,16230.0,16230.0,16158.0,16124.0,16318.0,16056.0,16184.0,16086.0,16120.0,16146.0,16012.0,15770.0,16228.0,16058.0,16064.0,16282.0,16162.0,16094.0,16148.0,16088.0,16136.0,16118.0,16028.0,16202.0,16094.0,16084.0,16316.0,16056.0,16344.0,16102.0,16134.0,16168.0,15928.0,16080.0,16086.0,16174.0,16316.0,15770.0,16344.0,16125.0,6.9486,111.215,12368.7853
R,16118.0,15988.0,15952.0,16306.0,16022.0,15860.0,16002.0,16024.0,16072.0,16088.0,16276.0,15826.0,15876.0,16020.0,16260.0,16206.0,15940.0,16072.0,16238.0,16228.0,16308.0,15982.0,15964.0,16154.0,16122.0,16030.0,15940.0,15958.0,16022.0,16272.0,16064.0,15976.0,16176.0,16042.0,15928.0,15760.0,15990.0,15938.0,16084.0,16124.0,16360.0,15972.0,16092.0,15916.0,16026.0,16282.0,16300.0,16142.0,16142.0,16176.0,15760.0,16360.0,16072.0,6.9257,140.0847,19623.7322
U,15118.0,14992.0,15160.0,14956.0,14950.0,15196.0,14990.0,15220.0,15152.0,15050.0,15216.0,15276.0,15068.0,15064.0,14918.0,14956.0,14906.0,14972.0,15316.0,15150.0,15292.0,15092.0,15294.0,14998.0,15120.0,15184.0,15040.0,14952.0,15124.0,15044.0,15026.0,15068.0,14882.0,15118.0,14936.0,14954.0,15174.0,14976.0,15016.0,15116.0,15198.0,15092.0,15118.0,15084.0,15242.0,14980.0,14880.0,15082.0,15202.0,14990.0,14880.0,15316.0,15078.0,6.4974,114.9744,13219.102
O,15014.0,14780.0,14924.0,14850.0,14890.0,15032.0,14974.0,14922.0,14910.0,14976.0,15044.0,14952.0,14838.0,15106.0,14882.0,15102.0,14858.0,14870.0,14840.0,14734.0,14688.0,14718.0,14890.0,14760.0,14856.0,15080.0,14890.0,15072.0,14904.0,14866.0,15086.0,14812.0,14734.0,15006.0,14926.0,14828.0,14852.0,14858.0,15038.0,14832.0,14960.0,14728.0,15066.0,14820.0,15020.0,14842.0,14742.0,14606.0,14814.0,14806.0,14606.0,15106.0,14891.0,6.4168,118.7943,14112.08
L,13068.0,12792.0,13138.0,12972.0,12984.0,13076.0,13062.0,13108.0,12902.0,12826.0,12998.0,13138.0,12928.0,13036.0,12908.0,12918.0,12886.0,13114.0,12948.0,12918.0,13086.0,13176.0,12828.0,13010.0,13154.0,12944.0,12884.0,13140.0,13008.0,12904.0,13076.0,12846.0,13114.0,12950.0,12980.0,12874.0,12898.0,13084.0,13242.0,12976.0,13012.0,13006.0,13008.0,13040.0,12856.0,13006.0,12796.0,13032.0,12934.0,12932.0,12792.0,13242.0,12990.0,5.5976,105.939,11223.0792
