letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,25,28,28,26,27,27,28,29,26,25,26,28,26,27,26,27,28,27,28,28,26,26,27,26,26,28,28,25,27,27,26,25,26,28,27,27,28,26,26,26,26,28,27,28,25,27,27,27,28,28,25,29,26.0,5.1181,1.0373,1.0759,19776.0
N,25,26,28,25,26,27,24,29,26,25,24,26,28,23,24,25,26,25,25,24,25,23,25,26,25,23,23,25,25,23,26,25,25,26,25,25,26,25,25,24,26,27,26,25,25,28,25,24,26,26,23,29,25.0,4.9213,1.3254,1.7567,13983.0
R,25,23,26,24,24,24,23,23,23,24,25,24,23,24,23,24,24,25,24,25,24,24,24,25,24,23,24,27,25,22,24,25,23,24,26,22,25,24,26,24,27,26,26,23,26,26,24,25,26,26,22,27,24.0,4.7244,1.2122,1.4694,9887.0
I,27,27,25,23,26,27,23,24,24,25,23,23,27,24,26,22,24,26,24,26,25,25,25,24,27,26,25,24,23,25,24,25,23,26,25,23,23,25,25,24,24,22,24,26,25,25,24,24,25,25,22,27,24.0,4.7244,1.3056,1.7045,9887.0
H,24,25,24,24,23,24,25,25,25,22,22,22,24,26,23,23,25,24,24,24,25,23,26,23,22,23,25,22,22,23,23,24,25,24,22,25,26,23,26,23,23,24,25,24,23,23,23,24,24,24,22,26,23.0,4.5276,1.1606,1.3469,6991.0
S,21,25,25,24,23,24,25,24,23,22,23,24,25,26,26,24,23,24,24,23,24,24,22,24,24,23,24,25,24,22,24,23,24,23,24,23,24,24,23,23,24,24,23,25,24,24,24,22,23,24,21,26,23.0,4.5276,0.9906,0.9812,6991.0
A,21,25,24,24,22,22,23,24,23,23,23,26,25,23,25,24,25,23,25,23,22,22,23,27,23,26,22,25,22,22,24,25,23,26,23,24,25,23,23,23,24,23,26,25,24,24,21,25,22,25,21,27,23.0,4.5276,1.4033,1.9694,6991.0
D,23,24,23,24,24,26,23,24,23,25,23,24,21,25,24,22,23,22,22,20,23,25,23,22,23,23,22,23,24,23,24,21,22,22,22,24,24,23,23,23,22,21,24,21,22,26,26,25,23,23,20,26,23.0,4.5276,1.3403,1.7963,6991.0
T,23,24,25,26,26,23,25,27,24,24,23,26,23,24,22,25,21,25,22,23,23,23,24,24,22,27,22,23,24,24,23,22,22,23,23,23,23,23,26,23,23,22,26,23,24,23,25,23,25,22,21,27,23.0,4.5276,1.4205,2.018,6991.0
L,21,22,23,22,22,20,23,22,21,21,22,25,22,23,22,23,23,23,23,20,22,22,22,21,23,24,22,24,23,23,23,23,21,22,23,24,22,23,22,23,22,24,24,25,24,22,23,24,21,24,20,25,22.0,4.3307,1.1457,1.3127,4943.0
U,22,23,25,21,21,22,23,24,22,22,24,24,22,23,22,22,22,24,23,25,21,25,22,24,22,22,24,21,24,22,21,22,23,21,23,23,22,23,23,23,22,22,23,22,23,21,23,21,22,23,21,25,22.0,4.3307,1.1082,1.2282,4943.0
G,22,22,22,23,23,20,23,21,22,22,21,23,23,23,23,20,23,22,20,23,23,21,23,22,21,24,25,23,24,23,19,25,21,24,22,22,21,23,22,23,22,23,22,22,23,24,23,22,21,20,19,25,22.0,4.3307,1.2784,1.6343,4943.0
O,22,20,23,22,21,21,22,21,22,19,21,21,21,22,22,24,23,21,19,21,23,21,21,21,21,20,22,23,20,21,21,21,22,21,20,21,23,21,22,22,21,23,21,22,22,21,21,20,22,21,19,24,21.0,4.1339,1.028,1.0567,3495.0
M,21,21,23,24,23,22,23,22,22,23,23,21,21,21,21,24,21,21,24,21,23,22,21,21,22,22,21,21,22,23,21,22,22,19,23,21,22,23,21,23,22,20,22,21,22,21,20,23,23,22,19,24,21.0,4.1339,1.0882,1.1841,3495.0
