letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,13983.0,39553.0,39553.0,19776.0,27968.0,27968.0,39553.0,55937.0,19776.0,13983.0,19776.0,39553.0,19776.0,27968.0,19776.0,27968.0,39553.0,27968.0,39553.0,39553.0,19776.0,19776.0,27968.0,19776.0,19776.0,39553.0,39553.0,13983.0,27968.0,27968.0,19776.0,13983.0,19776.0,39553.0,27968.0,27968.0,39553.0,19776.0,19776.0,19776.0,19776.0,39553.0,27968.0,39553.0,13983.0,27968.0,27968.0,27968.0,39553.0,39553.0,13983.0,55937.0,28146.0,16.7942,9875.1226,97518047.0731
N,13983.0,19776.0,39553.0,13983.0,19776.0,27968.0,9887.0,55937.0,19776.0,13983.0,9887.0,19776.0,39553.0,6991.0,9887.0,13983.0,19776.0,13983.0,13983.0,9887.0,13983.0,6991.0,13983.0,19776.0,13983.0,6991.0,6991.0,13983.0,13983.0,6991.0,19776.0,13983.0,13983.0,19776.0,13983.0,13983.0,19776.0,13983.0,13983.0,9887.0,19776.0,27968.0,19776.0,13983.0,13983.0,39553.0,13983.0,9887.0,19776.0,19776.0,6991.0,55937.0,17231.0,10.2814,9440.0593,89114719.3065
I,27968.0,27968.0,13983.0,6991.0,19776.0,27968.0,6991.0,9887.0,9887.0,13983.0,6991.0,6991.0,27968.0,9887.0,19776.0,4943.0,9887.0,19776.0,9887.0,19776.0,13983.0,13983.0,13983.0,9887.0,27968.0,19776.0,13983.0,9887.0,6991.0,13983.0,9887.0,13983.0,6991.0,19776.0,13983.0,6991.0,6991.0,13983.0,13983.0,9887.0,9887.0,4943.0,9887.0,19776.0,13983.0,13983.0,9887.0,9887.0,13983.0,13983.0,4943.0,27968.0,13647.0,8.1429,6356.4652,40404649.982
R,13983.0,6991.0,19776.0,9887.0,9887.0,9887.0,6991.0,6991.0,6991.0,9887.0,13983.0,9887.0,6991.0,9887.0,6991.0,9887.0,9887.0,13983.0,9887.0,13983.0,9887.0,9887.0,9887.0,13983.0,9887.0,6991.0,9887.0,27968.0,13983.0,4943.0,9887.0,13983.0,6991.0,9887.0,19776.0,4943.0,13983.0,9887.0,19776.0,9887.0,27968.0,19776.0,19776.0,6991.0,19776.0,19776.0,9887.0,13983.0,19776.0,19776.0,4943.0,27968.0,12408.0,7.4036,5517.0246,30437560.3776
T,6991.0,9887.0,13983.0,19776.0,19776.0,6991.0,13983.0,27968.0,9887.0,9887.0,6991.0,19776.0,6991.0,9887.0,4943.0,13983.0,3495.0,13983.0,4943.0,6991.0,6991.0,6991.0,9887.0,9887.0,4943.0,27968.0,4943.0,6991.0,9887.0,9887.0,6991.0,4943.0,4943.0,6991.0,6991.0,6991.0,6991.0,6991.0,19776.0,6991.0,6991.0,4943.0,19776.0,6991.0,9887.0,6991.0,13983.0,6991.0,13983.0,4943.0,3495.0,27968.0,10071.0,6.0092,5780.9044,33418856.2143
A,3495.0,13983.0,9887.0,9887.0,4943.0,4943.0,6991.0,9887.0,6991.0,6991.0,6991.0,19776.0,13983.0,6991.0,13983.0,9887.0,13983.0,6991.0,13983.0,6991.0,4943.0,4943.0,6991.0,27968.0,6991.0,19776.0,4943.0,13983.0,4943.0,4943.0,9887.0,13983.0,6991.0,19776.0,6991.0,9887.0,13983.0,6991.0,6991.0,6991.0,9887.0,6991.0,19776.0,13983.0,9887.0,9887.0,3495.0,13983.0,4943.0,13983.0,3495.0,27968.0,10025.0,5.9817,5160.1831,26627489.3718
H,9887.0,13983.0,9887.0,9887.0,6991.0,9887.0,13983.0,13983.0,13983.0,4943.0,4943.0,4943.0,9887.0,19776.0,6991.0,6991.0,13983.0,9887.0,9887.0,9887.0,13983.0,6991.0,19776.0,6991.0,4943.0,6991.0,13983.0,4943.0,4943.0,6991.0,6991.0,9887.0,13983.0,9887.0,4943.0,13983.0,19776.0,6991.0,19776.0,6991.0,6991.0,9887.0,13983.0,9887.0,6991.0,6991.0,6991.0,9887.0,9887.0,9887.0,4943.0,19776.0,9994.0,5.9632,4157.3229,17283334.0833
S,3495.0,13983.0,13983.0,9887.0,6991.0,9887.0,13983.0,9887.0,6991.0,4943.0,6991.0,9887.0,13983.0,19776.0,19776.0,9887.0,6991.0,9887.0,9887.0,6991.0,9887.0,9887.0,4943.0,9887.0,9887.0,6991.0,9887.0,13983.0,9887.0,4943.0,9887.0,6991.0,9887.0,6991.0,9887.0,6991.0,9887.0,9887.0,6991.0,6991.0,9887.0,9887.0,6991.0,13983.0,9887.0,9887.0,9887.0,4943.0,6991.0,9887.0,3495.0,19776.0,9497.0,5.6667,3308.4042,10945538.0637
D,6991.0,9887.0,6991.0,9887.0,9887.0,19776.0,6991.0,9887.0,6991.0,13983.0,6991.0,9887.0,3495.0,13983.0,9887.0,4943.0,6991.0,4943.0,4943.0,2471.0,6991.0,13983.0,6991.0,4943.0,6991.0,6991.0,4943.0,6991.0,9887.0,6991.0,9887.0,3495.0,4943.0,4943.0,4943.0,9887.0,9887.0,6991.0,6991.0,6991.0,4943.0,3495.0,9887.0,3495.0,4943.0,19776.0,19776.0,13983.0,6991.0,6991.0,2471.0,19776.0,8174.0,4.8773,4089.2004,16721560.2143
U,4943.0,6991.0,13983.0,3495.0,3495.0,4943.0,6991.0,9887.0,4943.0,4943.0,9887.0,9887.0,4943.0,6991.0,4943.0,4943.0,4943.0,9887.0,6991.0,13983.0,3495.0,13983.0,4943.0,9887.0,4943.0,4943.0,9887.0,3495.0,9887.0,4943.0,3495.0,4943.0,6991.0,3495.0,6991.0,6991.0,4943.0,6991.0,6991.0,6991.0,4943.0,4943.0,6991.0,4943.0,6991.0,3495.0,6991.0,3495.0,4943.0,6991.0,3495.0,13983.0,6519.0,3.8898,2738.6925,7500436.7935
