letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,14228,14214,14261,14227,14154,14147,14086,14097,14223,14146,14081,14211,14127,14209,14017,14174,14129,14299,14062,14149,14239,14162,14155,14332,14096,14054,14292,14136,13957,14053,14206,14038,14188,14241,14132,14101,14243,14147,14223,14062,14362,14061,13957,14047,14078,14116,14245,14156,14285,14135,13957,14362,14154.0,17.0839,90.9694,8275.4286,28308.0
N,8673,8607,8521,8604,8783,8599,8481,8660,8536,8559,8634,8451,8555,8456,8601,8645,8724,8505,8680,8493,8645,8628,8628,8638,8555,8622,8540,8603,8572,8619,8562,8616,8627,8535,8557,8616,8531,8669,8594,8651,8492,8641,8540,8556,8573,8602,8579,8585,8518,8660,8451,8783,8590.0,10.3681,66.745,4454.9016,17180.0
I,6808,6806,7016,6798,6798,6735,6908,6911,6729,6952,6803,6938,6966,6758,6807,6810,6897,6850,6922,6785,6869,6801,6949,6765,6877,6807,6839,6920,6814,6894,6952,6805,6825,6855,6796,6821,6809,6929,6872,6977,6890,6831,6815,6992,6828,6880,6841,6918,6861,6901,6729,7016,6858.0,8.2776,68.4242,4681.8776,13716.0
R,5648,5713,5620,5699,5654,5764,5696,5785,5713,5739,5655,5717,5707,5758,5828,5852,5749,5780,5704,5743,5688,5772,5816,5782,5692,5757,5644,5737,5675,5782,5694,5589,5773,5730,5647,5632,5757,5704,5787,5795,5813,5854,5821,5744,5711,5752,5750,5804,5661,5670,5589,5854,5731.0,6.9173,62.2683,3877.3473,11462.0
S,5466,5323,5402,5367,5355,5307,5388,5361,5380,5344,5401,5310,5348,5428,5370,5469,5379,5406,5280,5442,5382,5384,5285,5301,5465,5369,5320,5409,5379,5483,5438,5309,5447,5446,5348,5392,5307,5321,5400,5406,5400,5306,5361,5360,5394,5355,5340,5308,5359,5362,5280,5483,5373.0,6.4852,51.2881,2630.4718,10746.0
H,5035,5081,5006,5042,5083,4915,5055,5057,5029,5067,5004,5058,4951,5035,5003,5011,4956,5054,4989,5073,5075,5034,5054,5021,5028,5015,5044,5013,4957,5088,5010,4912,5024,4959,5055,5093,5052,5068,4965,4967,5045,5055,4979,5101,5070,5072,4966,5033,5030,5030,4912,5101,5026.0,6.0664,45.6316,2082.2404,10052.0
T,4894,4898,5011,4927,4884,4840,4902,4877,4845,4754,4877,4892,4782,4900,4929,4900,4880,4880,4896,4980,4850,4965,4851,4914,4993,4919,4818,4749,4947,4872,4820,4848,4872,4787,4824,4924,4893,4881,4930,4974,4847,4957,4834,4911,4889,4933,4918,4943,4948,4903,4749,5011,4889.0,5.901,57.4067,3295.5331,9778.0
A,4377,4348,4270,4310,4486,4315,4303,4377,4280,4316,4369,4367,4298,4362,4259,4412,4331,4268,4352,4281,4249,4290,4337,4340,4316,4419,4278,4326,4279,4263,4366,4418,4288,4174,4388,4349,4410,4268,4280,4341,4383,4247,4320,4395,4380,4281,4338,4302,4332,4264,4174,4486,4326.0,5.2215,57.4058,3295.4269,8652.0
D,3843,3862,3728,3830,3783,3786,3917,3822,3832,3849,3853,3816,3813,3937,3885,3847,3799,3904,3823,3858,3800,3823,3790,3833,3854,3804,3848,3811,3830,3840,3855,3859,3861,3786,3786,3893,3884,3827,3864,3823,3797,3905,3834,3847,3706,3831,3842,3910,3780,3841,3706,3937,3835.0,4.6288,44.2813,1960.8363,7670.0
L,3400,3324,3394,3411,3307,3282,3387,3397,3364,3321,3350,3402,3405,3325,3367,3338,3328,3360,3452,3394,3401,3489,3404,3392,3334,3416,3398,3441,3427,3369,3442,3353,3361,3388,3330,3380,3344,3433,3424,3383,3405,3291,3351,3403,3322,3320,3367,3338,3366,3364,3282,3489,3374.0,4.0724,43.6786,1907.822,6748.0
U,3123,3119,3112,3115,3141,3132,3211,3145,3177,3128,3132,3178,3102,3162,3158,3116,3188,3169,3126,3180,3135,3131,3135,3081,3048,3097,3121,3071,3094,3156,3138,3112,3101,3163,3080,3184,3143,3095,3105,3137,3141,3080,3124,3078,3134,3129,3072,3148,3144,3096,3048,3211,3127.0,3.7743,34.4353,1185.7882,6254.0
G,2718,2666,2720,2740,2742,2765,2691,2669,2666,2740,2731,2717,2733,2708,2773,2749,2736,2643,2762,2763,2772,2761,2693,2758,2709,2773,2674,2682,2650,2691,2715,2651,2688,2716,2710,2721,2703,2747,2741,2709,2705,2698,2769,2712,2691,2724,2651,2735,2750,2734,2643,2773,2717.0,3.2794,35.7207,1275.9694,5434.0
C,2652,2637,2584,2583,2592,2595,2570,2616,2553,2611,2601,2548,2569,2585,2632,2591,2587,2603,2529,2663,2631,2623,2576,2656,2667,2629,2574,2539,2592,2593,2645,2634,2615,2590,2641,2597,2562,2671,2567,2587,2590,2568,2566,2647,2562,2568,2592,2569,2575,2565,2529,2671,2597.0,3.1346,34.9801,1223.6065,5194.0
M,2490,2440,2446,2484,2475,2451,2445,2427,2446,2513,2485,2459,2486,2463,2346,2458,2462,2472,2488,2466,2476,2515,2452,2480,2423,2433,2420,2467,2475,2437,2474,2512,2448,2419,2523,2367,2450,2494,2491,2438,2447,2377,2403,2443,2438,2423,2425,2477,2433,2421,2346,2523,2453.0,2.9608,36.2726,1315.6984,4906.0
O,2198,2219,2207,2271,2213,2229,2143,2202,2256,2184,2268,2237,2263,2229,2220,2212,2260,2265,2282,2262,2234,2185,2261,2202,2204,2279,2239,2182,2174,2218,2211,2232,2298,2241,2220,2189,2136,2224,2236,2276,2191,2228,2151,2199,2198,2209,2160,2142,2224,2185,2136,2298,2218.0,2.6771,38.5703,1487.6718,4436.0
W,1691,1576,1663,1627,1609,1646,1677,1658,1641,1630,1615,1617,1629,1649,1634,1653,1639,1612,1594,1630,1640,1577,1622,1616,1657,1632,1584,1621,1631,1600,1615,1646,1589,1665,1601,1636,1625,1627,1639,1585,1668,1553,1615,1613,1613,1659,1587,1592,1624,1673,1553,1691,1625.0,1.9614,29.0343,842.9898,3250.0
B,1584,1520,1480,1507,1549,1522,1534,1561,1589,1532,1523,1528,1555,1501,1557,1539,1506,1487,1520,1528,1574,1522,1549,1531,1550,1531,1520,1580,1540,1548,1565,1522,1561,1585,1570,1536,1505,1536,1539,1498,1550,1505,1552,1566,1587,1576,1559,1537,1527,1508,1480,1589,1539.0,1.8576,27.0068,729.3669,3078.0
F,1116,1101,1146,1096,1113,1116,1101,1113,1131,1074,1099,1075,1117,1110,1101,1098,1108,1132,1093,1100,1073,1121,1102,1130,1130,1144,1121,1086,1098,1091,1130,1082,1096,1126,1091,1104,1085,1065,1098,1136,1124,1105,1103,1106,1072,1089,1110,1107,1127,1088,1065,1146,1105.0,1.3337,19.2608,370.9796,2210.0
K,1035,992,989,998,979,976,961,981,990,1003,987,1012,1015,1017,984,986,1034,993,951,956,983,1010,944,959,985,1006,1019,1012,980,996,987,1010,1026,969,1034,1016,990,1030,990,1013,993,990,1028,1023,1060,1015,999,1003,994,968,944,1060,997.0,1.2034,24.0077,576.371,1994.0
Z,886,922,832,872,837,886,864,879,888,889,856,871,865,899,860,915,932,860,864,890,878,890,906,886,882,923,872,876,881,888,880,860,852,861,896,910,867,869,877,892,860,883,853,842,898,890,888,855,881,920,832,932,879.0,1.061,22.1457,490.4331,1758.0
V,638,607,596,589,634,602,592,621,638,586,602,632,636,616,631,642,593,589,583,619,598,636,618,624,621,638,629,635,608,608,631,642,627,632,624,634,599,594,607,630,640,625,613,599,651,636,611,610,614,645,583,651,618.0,0.7459,18.1583,329.7245,1236.0
P,464,432,439,430,440,418,426,426,458,435,429,446,430,425,448,434,446,428,472,441,412,439,420,432,430,435,454,455,444,440,444,398,452,426,465,450,418,429,425,436,426,455,457,437,419,440,419,418,416,427,398,472,435.0,0.525,15.0919,227.7653,870.0
Y,244,239,263,267,257,241,259,282,278,254,260,246,269,240,268,250,259,249,257,274,265,265,277,261,245,266,237,267,257,243,262,263,263,259,258,284,262,257,259,250,255,276,253,258,256,272,276,276,241,254,237,284,259.0,0.3126,11.7112,137.1514,518.0
J,107,107,118,120,95,122,110,113,116,116,105,120,105,119,106,107,109,111,114,106,97,120,120,122,128,105,114,107,111,119,116,113,112,102,113,120,106,117,122,109,103,115,106,114,119,109,108,123,115,108,95,128,112.0,0.1352,7.0418,49.5873,224.0
X,11,6,12,14,8,6,10,12,11,9,10,7,9,10,7,8,9,7,8,8,11,8,4,9,8,9,8,9,11,7,9,8,8,5,9,13,11,10,5,9,7,11,10,11,10,9,8,5,6,9,4,14,8.0,0.0097,2.1217,4.5016,16.0
