letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,28456.0,28428.0,28522.0,28454.0,28308.0,28294.0,28172.0,28194.0,28446.0,28292.0,28162.0,28422.0,28254.0,28418.0,28034.0,28348.0,28258.0,28598.0,28124.0,28298.0,28478.0,28324.0,28310.0,28664.0,28192.0,28108.0,28584.0,28272.0,27914.0,28106.0,28412.0,28076.0,28376.0,28482.0,28264.0,28202.0,28486.0,28294.0,28446.0,28124.0,28724.0,28122.0,27914.0,28094.0,28156.0,28232.0,28490.0,28312.0,28570.0,28270.0,27914.0,28724.0,28309.0,17.083,181.9388,33101.7143
N,17346.0,17214.0,17042.0,17208.0,17566.0,17198.0,16962.0,17320.0,17072.0,17118.0,17268.0,16902.0,17110.0,16912.0,17202.0,17290.0,17448.0,17010.0,17360.0,16986.0,17290.0,17256.0,17256.0,17276.0,17110.0,17244.0,17080.0,17206.0,17144.0,17238.0,17124.0,17232.0,17254.0,17070.0,17114.0,17232.0,17062.0,17338.0,17188.0,17302.0,16984.0,17282.0,17080.0,17112.0,17146.0,17204.0,17158.0,17170.0,17036.0,17320.0,16902.0,17566.0,17180.0,10.3673,133.4901,17819.6065
I,13616.0,13612.0,14032.0,13596.0,13596.0,13470.0,13816.0,13822.0,13458.0,13904.0,13606.0,13876.0,13932.0,13516.0,13614.0,13620.0,13794.0,13700.0,13844.0,13570.0,13738.0,13602.0,13898.0,13530.0,13754.0,13614.0,13678.0,13840.0,13628.0,13788.0,13904.0,13610.0,13650.0,13710.0,13592.0,13642.0,13618.0,13858.0,13744.0,13954.0,13780.0,13662.0,13630.0,13984.0,13656.0,13760.0,13682.0,13836.0,13722.0,13802.0,13458.0,14032.0,13717.0,8.2775,136.8485,18727.5102
R,11296.0,11426.0,11240.0,11398.0,11308.0,11528.0,11392.0,11570.0,11426.0,11478.0,11310.0,11434.0,11414.0,11516.0,11656.0,11704.0,11498.0,11560.0,11408.0,11486.0,11376.0,11544.0,11632.0,11564.0,11384.0,11514.0,11288.0,11474.0,11350.0,11564.0,11388.0,11178.0,11546.0,11460.0,11294.0,11264.0,11514.0,11408.0,11574.0,11590.0,11626.0,11708.0,11642.0,11488.0,11422.0,11504.0,11500.0,11608.0,11322.0,11340.0,11178.0,11708.0,11462.0,6.9167,124.5367,15509.3894
S,10932.0,10646.0,10804.0,10734.0,10710.0,10614.0,10776.0,10722.0,10760.0,10688.0,10802.0,10620.0,10696.0,10856.0,10740.0,10938.0,10758.0,10812.0,10560.0,10884.0,10764.0,10768.0,10570.0,10602.0,10930.0,10738.0,10640.0,10818.0,10758.0,10966.0,10876.0,10618.0,10894.0,10892.0,10696.0,10784.0,10614.0,10642.0,10800.0,10812.0,10800.0,10612.0,10722.0,10720.0,10788.0,10710.0,10680.0,10616.0,10718.0,10724.0,10560.0,10966.0,10746.0,6.4847,102.5763,10521.8873
H,10070.0,10162.0,10012.0,10084.0,10166.0,9830.0,10110.0,10114.0,10058.0,10134.0,10008.0,10116.0,9902.0,10070.0,10006.0,10022.0,9912.0,10108.0,9978.0,10146.0,10150.0,10068.0,10108.0,10042.0,10056.0,10030.0,10088.0,10026.0,9914.0,10176.0,10020.0,9824.0,10048.0,9918.0,10110.0,10186.0,10104.0,10136.0,9930.0,9934.0,10090.0,10110.0,9958.0,10202.0,10140.0,10144.0,9932.0,10066.0,10060.0,10060.0,9824.0,10202.0,10052.0,6.0659,91.2631,8328.9616
T,9788.0,9796.0,10022.0,9854.0,9768.0,9680.0,9804.0,9754.0,9690.0,9508.0,9754.0,9784.0,9564.0,9800.0,9858.0,9800.0,9760.0,9760.0,9792.0,9960.0,9700.0,9930.0,9702.0,9828.0,9986.0,9838.0,9636.0,9498.0,9894.0,9744.0,9640.0,9696.0,9744.0,9574.0,9648.0,9848.0,9786.0,9762.0,9860.0,9948.0,9694.0,9914.0,9668.0,9822.0,9778.0,9866.0,9836.0,9886.0,9896.0,9806.0,9498.0,10022.0,9778.0,5.9005,114.8135,13182.1322
A,8754.0,8696.0,8540.0,8620.0,8972.0,8630.0,8606.0,8754.0,8560.0,8632.0,8738.0,8734.0,8596.0,8724.0,8518.0,8824.0,8662.0,8536.0,8704.0,8562.0,8498.0,8580.0,8674.0,8680.0,8632.0,8838.0,8556.0,8652.0,8558.0,8526.0,8732.0,8836.0,8576.0,8348.0,8776.0,8698.0,8820.0,8536.0,8560.0,8682.0,8766.0,8494.0,8640.0,8790.0,8760.0,8562.0,8676.0,8604.0,8664.0,8528.0,8348.0,8972.0,8652.0,5.221,114.8116,13181.7078
D,7686.0,7724.0,7456.0,7660.0,7566.0,7572.0,7834.0,7644.0,7664.0,7698.0,7706.0,7632.0,7626.0,7874.0,7770.0,7694.0,7598.0,7808.0,7646.0,7716.0,7600.0,7646.0,7580.0,7666.0,7708.0,7608.0,7696.0,7622.0,7660.0,7680.0,7710.0,7718.0,7722.0,7572.0,7572.0,7786.0,7768.0,7654.0,7728.0,7646.0,7594.0,7810.0,7668.0,7694.0,7412.0,7662.0,7684.0,7820.0,7560.0,7682.0,7412.0,7874.0,7670.0,4.6285,88.5627,7843.3453
L,6800.0,6648.0,6788.0,6822.0,6614.0,6564.0,6774.0,6794.0,6728.0,6642.0,6700.0,6804.0,6810.0,6650.0,6734.0,6676.0,6656.0,6720.0,6904.0,6788.0,6802.0,6978.0,6808.0,6784.0,6668.0,6832.0,6796.0,6882.0,6854.0,6738.0,6884.0,6706.0,6722.0,6776.0,6660.0,6760.0,6688.0,6866.0,6848.0,6766.0,6810.0,6582.0,6702.0,6806.0,6644.0,6640.0,6734.0,6676.0,6732.0,6728.0,6564.0,6978.0,6749.0,4.0727,87.3572,7631.2882
U,6246.0,6238.0,6224.0,6230.0,6282.0,6264.0,6422.0,6290.0,6354.0,6256.0,6264.0,6356.0,6204.0,6324.0,6316.0,6232.0,6376.0,6338.0,6252.0,6360.0,6270.0,6262.0,6270.0,6162.0,6096.0,6194.0,6242.0,6142.0,6188.0,6312.0,6276.0,6224.0,6202.0,6326.0,6160.0,6368.0,6286.0,6190.0,6210.0,6274.0,6282.0,6160.0,6248.0,6156.0,6268.0,6258.0,6144.0,6296.0,6288.0,6192.0,6096.0,6422.0,6255.0,3.7746,68.8705,4743.1527
