Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
R,8566,8585,8723,8529,8535,8572,8560,8660,8543,8632,8605,8664,8651,8487,8552,8582,8526,8664,8681,8593,8522,8512,8557,8673,8509,8635,8663,8486,8672,8618,8592,8588,8575,8551,8583,8534,8594,8599,8718,8448,8577,8580,8580,8590,8549,8572,8561,8645,8625,8592,8517,8591,8573,8566,8604,8540,8532,8647,8573,8616,8591,8627,8511,8553,8486,8633,8495,8632,8578,8619,8608,8604,8586,8619,8570,8630,8516,8656,8613,8558,8584,8607,8591,8527,8607,8530,8572,8541,8659,8551,8693,8568,8556,8511,8639,8585,8561,8614,8496,8587,8448,8723,8585,28.0217
O,8099,8208,8145,8132,8015,8105,8129,8093,8132,8094,8151,8254,8156,8144,8176,8143,8106,8074,8189,8238,8100,8149,8081,8083,8144,8215,8165,8283,8133,8145,8103,8135,8101,8115,8189,8119,8194,8001,8120,8114,8191,8178,8023,8113,7996,8205,8024,8295,8131,8169,8157,8151,8092,8204,8053,8128,8106,8095,8251,8139,8166,8145,8100,8222,8035,8191,8134,8114,8116,8095,8130,8155,8171,8218,8167,8180,8022,8171,8126,8098,8112,8132,8183,8052,8184,8245,8185,8201,8068,8127,8117,8204,8145,8154,8039,8132,8128,8115,8195,8112,7996,8295,8138,26.5627
E,5846,5905,5915,5801,5897,5867,5885,5890,5856,6001,5965,5861,5900,6005,5864,5816,5921,5898,5963,5957,5951,5974,5945,5827,5906,5912,5850,5905,5936,5896,5839,5957,5934,5684,5934,5848,5985,5843,5849,6043,5816,5937,5762,5919,5857,5911,5840,5857,5903,5907,5916,6056,5931,6025,5882,5947,5986,5853,5903,5967,5963,5989,5822,5846,5785,5797,5828,5868,5876,5848,5877,5791,5953,5813,5898,5990,5888,5874,5922,5877,5800,5869,5841,6013,5888,5941,5892,5931,5962,6006,5868,5891,5854,5847,5827,5916,5986,5870,5820,5880,5684,6056,5897,19.248
P,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,14.3226
C,1192,1172,1168,1192,1241,1234,1270,1255,1135,1245,1210,1241,1243,1227,1163,1247,1230,1254,1210,1244,1190,1198,1199,1239,1175,1203,1212,1225,1239,1220,1211,1215,1223,1266,1229,1154,1283,1224,1169,1245,1161,1223,1240,1200,1246,1236,1213,1192,1245,1204,1259,1217,1226,1236,1265,1268,1233,1259,1255,1225,1224,1223,1146,1178,1244,1190,1237,1251,1260,1205,1271,1180,1276,1299,1209,1180,1234,1223,1215,1226,1227,1202,1236,1221,1271,1255,1247,1217,1226,1227,1241,1163,1234,1245,1180,1180,1211,1235,1216,1214,1135,1299,1223,3.9919
T,1099,1125,1069,1098,1106,1092,1073,1029,1099,1063,1138,1129,1097,1111,1056,1097,1152,1093,1079,1103,1110,1085,1117,1075,1051,1055,1121,1117,1172,1054,1081,1153,1066,1078,1047,1051,1047,1047,1081,1094,1079,1089,1095,1080,1095,1074,1121,1117,1126,1064,1060,1125,1068,1033,1087,1110,1100,1035,1081,1098,1024,1104,1120,1083,1110,1085,1076,1151,1115,1159,1087,1122,1050,1040,1083,1085,1096,1046,1096,1143,1102,1061,1073,1120,1055,1111,1109,1055,1111,1048,1127,1148,1083,1110,1070,1091,1070,1040,1027,1118,1024,1172,1090,3.5578
U,496,503,480,520,480,496,492,517,532,491,506,510,501,459,482,485,462,471,427,485,508,481,477,493,509,527,503,446,499,489,498,483,460,468,515,485,462,472,474,485,508,497,510,501,491,497,460,441,459,501,509,490,513,496,502,477,512,516,517,477,490,453,493,438,482,471,506,492,493,494,477,484,494,464,488,510,496,513,496,485,492,491,502,497,499,444,541,500,481,510,472,469,470,486,497,481,489,495,513,484,427,541,490,1.5994
N,239,239,223,237,259,254,273,237,233,240,222,262,284,225,259,261,213,239,241,241,227,232,247,241,243,247,262,254,237,258,247,198,257,251,226,239,254,238,261,239,257,264,238,218,270,222,246,235,231,240,247,265,247,247,240,246,242,258,230,233,262,240,248,251,248,227,212,257,276,245,225,232,214,266,246,244,240,229,232,232,268,246,250,241,246,237,250,216,221,227,242,238,229,252,242,244,251,267,247,244,198,284,243,0.7932
J,234,237,236,234,231,209,216,260,225,243,235,213,243,250,237,233,228,208,224,233,226,238,246,240,238,208,253,232,227,258,211,226,234,230,253,226,223,234,223,246,241,230,228,229,217,228,221,206,223,219,208,226,223,259,226,228,211,230,235,227,228,247,223,222,230,228,235,234,209,209,213,227,212,231,226,221,211,231,222,211,221,234,245,221,208,231,232,245,233,223,213,243,228,226,227,247,192,235,232,218,192,260,229,0.7475
G,197,180,206,169,176,196,187,207,185,207,193,192,193,225,212,219,205,216,193,180,194,193,185,194,212,207,203,188,186,197,179,212,219,182,198,203,190,204,187,184,195,223,200,215,205,200,207,218,208,197,183,191,219,185,190,207,206,179,198,188,195,194,195,196,164,198,204,197,174,199,203,190,220,189,190,192,208,201,214,217,202,196,194,217,190,205,176,186,171,203,192,203,196,173,207,165,200,207,212,202,164,225,198,0.6463
