Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
T,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,7969,37.7624
E,5904,5970,5916,5940,5911,6027,5881,6077,5979,5982,5922,5961,5972,6024,5920,5960,5976,6002,5883,5875,6007,6041,5897,5861,5984,5948,5979,5950,6071,6063,5982,6053,5947,5954,5936,5827,6061,5947,6023,5897,5969,5910,5942,5962,5930,6028,5959,6038,5967,5874,6002,5921,5959,5891,5944,5985,5923,5929,5819,5887,5864,5948,5974,5847,6080,5908,5920,5995,6045,6038,6064,5968,6003,5972,5958,5980,5884,6002,5981,5892,6046,5875,5868,5978,5928,6010,5979,5981,6000,5950,6026,5999,5939,5930,6012,6046,5905,6006,6011,5939,5819,6080,5961,28.2472
H,3814,3883,3869,3848,3855,3859,3877,3836,3862,3858,3867,3929,3864,3819,3893,3827,3886,3859,3870,3886,3863,3897,3838,3839,3889,3862,3826,3887,3822,3823,3933,3876,3890,3846,3871,3877,3861,3861,3774,3782,3824,3904,3845,3859,3863,3915,3863,3869,3851,3827,3851,3906,3893,3863,3872,3787,3855,3862,3822,3918,3843,3824,3817,3842,3851,3842,3892,3913,3838,3840,3888,3880,3891,3858,3841,3828,3835,3839,3852,3867,3848,3827,3788,3862,3810,3866,3898,3807,3857,3892,3831,3824,3922,3838,3839,3880,3809,3838,3831,3821,3774,3933,3856,18.2723
R,1348,1266,1269,1313,1293,1285,1372,1268,1292,1315,1268,1292,1289,1293,1245,1318,1313,1276,1270,1276,1312,1342,1284,1313,1288,1301,1242,1288,1293,1277,1259,1285,1364,1281,1288,1291,1272,1300,1269,1350,1246,1270,1306,1268,1256,1271,1311,1274,1320,1311,1293,1276,1280,1335,1328,1306,1278,1371,1281,1320,1302,1315,1288,1348,1222,1301,1283,1292,1334,1351,1292,1318,1292,1343,1286,1294,1296,1290,1322,1287,1292,1283,1324,1321,1312,1277,1287,1270,1327,1329,1347,1294,1293,1266,1270,1316,1271,1276,1251,1302,1222,1372,1297,6.146
O,1256,1221,1216,1211,1180,1198,1217,1239,1213,1197,1201,1292,1189,1236,1198,1216,1157,1284,1269,1260,1166,1241,1185,1166,1236,1211,1208,1211,1245,1230,1205,1253,1191,1196,1191,1248,1240,1246,1232,1218,1290,1243,1192,1200,1238,1177,1259,1240,1212,1242,1227,1265,1245,1230,1246,1218,1241,1211,1179,1268,1255,1236,1229,1242,1221,1228,1207,1180,1161,1246,1243,1267,1233,1221,1242,1181,1223,1247,1184,1209,1267,1188,1213,1272,1223,1260,1192,1258,1250,1167,1207,1217,1222,1222,1218,1220,1244,1187,1227,1238,1157,1292,1224,5.8001
P,443,457,470,485,458,457,444,455,449,477,463,454,447,450,442,481,417,462,443,441,462,453,438,479,476,473,490,469,459,469,471,421,448,435,461,443,441,471,448,432,445,455,432,453,437,438,450,457,474,454,455,440,478,457,472,462,476,435,444,454,454,491,463,464,451,460,444,507,462,473,458,444,433,469,483,439,454,457,478,488,485,463,479,457,469,450,471,439,420,460,450,447,454,446,466,474,453,439,457,476,417,507,458,2.1703
C,145,154,140,145,144,144,137,130,138,140,132,138,146,143,141,141,172,154,142,136,159,157,152,148,156,140,166,145,170,161,132,158,130,139,138,138,158,148,141,154,148,167,151,142,147,159,144,138,143,152,147,157,153,146,143,129,127,144,142,139,145,153,131,142,153,156,139,142,148,150,129,134,157,127,130,149,149,107,137,111,140,133,159,135,134,145,150,164,142,145,160,139,134,151,132,150,121,148,147,161,107,172,145,0.6871
U,78,78,76,56,66,64,57,88,56,75,73,65,71,67,62,66,72,57,71,72,69,64,60,64,59,64,55,72,70,65,82,71,57,69,78,72,72,70,55,85,71,77,72,72,67,61,64,72,61,71,73,65,61,89,79,74,80,67,58,76,66,76,86,78,73,66,69,60,81,60,71,63,86,64,72,65,64,69,75,75,84,77,71,60,76,76,81,72,61,66,65,58,61,75,72,87,78,54,58,60,54,89,70,0.3317
G,43,54,43,44,45,52,43,53,56,44,44,52,60,54,62,49,58,47,47,53,57,41,48,55,44,57,53,45,44,48,48,39,49,53,57,47,38,46,40,42,38,50,57,64,50,49,57,61,47,36,47,50,49,49,43,40,46,46,43,44,44,50,58,46,47,47,64,58,46,52,51,40,47,51,48,50,59,46,54,47,62,49,56,49,50,48,53,42,48,52,56,53,40,37,45,54,42,58,61,51,36,64,50,0.2369
N,46,43,44,52,54,40,50,43,44,43,53,49,39,45,54,56,37,41,60,45,42,56,41,55,49,42,37,46,44,29,43,47,44,38,33,51,36,42,33,48,31,39,55,46,42,40,54,47,38,59,44,41,43,43,51,35,43,50,42,46,44,43,63,39,40,50,47,37,41,36,41,51,51,45,50,40,51,52,42,45,40,46,55,49,39,41,32,44,46,45,42,43,42,44,56,49,41,41,32,51,29,63,45,0.2132
