Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
E,5987,5905,5911,5977,5918,5952,5972,5984,5898,5983,6002,5915,5963,5973,6007,6019,5898,5948,5927,5955,5955,6033,6070,5890,5979,5891,5941,5951,5974,5936,5841,5971,5944,6007,6003,6008,5808,5788,5992,5989,5944,5910,5930,5966,5846,6001,5938,5978,5994,5881,5867,6153,6040,6001,5953,5982,5923,5907,5974,5963,5958,5939,5880,5879,5946,5956,5949,6043,5993,6024,5989,5963,5934,5999,5968,5928,5955,6039,5849,6065,5947,5960,6038,5902,6000,6072,5890,5994,5996,6017,5950,5951,6014,5921,5929,6048,5929,5948,5941,5896,5788,6153,5959,13.579
T,3932,4000,4032,4017,3968,4037,3982,3972,3982,3944,3904,4011,3899,3985,3968,4023,3997,4002,3990,4020,4025,3949,3951,4025,3979,4043,4020,4026,4044,3933,4030,3926,3957,4037,3942,4035,4044,4055,4026,3980,3993,3877,3993,3972,4080,3942,3995,4009,3941,3993,3920,3972,4016,4009,3939,4003,3960,3972,3976,3901,4004,3926,3993,3993,3945,3915,3997,3948,3891,3937,4007,3927,3982,4024,4045,4009,4026,4066,3841,4065,3969,3986,4000,4015,4000,3922,3964,4003,3960,4052,4031,3968,3977,3970,4007,3931,4043,3976,3980,3966,3841,4080,3985,9.0808
O,3449,3410,3443,3426,3482,3416,3439,3430,3422,3407,3471,3492,3425,3519,3460,3478,3387,3429,3479,3429,3450,3434,3458,3525,3404,3417,3450,3410,3427,3456,3467,3421,3457,3485,3435,3469,3396,3464,3424,3377,3460,3482,3414,3418,3337,3463,3463,3570,3455,3377,3510,3405,3407,3435,3414,3390,3462,3479,3409,3505,3484,3458,3399,3405,3419,3491,3421,3457,3442,3402,3475,3418,3414,3398,3484,3477,3424,3474,3541,3431,3451,3491,3450,3418,3418,3449,3396,3471,3492,3420,3463,3354,3351,3450,3443,3320,3476,3461,3416,3430,3320,3570,3442,7.8434
A,3272,3323,3304,3305,3250,3247,3250,3329,3306,3274,3296,3264,3272,3386,3281,3300,3231,3302,3293,3281,3273,3308,3283,3325,3285,3269,3339,3303,3305,3259,3374,3275,3280,3336,3285,3273,3334,3326,3269,3260,3275,3287,3239,3293,3289,3240,3294,3333,3318,3369,3345,3307,3335,3286,3303,3231,3337,3293,3274,3278,3364,3313,3328,3327,3272,3322,3292,3334,3348,3272,3304,3347,3356,3284,3299,3248,3275,3228,3285,3364,3309,3282,3307,3313,3269,3310,3316,3231,3415,3274,3265,3293,3254,3331,3319,3214,3363,3316,3326,3282,3214,3415,3299,7.5175
N,2778,2778,2796,2831,2799,2825,2811,2777,2835,2779,2777,2782,2802,2819,2741,2836,2809,2750,2780,2832,2751,2793,2821,2777,2792,2807,2777,2738,2755,2798,2824,2829,2791,2766,2813,2765,2793,2801,2765,2840,2741,2819,2793,2823,2786,2812,2728,2816,2754,2822,2782,2900,2797,2782,2754,2820,2756,2691,2800,2783,2770,2839,2827,2822,2779,2840,2826,2808,2800,2787,2802,2803,2739,2809,2799,2851,2767,2775,2810,2824,2812,2798,2795,2806,2760,2750,2765,2778,2790,2840,2777,2811,2761,2837,2776,2862,2843,2748,2801,2812,2691,2900,2795,6.3691
S,2783,2800,2723,2803,2757,2759,2824,2789,2781,2759,2763,2697,2768,2741,2801,2808,2803,2755,2767,2758,2873,2749,2772,2720,2791,2779,2834,2755,2809,2807,2700,2775,2794,2730,2787,2770,2856,2769,2702,2825,2750,2769,2737,2749,2796,2725,2729,2731,2842,2799,2756,2812,2797,2854,2748,2833,2777,2766,2762,2824,2781,2802,2693,2764,2787,2799,2790,2829,2798,2823,2803,2752,2805,2779,2772,2714,2733,2721,2807,2753,2726,2830,2744,2791,2768,2751,2805,2791,2841,2820,2725,2763,2763,2769,2759,2778,2834,2777,2749,2747,2693,2873,2777,6.328
H,2748,2729,2757,2756,2718,2755,2795,2764,2690,2784,2751,2781,2815,2646,2701,2677,2765,2640,2700,2745,2696,2754,2736,2711,2715,2821,2768,2777,2754,2715,2691,2668,2741,2731,2701,2768,2657,2739,2675,2691,2773,2725,2791,2718,2744,2745,2697,2735,2714,2679,2693,2689,2741,2768,2717,2741,2781,2669,2701,2746,2735,2750,2719,2733,2735,2759,2793,2759,2725,2727,2745,2739,2704,2730,2749,2728,2738,2718,2765,2711,2740,2750,2751,2743,2723,2744,2735,2722,2725,2737,2711,2646,2716,2746,2753,2694,2653,2732,2741,2714,2640,2821,2731,6.2232
I,2672,2574,2632,2584,2718,2595,2653,2657,2634,2675,2685,2657,2613,2544,2637,2615,2668,2606,2545,2679,2652,2618,2603,2644,2708,2588,2571,2642,2572,2610,2590,2612,2648,2605,2586,2618,2598,2605,2692,2555,2713,2624,2646,2690,2712,2633,2619,2636,2701,2608,2580,2610,2661,2604,2564,2645,2671,2609,2704,2595,2596,2567,2576,2646,2633,2587,2638,2632,2630,2666,2639,2633,2604,2647,2677,2658,2648,2615,2630,2632,2661,2636,2643,2648,2693,2608,2579,2625,2622,2650,2619,2679,2628,2554,2621,2661,2564,2675,2647,2614,2544,2718,2630,5.9931
R,2538,2612,2621,2622,2610,2643,2531,2537,2640,2569,2577,2612,2572,2505,2617,2529,2632,2546,2566,2608,2553,2571,2593,2502,2525,2562,2608,2581,2592,2599,2488,2509,2605,2600,2567,2633,2606,2587,2541,2614,2557,2544,2592,2620,2574,2590,2601,2592,2567,2582,2588,2582,2548,2584,2589,2595,2552,2594,2547,2591,2560,2543,2566,2522,2515,2573,2612,2590,2600,2538,2532,2677,2612,2541,2534,2556,2633,2670,2550,2639,2609,2565,2610,2561,2622,2596,2609,2593,2559,2544,2569,2587,2622,2603,2597,2590,2637,2512,2561,2563,2488,2677,2580,5.8791
L,1869,1893,1875,1889,1876,1868,1925,1871,1887,1922,1899,1855,1819,1900,1856,1819,1805,1886,1854,1832,1880,1874,1913,1901,1859,1931,1849,1906,1858,1848,1865,1850,1873,1894,1860,1877,1841,1884,1850,1922,1900,1870,1830,1823,1898,1886,1861,1892,1873,1817,1839,1924,1849,1851,1841,1844,1842,1855,1809,1828,1885,1878,1861,1887,1861,1817,1876,1817,1894,1841,1866,1850,1847,1828,1834,1802,1836,1891,1910,1849,1923,1835,1867,1869,1914,1876,1828,1878,1806,1823,1867,1862,1890,1813,1796,1829,1834,1845,1880,1874,1796,1931,1864,4.2476
