Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
T,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,38.851
E,6406,6402,6300,6263,6409,6365,6260,6409,6383,6256,6361,6287,6394,6323,6280,6335,6430,6288,6301,6395,6263,6301,6284,6364,6401,6324,6262,6294,6371,6258,6394,6407,6395,6375,6482,6347,6356,6356,6345,6354,6213,6407,6263,6217,6449,6363,6355,6367,6380,6354,6309,6298,6389,6355,6434,6401,6310,6303,6333,6316,6439,6369,6387,6437,6382,6371,6289,6332,6256,6280,6429,6271,6291,6278,6324,6276,6379,6420,6368,6347,6391,6326,6363,6336,6291,6251,6266,6330,6313,6437,6356,6241,6532,6353,6253,6501,6352,6340,6289,6337,6213,6532,6344,25.6313
H,4471,4462,4521,4415,4480,4459,4514,4473,4458,4479,4450,4411,4471,4467,4434,4461,4460,4440,4419,4473,4459,4483,4440,4486,4472,4449,4470,4434,4426,4419,4403,4509,4419,4441,4431,4446,4448,4449,4447,4496,4439,4475,4480,4447,4457,4424,4430,4481,4455,4475,4463,4504,4412,4434,4450,4387,4431,4505,4471,4412,4402,4444,4409,4393,4419,4469,4413,4440,4515,4445,4433,4524,4468,4457,4506,4443,4467,4455,4415,4400,4464,4428,4453,4488,4442,4407,4447,4458,4428,4433,4441,4409,4467,4584,4483,4448,4439,4418,4532,4495,4387,4584,4454,17.9952
O,1658,1639,1690,1722,1678,1697,1703,1623,1628,1623,1677,1699,1685,1621,1680,1634,1689,1708,1662,1650,1686,1715,1702,1633,1643,1601,1650,1701,1634,1734,1654,1604,1669,1637,1657,1661,1650,1665,1655,1659,1632,1728,1658,1609,1631,1674,1614,1626,1616,1699,1639,1583,1677,1609,1629,1692,1675,1677,1617,1577,1652,1710,1589,1710,1615,1686,1700,1721,1676,1710,1602,1675,1662,1655,1698,1667,1758,1662,1628,1641,1663,1689,1563,1662,1682,1607,1665,1657,1621,1751,1678,1638,1639,1723,1645,1660,1669,1689,1676,1596,1563,1758,1661,6.7108
R,1611,1634,1714,1651,1650,1627,1615,1661,1664,1679,1689,1681,1564,1658,1623,1730,1699,1635,1675,1636,1576,1652,1697,1616,1714,1594,1711,1632,1677,1629,1657,1577,1624,1596,1664,1633,1640,1734,1663,1663,1638,1674,1661,1692,1629,1646,1640,1657,1661,1691,1673,1710,1671,1648,1619,1642,1608,1697,1680,1615,1663,1645,1666,1625,1662,1624,1633,1624,1650,1623,1681,1690,1653,1631,1667,1600,1672,1690,1656,1665,1616,1666,1699,1663,1643,1672,1644,1633,1666,1738,1589,1637,1720,1657,1627,1655,1661,1676,1661,1595,1564,1738,1654,6.6826
P,618,593,551,602,597,600,592,578,586,606,617,621,561,587,609,590,592,611,594,613,586,591,586,578,611,635,608,604,603,597,613,601,571,582,606,603,618,614,613,609,596,583,621,590,592,587,605,585,566,584,607,622,590,602,596,634,622,609,607,586,604,623,562,594,574,644,601,608,593,575,613,563,643,600,629,596,600,593,597,582,552,593,601,611,591,611,604,612,638,592,598,631,570,632,572,600,620,590,590,587,551,644,600,2.4241
C,195,155,159,163,148,173,158,135,165,192,151,187,164,169,148,187,189,181,150,179,156,175,165,154,168,174,162,183,158,196,171,154,163,175,144,179,176,178,170,192,175,166,149,150,207,158,184,173,188,163,155,183,146,173,160,182,161,176,172,186,185,151,184,145,154,159,163,167,185,166,163,185,177,167,142,157,161,190,157,160,187,160,157,184,160,174,183,163,175,169,161,162,185,175,181,158,171,175,172,165,135,207,169,0.6828
U,79,68,88,67,56,82,81,80,84,79,76,87,69,85,72,80,69,74,76,75,91,71,71,92,78,72,66,88,76,68,97,89,73,80,58,62,70,82,78,73,92,76,78,75,82,74,69,75,71,79,63,78,80,73,83,63,69,88,71,62,78,89,78,76,81,93,102,78,76,86,81,71,98,58,83,70,77,91,91,80,87,86,81,79,72,74,89,65,70,71,88,71,93,78,91,66,83,76,77,61,56,102,78,0.3151
G,62,66,50,58,72,52,64,63,63,59,73,59,73,64,63,60,54,82,77,62,75,70,54,72,76,56,70,75,69,70,74,57,60,65,55,51,71,71,63,51,66,50,60,65,76,49,57,53,67,62,56,71,55,54,68,74,74,77,65,64,76,65,65,50,63,67,65,69,61,48,57,61,68,64,57,66,67,67,54,63,62,70,62,63,61,66,59,55,60,59,74,55,57,68,61,58,57,69,60,65,48,82,64,0.2586
N,49,58,54,53,63,72,58,59,47,67,61,48,45,60,60,41,61,61,79,45,59,58,49,50,58,52,60,56,65,60,58,53,50,60,54,55,51,67,58,68,64,61,51,52,46,59,48,44,69,48,56,72,50,72,45,52,54,50,63,62,46,62,63,62,66,46,43,51,55,44,65,54,71,74,58,52,60,48,49,63,56,69,55,56,56,49,53,51,57,57,47,57,63,50,46,61,62,65,54,43,41,79,57,0.2303
