Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
E,6462,6415,6424,6319,6343,6282,6274,6405,6260,6350,6296,6314,6430,6274,6278,6234,6273,6311,6375,6307,6312,6287,6365,6351,6239,6338,6298,6392,6299,6340,6352,6334,6285,6305,6277,6358,6361,6252,6370,6256,6291,6269,6333,6370,6392,6347,6295,6195,6227,6287,6337,6224,6322,6328,6437,6417,6346,6239,6328,6400,6284,6279,6305,6331,6264,6357,6280,6354,6240,6378,6377,6443,6269,6229,6328,6293,6332,6389,6311,6302,6348,6407,6409,6332,6376,6237,6381,6311,6371,6268,6299,6286,6313,6250,6222,6289,6437,6252,6364,6290,6195,6462,6322,11.7453
T,4817,4861,4783,4787,4768,4823,4871,4829,4768,4796,4857,4784,4798,4728,4820,4797,4863,4713,4735,4813,4804,4812,4900,4786,4780,4803,4868,4789,4774,4848,4780,4849,4834,4795,4842,4785,4799,4685,4787,4803,4798,4830,4773,4854,4813,4811,4827,4908,4854,4794,4774,4738,4772,4828,4802,4789,4783,4847,4866,4855,4794,4885,4795,4801,4816,4802,4846,4824,4819,4778,4865,4828,4798,4797,4835,4909,4821,4797,4847,4818,4752,4830,4893,4724,4829,4774,4809,4815,4842,4761,4791,4773,4873,4872,4831,4769,4803,4758,4833,4903,4685,4909,4812,8.9399
O,4708,4708,4752,4667,4634,4672,4704,4739,4789,4713,4715,4685,4719,4670,4672,4673,4729,4664,4701,4700,4690,4685,4776,4713,4673,4733,4760,4639,4668,4597,4661,4570,4726,4709,4776,4711,4739,4720,4694,4659,4778,4682,4801,4740,4716,4681,4615,4602,4728,4712,4773,4688,4678,4714,4705,4719,4808,4756,4645,4621,4664,4680,4693,4692,4704,4714,4720,4691,4733,4642,4695,4769,4677,4725,4737,4783,4778,4778,4759,4683,4765,4703,4689,4640,4753,4669,4689,4680,4757,4739,4662,4677,4752,4630,4783,4700,4712,4708,4740,4663,4570,4808,4706,8.743
A,4129,4180,4143,4178,4125,4093,4240,4146,4259,4158,4181,4221,4126,4204,4169,4187,4131,4148,4174,4153,4204,4241,4151,4077,4142,4137,4197,4156,4128,4172,4146,4151,4074,4080,4177,4207,4150,4290,4257,4140,4106,4107,4192,4157,4170,4167,4192,4255,4203,4154,4236,4202,4098,4180,4215,4198,4190,4140,4163,4231,4174,4146,4194,4224,4173,4188,4218,4153,4137,4144,4122,4172,4121,4252,4212,4169,4132,4117,4146,4221,4228,4130,4165,4111,4247,4176,4155,4218,4094,4128,4177,4114,4105,4163,4112,4141,4178,4147,4237,4207,4074,4290,4169,7.7453
I,3784,3708,3818,3756,3756,3794,3740,3743,3725,3754,3735,3670,3669,3754,3839,3748,3791,3740,3777,3769,3718,3719,3796,3683,3739,3756,3729,3727,3668,3728,3815,3722,3715,3717,3837,3742,3796,3749,3797,3691,3738,3748,3757,3735,3765,3762,3737,3721,3727,3777,3757,3764,3746,3787,3653,3774,3762,3703,3791,3739,3735,3750,3811,3717,3766,3792,3767,3748,3763,3743,3736,3714,3682,3745,3700,3691,3747,3731,3711,3665,3717,3730,3765,3705,3766,3809,3706,3762,3765,3712,3697,3694,3737,3671,3652,3666,3790,3765,3840,3731,3652,3840,3743,6.9539
N,3576,3599,3564,3625,3585,3532,3544,3603,3651,3619,3561,3551,3540,3665,3540,3587,3640,3590,3564,3509,3640,3579,3556,3568,3677,3599,3589,3577,3623,3581,3624,3649,3580,3583,3642,3478,3562,3562,3654,3610,3645,3603,3663,3573,3587,3476,3598,3600,3645,3510,3556,3569,3591,3643,3647,3576,3580,3601,3570,3624,3609,3595,3583,3601,3695,3614,3646,3579,3640,3520,3538,3577,3700,3670,3598,3619,3655,3657,3569,3574,3579,3580,3580,3565,3493,3631,3575,3534,3562,3536,3602,3649,3653,3556,3623,3595,3601,3581,3577,3583,3476,3700,3594,6.6771
S,3385,3397,3411,3341,3378,3353,3356,3381,3351,3353,3349,3365,3347,3371,3303,3307,3435,3348,3380,3365,3336,3352,3292,3310,3319,3336,3329,3338,3392,3352,3342,3349,3446,3430,3340,3368,3373,3333,3384,3344,3315,3455,3349,3349,3387,3333,3360,3446,3310,3423,3371,3349,3344,3390,3441,3315,3317,3335,3373,3414,3363,3280,3315,3361,3275,3373,3391,3382,3327,3359,3370,3357,3361,3352,3365,3294,3386,3456,3407,3377,3343,3363,3414,3318,3363,3382,3361,3379,3370,3350,3440,3450,3370,3310,3338,3392,3343,3373,3398,3363,3275,3456,3363,6.2479
R,3283,3321,3363,3236,3337,3269,3403,3228,3236,3293,3336,3279,3191,3260,3242,3274,3377,3329,3388,3284,3299,3283,3347,3268,3274,3314,3315,3295,3305,3292,3332,3325,3260,3292,3310,3378,3281,3318,3354,3336,3215,3283,3302,3268,3269,3275,3385,3222,3246,3312,3305,3325,3326,3265,3318,3268,3330,3337,3346,3358,3261,3315,3229,3321,3279,3285,3275,3223,3250,3261,3329,3254,3284,3387,3337,3360,3260,3329,3326,3352,3392,3296,3334,3331,3279,3319,3251,3293,3247,3327,3237,3288,3279,3320,3213,3313,3341,3278,3304,3287,3191,3403,3300,6.1309
H,3123,3149,3099,3165,3158,3195,3108,3065,3168,3219,3205,3141,3188,3214,3191,3098,3177,3146,3118,3227,3160,3125,3131,3166,3143,3197,3185,3226,3192,3136,3186,3123,3162,3237,3115,3187,3107,3146,3165,3146,3146,3129,3152,3212,3116,3174,3112,3075,3142,3124,3122,3103,3136,3113,3139,3153,3208,3159,3214,3131,3107,3125,3123,3131,3144,3153,3155,3107,3237,3235,3159,3129,3099,3124,3210,3130,3131,3171,3193,3150,3167,3178,3079,3139,3210,3103,3086,3171,3095,3113,3202,3157,3165,3137,3111,3181,3125,3133,3162,3165,3065,3237,3152,5.8559
L,2117,2267,2189,2189,2240,2152,2151,2176,2238,2175,2173,2315,2137,2283,2208,2207,2206,2225,2160,2147,2236,2207,2228,2218,2202,2171,2178,2236,2160,2159,2184,2187,2205,2218,2215,2248,2224,2158,2234,2168,2171,2181,2191,2183,2180,2177,2228,2233,2199,2220,2239,2205,2259,2203,2165,2222,2222,2184,2205,2222,2220,2209,2205,2216,2146,2171,2197,2201,2227,2171,2225,2240,2178,2266,2164,2228,2224,2185,2244,2231,2178,2211,2151,2202,2159,2184,2194,2194,2198,2200,2252,2228,2210,2184,2186,2201,2171,2194,2199,2213,2117,2315,2202,4.091
