Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
T,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,11763,38.8757
E,7752,7725,7802,7746,7778,7767,7716,7780,7865,7778,7733,7815,7687,7738,7870,7805,7728,7650,7669,7762,7686,7853,7811,7696,7717,7724,7697,7819,7798,7684,7591,7757,7895,7743,7755,7820,7638,7727,7657,7675,7689,7802,7670,7824,7681,7722,7635,7723,7786,7620,7725,7759,7868,7679,7800,7690,7903,7689,7843,7808,7736,7766,7723,7755,7737,7823,7757,7649,7738,7748,7795,7762,7780,7731,7792,7734,7702,7725,7798,7749,7682,7807,7665,7640,7665,7796,7759,7744,7761,7753,7722,7713,7753,7876,7772,7695,7787,7711,7668,7769,7591,7903,7746,25.5998
H,5556,5518,5557,5529,5579,5625,5566,5568,5482,5585,5588,5540,5576,5561,5576,5522,5542,5623,5566,5502,5604,5557,5621,5538,5577,5534,5640,5487,5520,5577,5554,5519,5555,5563,5651,5546,5546,5582,5521,5584,5575,5557,5552,5532,5559,5520,5536,5557,5529,5542,5582,5555,5580,5581,5564,5580,5489,5566,5592,5567,5600,5521,5607,5499,5525,5558,5571,5568,5513,5563,5550,5586,5536,5613,5566,5484,5593,5630,5598,5577,5522,5576,5585,5533,5541,5539,5557,5558,5596,5551,5574,5622,5568,5553,5533,5571,5522,5513,5568,5492,5482,5651,5559,18.372
O,2150,2194,2124,2172,2209,2143,2192,2189,2144,2082,2131,2210,2147,2162,2147,2172,2141,2171,2185,2115,2156,2205,2178,2136,2140,2178,2090,2170,2159,2158,2113,2166,2132,2105,2194,2129,2152,2070,2226,2192,2176,2216,2122,2150,2227,2256,2220,2131,2175,2141,2184,2141,2181,2197,2155,2148,2165,2177,2060,2155,2186,2150,2122,2154,2164,2175,2188,2214,2124,2189,2160,2173,2154,2154,2144,2175,2246,2153,2131,2181,2086,2089,2128,2252,2173,2191,2176,2126,2169,2204,2237,2179,2250,2208,2233,2146,2168,2162,2151,2161,2060,2256,2165,7.1551
R,1843,1844,1887,1892,1830,1785,1871,1874,1816,1747,1797,1852,1909,1814,1815,1823,1789,1860,1899,1893,1855,1841,1813,1865,1894,1813,1856,1870,1899,1808,1835,1861,1905,1846,1874,1845,1796,1841,1919,1849,1826,1736,1924,1817,1858,1810,1821,1835,1808,1861,1833,1789,1735,1869,1854,1808,1856,1881,1847,1763,1850,1837,1900,1836,1868,1876,1903,1920,1886,1806,1825,1832,1853,1828,1833,1821,1856,1787,1853,1785,1830,1875,1901,1912,1910,1814,1819,1841,1814,1823,1900,1779,1875,1805,1824,1859,1819,1860,1850,1809,1735,1924,1844,6.0943
P,719,733,672,670,731,749,720,702,746,693,685,715,715,677,698,706,725,701,722,687,723,709,718,699,706,677,758,706,690,676,692,746,672,700,730,677,699,712,734,709,716,713,709,751,745,706,719,718,729,691,684,670,657,711,722,712,679,700,663,725,705,741,685,726,711,689,696,698,715,713,671,722,668,689,734,692,701,720,749,714,710,733,688,698,714,703,685,731,735,671,693,697,711,686,696,718,679,720,736,705,657,758,707,2.3366
C,190,172,201,200,187,203,193,186,195,217,211,191,174,196,200,210,169,184,203,185,206,201,201,194,209,209,200,185,188,188,212,205,185,196,164,194,194,195,203,203,213,192,184,203,189,175,186,218,179,187,172,213,191,217,215,210,193,174,190,184,173,210,201,183,187,180,189,210,177,192,201,198,201,209,182,174,186,181,194,189,199,201,199,210,207,177,195,187,189,187,181,181,185,197,213,194,192,178,197,202,164,218,194,0.6412
U,81,97,91,100,94,105,101,100,84,96,103,90,94,102,85,91,94,91,85,92,94,98,95,96,110,97,98,96,101,79,85,83,78,92,82,94,100,87,93,100,83,83,83,88,101,106,87,80,98,105,99,96,76,96,89,95,99,97,98,82,96,100,87,93,107,95,99,92,109,88,99,81,89,84,87,91,97,96,92,84,97,85,90,83,68,85,94,94,85,90,96,110,97,96,97,76,84,88,74,86,68,110,93,0.3074
G,74,75,74,92,68,101,71,77,74,61,87,77,97,89,103,72,77,82,70,79,74,98,83,73,83,72,82,90,81,66,80,93,75,84,74,82,67,82,81,93,87,80,81,84,77,89,65,82,82,75,86,72,78,93,91,84,82,97,87,74,82,81,79,79,78,66,92,88,85,85,98,73,77,82,80,79,88,90,83,87,59,93,91,87,71,78,79,70,91,102,94,99,95,98,78,77,76,75,61,84,59,103,82,0.271
N,68,73,62,53,63,70,68,74,67,75,82,61,71,73,69,79,66,74,69,73,71,68,81,76,72,65,70,71,71,67,66,58,68,60,66,69,79,71,50,58,68,56,52,64,65,65,55,59,46,68,72,61,60,61,66,58,74,67,77,63,73,58,72,63,66,67,59,54,75,68,68,61,66,59,64,72,69,53,67,62,53,66,59,57,55,74,66,61,66,57,68,79,82,64,69,79,77,86,64,67,46,86,67,0.2214
