Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
E,7810,7766,7744,7764,7761,7745,7761,7756,7767,7745,7779,7770,7763,7777,7791,7803,7797,7797,7720,7799,7679,7752,7653,7763,7835,7740,7695,7780,7732,7731,7742,7771,7742,7755,7743,7733,7727,7660,7788,7738,7772,7790,7755,7736,7776,7748,7783,7769,7655,7828,7789,7819,7773,7776,7775,7832,7694,7728,7656,7779,7851,7787,7840,7681,7865,7805,7834,7746,7854,7783,7834,7737,7635,7841,7712,7688,7775,7895,7727,7784,7698,7761,7705,7765,7684,7749,7802,7920,7752,7719,7770,7720,7735,7807,7741,7720,7792,7748,7732,7699,7635,7920,7761,11.7963
O,6169,6110,6126,6109,6174,6192,6261,6116,6134,6183,6201,6023,6257,6053,6092,6184,6197,6097,6194,6169,6123,6102,6218,6139,6059,6102,6072,6138,6223,6118,6146,6038,6157,6101,6144,6081,6053,6154,6184,6084,6146,6127,6135,6151,6236,6267,6136,6127,6173,6186,6119,6171,6198,6177,6032,6094,6166,6161,6155,6091,6182,6146,6131,6166,6084,6123,6086,6157,6034,6125,6176,6104,6146,6147,6066,6216,6025,6070,6212,6118,6107,6151,6069,6114,6299,6061,6247,6077,6149,6077,6115,6039,6169,6108,6125,6130,6181,6148,6073,6035,6023,6299,6136,9.3264
T,5923,5861,5914,5889,6022,5879,5962,5774,5880,5830,5925,5860,5907,5865,5899,5900,5872,5899,5903,5821,5890,6025,5992,6046,6010,5945,5885,5906,5885,5916,5908,5868,5806,5818,6025,5896,5886,5812,5939,5821,5931,5875,5939,5838,5931,5935,5816,5840,5890,5849,5893,5870,5939,5916,5945,5803,5918,5910,5773,5902,5911,5855,5804,5895,5857,5946,5893,5831,5885,5825,5863,5920,5878,5896,5840,5834,5888,5795,5861,5884,5860,5967,6019,5835,5970,5897,5800,5845,5898,5919,5894,5841,5851,5832,5930,5846,5863,5974,5840,5943,5773,6046,5890,8.9525
A,5038,4983,4970,4934,4998,4975,4984,4898,4965,4997,5095,5059,4945,4956,4944,5058,5053,4992,4998,4903,5034,4915,4919,4972,4958,4977,4889,5047,5050,5001,5031,4964,4901,4945,4973,4981,4923,5034,5004,5060,4996,4995,4895,4911,5005,4998,4971,4998,4986,5055,4975,4979,4944,4938,4905,4955,4993,5011,4957,4976,5046,5016,4973,4896,4964,5001,5005,4898,4946,5056,4937,4918,4975,4956,4833,5021,4958,4934,5042,5022,4975,5010,4958,4944,4997,5013,5038,4934,4940,5018,4914,4953,4961,4958,4925,4957,4979,4930,4953,5037,4833,5095,4976,7.5632
I,4767,4834,4728,4786,4842,4807,4741,4805,4771,4793,4795,4792,4698,4871,4696,4871,4707,4789,4754,4730,4822,4702,4782,4813,4765,4859,4845,4812,4727,4841,4836,4750,4778,4816,4726,4707,4840,4816,4803,4789,4758,4679,4867,4742,4765,4809,4776,4779,4737,4804,4811,4817,4843,4859,4853,4790,4898,4754,4746,4826,4823,4750,4669,4815,4846,4871,4795,4751,4790,4699,4769,4695,4886,4680,4894,4826,4713,4795,4810,4705,4800,4774,4749,4783,4724,4804,4772,4839,4717,4737,4731,4672,4871,4854,4749,4872,4817,4876,4765,4763,4669,4898,4786,7.2744
S,4215,4229,4320,4272,4309,4234,4275,4268,4193,4204,4251,4273,4328,4279,4222,4153,4342,4219,4212,4232,4282,4301,4261,4235,4239,4186,4250,4210,4265,4195,4211,4242,4243,4238,4161,4179,4246,4163,4249,4297,4227,4232,4220,4256,4222,4192,4276,4262,4301,4273,4177,4174,4237,4265,4180,4266,4236,4232,4173,4277,4184,4154,4247,4273,4232,4210,4229,4150,4237,4251,4199,4239,4154,4236,4225,4257,4222,4189,4249,4238,4258,4273,4203,4316,4280,4234,4219,4201,4240,4155,4255,4209,4262,4187,4216,4169,4212,4242,4273,4274,4150,4342,4235,6.437
N,4165,4194,4197,4092,4132,4056,4170,4141,4096,4102,4077,4121,4113,4126,4141,4088,4130,4114,4104,4088,4106,4146,4127,4093,4145,4265,4104,4119,4144,4105,4107,4038,4156,4075,4111,4070,4076,4089,4163,4104,4130,4103,4179,4120,4054,4112,4153,4085,4085,4213,4139,4140,4144,4141,4224,4132,4097,4123,4206,4141,4079,4194,4099,4146,4230,4095,4114,4080,4167,4131,4153,4158,4185,4156,4054,4059,4073,4115,4140,4233,4157,4173,4184,4077,4110,4185,4103,4137,4115,4122,4175,4082,4104,4241,4106,4171,4059,4186,4198,4119,4038,4265,4130,6.2774
H,3863,3940,3971,3824,3889,3881,3921,3959,3820,3953,3882,3976,3930,3904,3941,3922,3864,3997,3922,3939,3933,3961,3939,3943,3988,3968,3869,3815,3907,3980,3915,3940,3915,3929,3980,3904,3877,3955,3891,3941,3978,3929,3890,3948,3931,3925,3897,3884,3924,3920,3956,4002,3852,3940,3931,3895,3941,3976,3975,3960,3887,3941,3963,3980,3973,3964,3896,3895,3852,3954,3957,4038,3896,3908,3905,3971,3907,3932,3913,3978,3964,3932,3892,3962,3942,3933,3917,3940,3913,3916,3894,3982,3987,3877,3882,3975,3969,3953,3891,3971,3815,4038,3930,5.9734
R,3693,3715,3731,3713,3650,3685,3751,3634,3712,3696,3712,3742,3693,3753,3642,3732,3705,3664,3718,3675,3685,3660,3700,3776,3713,3708,3751,3738,3734,3676,3658,3691,3603,3681,3719,3770,3689,3683,3688,3728,3714,3760,3641,3735,3672,3639,3692,3670,3725,3649,3641,3560,3749,3628,3695,3682,3653,3703,3654,3677,3663,3700,3723,3715,3639,3743,3647,3670,3735,3681,3621,3690,3628,3691,3700,3731,3582,3686,3687,3702,3708,3697,3691,3755,3707,3639,3757,3768,3742,3697,3600,3725,3655,3708,3679,3696,3665,3653,3617,3730,3560,3776,3692,5.6116
L,2854,2856,2925,2894,2861,2806,2862,2863,2886,2902,2878,2911,2907,2904,2945,2879,2880,2891,2882,2855,2924,2891,2876,2882,2912,2843,2881,2940,2862,2877,2948,2855,2957,2906,2816,2907,2899,2892,2908,2880,2965,2828,2883,2827,2869,2888,2906,2963,2902,2928,2878,2893,2880,2851,2850,2898,2849,2823,2855,2965,2948,2842,2879,2837,2925,2884,2970,2903,2955,2862,2910,2934,2882,2843,2873,2911,2920,2903,2792,2923,2867,2907,2858,2986,2903,2902,2962,2926,2950,2880,2865,2889,2883,2883,2877,2903,2914,2905,2864,2875,2792,2986,2891,4.3942
