Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
T,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,38.0243
H,5074,5090,5020,5118,5111,5056,5101,5119,5095,5169,5032,5093,5068,5125,5084,5079,5075,5045,5057,5035,5075,5031,5068,5075,5044,5046,5121,5135,4971,5136,5082,5105,5060,5036,5063,5066,5137,5176,5051,5091,5032,5102,5118,5034,5134,5121,5041,5091,5065,5101,5143,5086,5070,5064,5097,4966,5043,5102,5031,5017,5094,5069,5073,5010,5066,5111,5077,5057,5036,5109,5083,5144,5107,5080,5022,5098,5109,5066,5056,5020,5054,5059,5092,5044,5098,5053,5078,5102,5022,5155,5086,5122,5091,5114,5048,4974,5023,5086,5134,5054,4966,5176,5077,18.7773
I,3681,3656,3678,3745,3665,3627,3697,3671,3697,3722,3727,3776,3759,3677,3703,3776,3764,3731,3744,3731,3759,3651,3736,3718,3670,3816,3674,3740,3772,3727,3663,3671,3665,3637,3750,3753,3807,3667,3730,3727,3664,3647,3737,3663,3683,3703,3671,3671,3766,3691,3727,3771,3698,3708,3750,3675,3727,3711,3740,3693,3687,3706,3746,3650,3671,3747,3762,3678,3710,3748,3716,3691,3780,3780,3748,3752,3711,3725,3673,3646,3744,3802,3691,3716,3753,3726,3689,3723,3732,3703,3677,3622,3727,3727,3683,3671,3778,3706,3698,3744,3622,3816,3713,13.7325
E,3383,3462,3354,3353,3364,3363,3340,3351,3291,3449,3372,3334,3396,3316,3405,3384,3303,3390,3351,3306,3391,3435,3283,3370,3385,3375,3381,3418,3341,3338,3372,3433,3456,3385,3368,3340,3328,3337,3373,3312,3343,3335,3366,3310,3390,3335,3335,3322,3365,3346,3435,3352,3403,3416,3323,3332,3447,3363,3391,3352,3375,3452,3364,3345,3357,3394,3370,3291,3386,3355,3414,3458,3374,3395,3473,3411,3370,3414,3384,3424,3272,3302,3453,3458,3267,3292,3411,3396,3368,3366,3325,3378,3492,3295,3408,3435,3340,3367,3400,3371,3267,3492,3372,12.4713
S,2533,2532,2579,2429,2567,2492,2527,2501,2510,2508,2507,2525,2536,2501,2570,2562,2527,2527,2489,2514,2572,2499,2502,2515,2497,2508,2516,2514,2571,2542,2468,2441,2538,2611,2575,2493,2472,2539,2590,2550,2495,2577,2491,2557,2479,2477,2485,2468,2520,2577,2582,2514,2503,2553,2528,2531,2594,2447,2446,2539,2562,2459,2466,2462,2491,2572,2541,2499,2586,2493,2503,2534,2512,2567,2534,2526,2595,2471,2502,2558,2517,2535,2543,2524,2509,2474,2483,2462,2529,2464,2499,2455,2501,2470,2486,2549,2488,2480,2526,2543,2429,2611,2518,9.3128
O,1149,1169,1154,1175,1181,1209,1173,1206,1203,1123,1229,1162,1208,1173,1188,1168,1169,1181,1143,1209,1152,1157,1096,1208,1179,1183,1157,1169,1187,1119,1136,1132,1154,1174,1192,1151,1146,1185,1177,1199,1140,1178,1173,1177,1157,1167,1190,1245,1116,1201,1190,1156,1142,1217,1173,1183,1198,1186,1189,1218,1185,1138,1221,1178,1145,1196,1199,1089,1145,1205,1214,1116,1182,1218,1203,1140,1125,1175,1183,1135,1206,1119,1160,1150,1138,1170,1153,1177,1229,1183,1116,1183,1181,1171,1183,1177,1209,1233,1158,1142,1089,1245,1173,4.3383
B,333,373,337,335,346,334,347,361,343,362,349,358,327,353,358,339,342,341,343,338,379,361,325,336,328,350,353,290,321,315,340,357,332,333,327,345,353,318,320,329,323,368,361,332,321,318,328,348,334,305,348,341,330,330,356,331,338,378,342,318,329,370,333,354,342,326,312,339,375,330,339,350,344,324,333,332,360,330,335,342,339,375,366,363,345,332,331,339,377,329,355,322,333,354,318,346,366,365,343,340,290,379,342,1.2649
A,259,279,263,266,283,258,262,236,274,261,288,279,255,299,281,269,236,259,276,282,274,312,249,274,292,287,266,261,249,302,281,269,269,265,306,252,276,322,267,267,281,280,262,262,267,294,272,268,251,291,265,276,277,284,290,256,281,275,288,271,275,281,263,266,267,274,306,259,259,259,287,270,281,282,251,290,262,256,298,267,247,247,257,269,260,245,248,305,263,257,276,288,280,280,256,274,310,254,303,272,236,322,273,1.0097
W,106,126,117,119,129,111,131,100,122,115,114,120,120,112,110,131,118,114,107,120,124,115,107,126,136,109,135,128,106,121,128,124,122,116,103,135,115,133,128,131,105,129,116,112,113,121,115,106,112,106,141,113,116,112,123,94,131,125,124,126,128,115,130,111,134,109,127,120,121,112,132,117,124,125,116,121,120,116,108,104,111,120,109,136,128,84,125,97,124,115,125,124,133,94,135,121,108,123,125,125,84,141,119,0.4401
N,100,77,81,84,82,95,74,75,82,80,65,75,67,72,78,89,82,84,72,82,77,76,88,71,77,70,87,83,100,72,78,83,78,78,79,68,74,68,82,95,70,65,80,63,81,67,76,76,72,75,76,73,69,79,85,81,78,71,63,65,74,73,76,80,90,80,70,60,102,79,76,84,82,80,69,67,83,85,70,74,73,79,88,63,76,82,89,82,81,77,79,85,76,88,71,92,85,64,71,61,60,102,78,0.2885
K,71,54,54,50,52,62,47,61,60,64,60,55,53,56,50,51,52,58,62,63,49,65,54,58,51,70,71,49,62,53,60,49,51,56,53,50,56,59,47,49,54,50,59,62,58,56,54,58,53,48,59,71,53,51,63,50,57,69,46,67,51,58,61,52,54,57,50,45,60,53,57,57,59,49,53,40,63,65,57,51,51,69,52,65,43,51,58,66,53,62,81,54,52,68,49,49,58,48,56,61,40,81,57,0.2108
R,14,17,4,13,15,12,23,16,14,14,17,15,12,12,7,15,11,16,16,16,25,17,12,9,12,20,11,6,7,15,13,14,13,17,13,18,17,21,26,13,7,13,10,3,9,18,13,12,13,16,14,9,12,14,15,15,16,14,11,17,18,18,14,14,11,8,18,16,6,13,12,19,19,20,11,17,18,11,9,11,15,11,18,12,16,10,22,15,13,17,14,12,8,13,15,13,13,12,16,14,3,26,14,0.0518
F,12,6,13,8,9,9,11,7,8,8,5,6,7,13,11,6,9,10,10,7,8,5,6,4,15,9,5,7,10,7,6,9,15,15,7,9,11,9,14,9,11,7,11,8,8,11,12,5,3,9,7,8,3,14,12,12,13,7,13,9,13,4,11,9,12,7,7,7,13,14,15,17,12,10,10,8,7,10,14,10,13,8,8,2,9,7,6,9,6,9,14,10,10,8,9,12,9,5,5,8,2,17,10,0.037
P,10,6,6,7,1,4,7,3,4,3,10,4,8,3,5,4,5,7,2,3,3,6,3,2,4,5,3,1,4,7,9,4,3,2,1,7,7,5,4,5,5,3,8,5,5,6,4,2,4,9,8,6,5,5,4,4,6,4,8,7,6,5,3,7,2,4,5,9,3,5,4,7,4,2,6,3,7,4,6,2,7,3,3,0,3,5,4,10,2,3,3,4,6,6,4,7,4,6,4,3,0,10,5,0.0185
C,0,1,0,0,0,0,1,0,1,4,0,0,1,0,2,1,2,1,1,0,2,3,1,3,2,0,5,0,0,2,0,3,1,0,0,0,0,3,2,0,1,0,0,0,1,1,0,1,2,2,2,2,1,1,1,1,2,0,3,0,1,2,2,2,2,2,1,2,2,1,3,2,1,0,0,1,0,3,1,0,1,2,1,0,1,2,0,0,0,2,0,2,3,0,1,0,2,0,1,0,0,5,2,0.0074
U,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,1,0,1,0,0,1,1,1,0,0,1,0,1,2,1,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,1,2,0,1,0,1,1,0,1,1,2,0,1,0,3,1,0,0,1,2,2,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,2,0,2,0,3,1,0.0037
G,1,2,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,1,0,1,1,0,1,0,2,0,0,0,0,2,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,1,2,0,0,1,0,2,0,1,0,0,1,0,0,1,3,0,0,1,0,0,0,0,1,0,0,2,1,1,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,3,1,0.0037
J,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0.0037
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0037
