Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
E,6814,6755,6760,6724,6746,6713,6725,6787,6681,6854,6697,6826,6652,6697,6631,6695,6710,6805,6756,6741,6903,6765,6634,6745,6778,6856,6812,6766,6677,6766,6794,6755,6747,6836,6814,6838,6780,6829,6702,6698,6685,6708,6731,6726,6610,6785,6814,6742,6759,6630,6688,6818,6837,6734,6793,6802,6766,6662,6815,6818,6728,6721,6800,6724,6800,6763,6750,6740,6732,6740,6769,6724,6765,6826,6783,6705,6778,6781,6619,6679,6718,6650,6769,6722,6799,6766,6730,6818,6793,6731,6783,6846,6708,6692,6747,6676,6711,6679,6838,6750,6610,6903,6751,11.8776
T,5251,5145,5113,5150,5149,5190,5140,5158,5087,5189,5110,5203,5171,5119,5149,5148,5134,5197,5167,5246,5134,5128,5082,5191,5072,5149,5152,5123,5110,5148,5158,5146,5106,5209,5102,5178,5092,5168,5099,5160,5146,5117,5157,5105,5238,5188,5089,5092,5113,5085,5162,5139,5134,5180,5084,5230,5209,5061,5125,5190,5180,5228,5141,5134,5142,5068,5106,5140,5080,5115,5043,5265,5230,5084,5118,5089,5053,5079,5075,5200,5057,5139,5013,5210,5074,5100,5057,5062,5145,5211,5149,5208,5141,5063,5106,5170,5120,5170,5058,5128,5013,5265,5138,9.0397
O,4631,4701,4684,4642,4605,4707,4698,4721,4696,4634,4729,4621,4663,4700,4721,4687,4709,4684,4616,4704,4731,4562,4724,4634,4656,4719,4690,4671,4618,4631,4785,4709,4676,4699,4692,4656,4638,4635,4633,4597,4720,4731,4596,4727,4642,4655,4751,4622,4669,4617,4561,4692,4649,4722,4699,4667,4670,4657,4691,4694,4681,4691,4604,4657,4716,4707,4623,4611,4660,4670,4620,4711,4665,4712,4672,4682,4699,4611,4685,4631,4682,4694,4704,4658,4602,4713,4630,4640,4750,4706,4773,4621,4707,4583,4804,4610,4672,4751,4680,4640,4561,4804,4673,8.2216
A,4328,4313,4376,4361,4375,4318,4336,4333,4395,4367,4356,4345,4392,4365,4320,4332,4369,4312,4333,4328,4317,4363,4292,4332,4380,4387,4369,4390,4308,4311,4334,4234,4362,4289,4270,4456,4416,4210,4279,4404,4378,4277,4375,4324,4351,4399,4375,4342,4422,4346,4330,4320,4300,4246,4278,4365,4280,4241,4314,4402,4421,4294,4415,4348,4425,4322,4321,4335,4299,4345,4355,4386,4310,4321,4343,4383,4342,4419,4318,4346,4352,4331,4424,4356,4338,4339,4342,4295,4379,4379,4346,4412,4375,4316,4353,4324,4384,4394,4363,4362,4210,4456,4346,7.6463
I,3746,3843,3688,3689,3741,3771,3703,3735,3694,3719,3703,3709,3726,3668,3709,3759,3745,3699,3697,3730,3709,3813,3623,3751,3744,3695,3740,3695,3723,3799,3682,3737,3711,3765,3777,3773,3692,3776,3639,3700,3723,3672,3691,3735,3642,3774,3737,3754,3671,3736,3735,3782,3756,3719,3753,3748,3732,3709,3704,3692,3715,3750,3792,3711,3730,3733,3692,3641,3643,3780,3687,3698,3702,3704,3747,3719,3778,3733,3679,3767,3725,3756,3751,3675,3702,3710,3648,3710,3707,3744,3741,3666,3677,3740,3726,3707,3720,3769,3745,3717,3623,3843,3723,6.5502
R,3598,3582,3656,3555,3638,3619,3584,3538,3583,3552,3626,3517,3666,3607,3546,3551,3595,3625,3631,3513,3517,3629,3644,3612,3542,3568,3587,3637,3680,3544,3629,3530,3569,3565,3569,3608,3596,3566,3588,3558,3577,3573,3622,3689,3685,3630,3657,3547,3649,3640,3628,3552,3630,3659,3539,3637,3529,3584,3580,3570,3646,3589,3547,3605,3603,3525,3531,3581,3541,3652,3632,3588,3603,3561,3603,3566,3575,3602,3443,3649,3577,3572,3554,3570,3668,3701,3574,3590,3516,3691,3690,3597,3652,3576,3533,3586,3606,3572,3613,3611,3443,3701,3594,6.3232
H,3573,3599,3547,3595,3589,3554,3580,3538,3603,3632,3523,3625,3603,3546,3594,3588,3571,3573,3609,3504,3572,3568,3520,3588,3614,3616,3514,3628,3538,3617,3676,3500,3646,3568,3583,3517,3635,3522,3609,3572,3648,3610,3562,3586,3680,3511,3575,3621,3639,3655,3552,3541,3631,3512,3614,3616,3576,3609,3509,3539,3632,3607,3530,3553,3572,3604,3648,3546,3580,3607,3614,3566,3570,3543,3584,3594,3594,3578,3545,3570,3568,3577,3563,3564,3585,3578,3550,3620,3592,3702,3620,3619,3660,3577,3594,3660,3635,3547,3542,3600,3500,3702,3586,6.3092
S,3554,3610,3571,3567,3543,3546,3561,3513,3588,3572,3506,3651,3545,3599,3612,3598,3609,3585,3499,3479,3618,3546,3506,3525,3626,3577,3597,3563,3501,3446,3558,3470,3575,3598,3641,3554,3569,3588,3620,3500,3549,3570,3574,3555,3514,3659,3508,3647,3573,3615,3579,3606,3520,3519,3632,3617,3598,3599,3583,3553,3612,3544,3529,3547,3504,3559,3657,3537,3559,3579,3602,3625,3510,3541,3540,3645,3500,3570,3611,3604,3615,3555,3576,3516,3558,3570,3515,3524,3498,3511,3544,3647,3613,3566,3602,3545,3493,3548,3510,3542,3446,3659,3565,6.2722
N,3505,3553,3535,3489,3509,3585,3417,3497,3519,3482,3529,3563,3433,3488,3531,3547,3479,3471,3468,3499,3439,3480,3568,3483,3485,3512,3498,3412,3575,3499,3496,3434,3476,3582,3546,3516,3485,3480,3508,3530,3517,3553,3463,3511,3537,3497,3528,3480,3449,3432,3485,3429,3507,3522,3488,3509,3482,3521,3515,3512,3489,3527,3556,3598,3453,3554,3452,3410,3454,3469,3469,3516,3554,3457,3438,3419,3497,3474,3502,3481,3535,3541,3415,3566,3426,3626,3527,3540,3505,3452,3510,3548,3530,3511,3529,3473,3461,3505,3517,3507,3410,3626,3501,6.1596
L,2592,2538,2551,2552,2587,2600,2520,2562,2533,2567,2533,2560,2581,2600,2661,2547,2557,2615,2624,2593,2587,2556,2571,2611,2643,2604,2574,2607,2609,2569,2540,2516,2572,2599,2584,2549,2520,2519,2570,2487,2555,2570,2585,2594,2613,2539,2602,2623,2568,2628,2633,2547,2537,2575,2590,2531,2598,2634,2630,2589,2576,2574,2638,2599,2630,2528,2575,2571,2570,2597,2616,2551,2583,2581,2650,2539,2575,2503,2572,2580,2653,2608,2607,2566,2654,2534,2631,2506,2554,2588,2646,2565,2576,2586,2560,2534,2573,2582,2609,2614,2487,2661,2580,4.5392
