Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Minimum,Maximum,Average
A,3,3,6,7,5,7,6,7,1,4,8,4,6,4,5,5,6,3,4,9,5,1,8,2,8,5,6,7,5,5,8,7,4,5,2,10,4,8,2,3,4,7,4,7,10,6,8,3,4,2,1,10,6
C,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1
E,1,6,1,4,2,4,6,3,4,5,3,2,2,3,5,4,2,4,3,5,3,3,10,8,1,6,3,7,4,2,3,7,0,3,1,3,2,3,3,2,3,7,6,5,5,4,4,4,4,5,0,10,4
F,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
I,5,5,4,4,4,2,4,2,3,2,4,3,4,2,7,4,7,4,5,2,3,4,2,3,4,3,4,2,0,8,4,4,3,3,4,2,3,1,4,8,4,4,5,2,2,7,3,3,4,0,0,8,4
M,5,4,4,5,5,2,4,2,5,3,5,7,3,5,4,2,3,5,5,6,3,6,4,5,4,3,4,6,2,4,2,2,5,6,4,6,1,3,4,5,4,3,4,4,4,4,4,5,5,3,1,7,5
O,12,10,11,16,9,15,12,12,10,11,15,11,18,10,10,9,8,7,10,10,13,10,19,18,12,15,12,12,16,12,14,9,14,12,12,15,15,9,12,13,15,12,13,7,13,13,11,12,11,11,7,19,13
R,27,25,26,25,23,24,26,17,24,25,26,26,24,15,27,22,22,22,24,17,26,23,24,24,25,22,22,26,20,25,25,21,22,25,16,22,24,25,26,23,23,26,24,27,24,25,18,18,21,24,15,27,24
S,1,0,2,1,3,2,2,1,3,0,4,0,2,1,0,1,3,0,0,4,0,0,3,0,5,0,1,0,2,0,1,0,0,3,2,1,1,3,0,1,1,2,3,0,3,0,2,3,4,1,0,5,2
T,3,2,2,4,0,5,2,2,0,0,3,1,2,1,1,1,2,3,0,1,1,2,3,2,2,3,1,2,0,1,2,1,1,2,1,1,1,2,2,1,1,0,2,1,1,1,0,4,1,1,0,5,2
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
