Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Minimum,Maximum,Average
A,13,9,13,14,17,15,16,13,13,16,12,15,15,15,18,16,15,14,17,16,14,16,17,13,18,16,12,15,15,11,12,17,11,10,12,15,13,13,14,12,13,17,15,15,12,18,16,13,19,14,9,19,15
B,4,5,8,6,5,8,7,3,9,5,5,4,7,6,11,8,8,7,8,6,5,7,7,6,7,5,6,6,9,6,8,9,7,10,7,7,10,7,6,4,9,8,3,4,5,9,4,7,6,8,3,11,7
C,1,4,5,6,5,6,5,4,5,3,7,6,5,6,8,6,4,2,6,4,4,5,4,6,4,4,7,4,7,5,5,6,2,2,5,3,6,4,4,2,4,4,6,6,5,6,4,3,6,3,1,8,5
D,12,7,12,11,9,13,9,11,12,9,9,6,10,10,8,11,11,10,11,11,10,9,11,11,9,9,10,7,11,7,12,9,9,9,7,11,11,13,10,7,13,8,8,10,10,11,8,13,7,12,6,13,10
E,33,38,37,36,28,37,36,33,34,37,30,41,34,37,40,36,33,27,39,30,31,33,31,27,40,41,34,32,32,46,36,36,40,29,31,35,43,30,33,30,29,22,35,34,30,35,31,27,37,32,22,46,34
F,4,7,5,6,6,7,3,8,6,6,6,4,8,6,4,2,6,4,5,5,6,6,7,5,7,4,6,4,5,5,5,4,6,5,2,6,5,4,5,5,8,5,5,6,6,7,6,5,8,7,2,8,6
G,8,7,8,7,10,6,7,9,5,4,7,6,6,6,3,6,6,6,6,4,7,8,6,4,8,6,6,1,7,6,8,9,5,8,4,7,4,8,6,6,4,5,5,6,6,3,3,6,5,6,1,10,6
H,14,18,18,22,19,18,21,16,15,13,16,16,13,20,15,16,14,16,18,18,19,16,12,19,15,19,17,16,18,19,17,14,20,19,18,17,15,13,16,12,13,15,16,19,18,16,16,21,17,18,12,22,17
I,15,16,14,14,12,13,13,12,15,14,12,17,18,12,14,19,12,14,13,18,13,14,18,15,13,12,14,13,13,21,17,12,17,10,16,17,16,15,19,16,21,12,13,14,13,19,12,14,15,12,10,21,15
K,0,0,2,1,0,1,1,2,0,0,1,1,0,1,2,1,1,1,2,1,0,2,1,0,2,1,2,0,0,0,2,1,1,1,1,1,0,1,1,0,0,0,1,1,0,2,1,0,1,1,0,2,1
L,7,9,8,10,9,9,7,9,13,13,9,11,6,6,8,10,9,9,2,4,13,10,13,8,12,10,11,11,7,8,13,8,10,9,8,5,8,12,12,9,10,7,8,8,11,11,9,8,5,9,2,13,9
M,6,5,6,6,6,2,7,3,3,4,2,5,8,7,6,5,5,6,3,6,5,5,5,5,3,7,7,2,5,6,3,6,5,8,9,6,7,5,7,2,2,8,5,6,3,5,2,7,5,5,2,9,6
N,11,13,14,16,15,15,17,20,14,15,11,16,15,16,16,13,16,17,11,13,18,18,14,13,17,17,13,15,17,13,10,15,13,15,11,16,13,13,16,20,20,17,18,21,11,13,16,13,15,12,10,21,15
O,12,12,8,12,8,12,13,15,12,10,13,15,16,12,13,11,15,16,12,16,12,11,17,11,8,14,10,9,12,14,15,9,17,9,14,8,15,15,8,13,15,11,11,15,15,12,18,10,12,14,8,18,13
P,2,3,1,2,0,0,2,2,1,2,2,1,2,2,2,1,0,1,1,1,1,2,3,1,3,2,1,1,0,1,2,3,1,0,2,2,1,2,2,1,0,1,2,2,1,1,3,0,1,3,0,3,2
R,15,23,16,17,14,10,16,22,20,16,21,14,18,18,20,19,12,18,14,17,17,14,18,16,16,13,15,13,12,20,16,15,21,21,16,15,20,20,16,17,17,16,14,19,15,16,16,19,19,17,10,23,17
S,17,9,17,15,12,12,15,11,16,14,17,15,13,10,13,16,12,14,19,15,15,17,19,12,17,18,16,11,16,13,9,16,20,17,16,13,14,18,16,17,16,17,16,20,14,13,11,13,15,12,9,20,15
T,31,28,38,29,33,29,30,32,37,35,23,35,23,26,24,29,29,29,28,33,24,30,28,22,23,24,29,35,30,34,25,31,30,22,27,33,29,34,33,33,30,28,30,30,31,31,25,30,29,38,22,38,30
U,9,9,11,11,7,9,7,8,11,7,11,8,10,8,9,10,8,6,10,9,11,7,10,10,10,8,9,7,9,10,10,9,11,7,12,8,11,8,9,9,7,4,6,7,11,5,6,8,10,7,4,12,9
V,0,1,0,1,1,1,0,0,0,1,2,1,1,1,1,0,0,2,1,0,2,1,1,1,1,0,0,1,1,2,0,0,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,0,2,1
W,9,6,7,5,10,5,6,5,5,2,8,6,8,7,7,5,5,5,6,5,7,5,7,7,6,5,7,7,6,8,6,7,3,6,8,4,5,3,5,4,6,5,5,8,8,8,6,7,9,7,2,10,7
Y,8,8,9,7,7,4,9,8,9,5,11,6,8,7,3,9,9,8,7,7,8,10,6,8,10,8,8,6,6,8,8,8,4,8,7,7,6,6,11,6,3,8,3,8,6,6,2,8,7,9,2,11,8
