Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Minimum,Maximum,Average
8,13,15,19,21,13,13,11,20,15,20,16,16,17,18,14,12,13,18,18,18,17,16,15,20,15,10,21,18,18,19,20,15,13,14,16,21,20,19,17,16,18,19,18,14,16,14,23,17,16,11,10,23,17
7,22,29,15,17,23,20,14,18,18,20,19,17,25,20,15,15,17,20,19,25,16,22,17,17,18,20,16,18,13,16,25,17,18,21,14,24,20,15,20,18,20,19,19,17,16,17,16,13,14,14,13,29,19
6,34,31,28,28,33,32,27,33,35,28,28,28,35,30,24,31,36,28,24,34,27,36,27,30,31,26,26,24,30,28,34,26,33,31,30,32,30,25,34,29,27,35,27,31,20,33,28,29,37,27,20,37,30
5,41,39,40,41,41,36,39,39,39,43,36,40,40,38,38,44,44,42,34,38,43,37,42,32,41,36,37,39,48,29,39,38,34,39,45,40,38,38,37,45,41,38,40,43,42,41,41,38,41,39,29,48,40
4,52,51,49,45,43,50,53,42,45,45,49,37,36,49,45,33,44,40,41,48,37,42,42,46,42,45,33,49,48,46,37,32,50,53,45,49,31,43,45,43,48,44,50,48,52,42,39,42,45,44,31,53,45
0,137,132,131,133,141,130,136,127,137,120,143,126,120,131,144,141,124,137,142,128,140,143,148,115,139,129,133,129,137,130,134,136,127,128,136,130,136,144,141,123,135,143,131,128,132,112,120,125,129,121,112,148,133
3,137,158,161,152,140,167,168,157,165,160,150,145,163,159,165,167,152,153,150,140,162,151,151,151,152,145,158,151,155,147,155,141,166,165,148,172,152,157,158,143,153,171,149,158,147,168,146,169,169,165,137,172,156
2,173,170,166,166,173,178,179,164,179,169,182,159,170,160,166,181,168,171,157,168,175,169,167,152,173,168,191,160,171,179,174,157,173,179,177,176,160,187,174,159,177,167,177,179,179,175,166,174,168,179,152,191,172
1,437,468,436,442,444,440,480,446,448,441,446,451,440,473,444,440,464,443,455,434,452,460,433,461,458,420,480,431,441,438,464,469,459,447,454,446,481,442,455,467,451,440,428,455,436,427,434,471,443,460,420,481,450
9,452,465,434,448,442,456,438,475,468,460,429,469,461,478,443,459,468,465,478,443,444,453,448,435,469,449,461,447,447,443,471,472,466,457,462,471,476,463,451,460,469,482,469,470,481,492,477,453,440,472,429,492,460
Z,807,823,802,824,813,799,804,811,793,816,834,807,819,801,809,833,821,803,795,792,800,798,781,806,804,824,816,834,823,833,820,840,835,769,823,779,808,819,822,800,837,796,826,799,852,800,796,790,834,832,769,852,813
Q,1796,1803,1811,1783,1822,1772,1811,1815,1780,1808,1867,1820,1785,1760,1795,1793,1774,1798,1768,1781,1815,1732,1816,1848,1717,1838,1807,1781,1790,1783,1781,1824,1808,1778,1740,1804,1733,1757,1755,1779,1785,1851,1801,1809,1814,1776,1749,1783,1797,1778,1717,1867,1792
J,2422,2314,2359,2372,2360,2398,2373,2383,2357,2391,2393,2411,2396,2367,2277,2364,2415,2410,2412,2354,2406,2384,2429,2357,2367,2390,2367,2433,2380,2375,2367,2408,2406,2348,2370,2464,2363,2429,2378,2350,2369,2339,2427,2363,2330,2409,2321,2417,2379,2432,2277,2464,2382
X,2615,2618,2630,2597,2625,2522,2622,2614,2630,2614,2611,2658,2679,2592,2604,2672,2608,2559,2608,2682,2645,2653,2663,2605,2565,2611,2567,2623,2595,2586,2553,2598,2631,2582,2627,2648,2532,2581,2561,2596,2527,2647,2614,2574,2604,2574,2612,2628,2667,2630,2522,2682,2610
K,17601,17454,17662,17770,17610,17737,17624,17690,17546,17656,17620,17463,17518,17680,17555,17701,17606,17575,17874,17732,17663,17677,17583,17545,17664,17702,17697,17687,17634,17543,17652,17689,17579,17560,17751,17579,17620,17660,17692,17745,17654,17593,17730,17660,17692,17535,17746,17584,17735,17684,17454,17874,17645
V,18754,18627,18917,18718,18506,18800,18749,18647,18838,18780,18727,18644,18689,18737,18734,18812,18821,18758,18571,18698,18693,18719,19037,18789,18704,18902,18673,18779,18740,18835,18663,18883,18782,18894,18648,18883,18724,18912,18623,18694,18733,18627,18806,18719,18839,18776,18760,18812,18809,18755,18506,19037,18755
P,29043,29201,29179,29125,28979,29188,29245,29200,29080,29197,29247,29210,29126,29041,29242,29020,29024,28987,29334,29075,29139,29188,29100,29044,29082,29077,29170,29183,29091,29056,29100,29301,28924,29047,29063,29047,29073,29103,29214,29100,29049,29217,29033,29205,29352,29222,29348,28934,28996,29205,28924,29352,29129
B,31058,30821,30856,31012,30849,30806,31072,30899,30733,31118,30669,30928,30683,30571,30865,31049,31270,30909,30791,30725,31005,30766,30729,31135,30921,30842,30931,31063,30728,30873,30952,30849,30972,30938,31045,30848,31172,30930,30739,30852,30921,30943,30802,30787,30867,31022,30979,30796,30839,30956,30571,31270,30898
G,33894,33992,34076,33981,34052,34080,33978,33983,33799,33908,34063,34221,34061,34126,33945,33943,34130,34136,33960,34043,34062,33957,34192,34103,33971,34005,34271,34150,34145,34070,33867,34320,33937,34058,34286,34389,34113,34018,34038,34035,33985,34011,34023,33925,34127,33974,34094,34057,34022,34151,33799,34389,34055
F,40317,40104,40053,40029,40553,40120,40134,39948,40201,40338,40097,40369,40296,40526,40326,40120,40263,40229,40377,40109,40389,39793,39975,40133,39878,40151,40095,40146,39945,40201,40280,40155,40076,40276,40173,40258,40392,40244,40331,40047,39927,40370,40129,40088,40225,40194,40147,40345,40329,40235,39793,40553,40189
C,43889,44002,43904,43788,43512,44097,43974,43634,43925,43961,43738,44208,44280,43929,44067,43936,44132,43806,43861,43896,43814,44108,43853,43942,43938,43844,43542,43914,43889,44109,43729,44026,43815,43919,43874,43945,43848,43949,44023,43809,44011,43803,44018,44049,44146,43851,43609,43727,43805,43836,43512,44280,43906
W,44741,44534,44909,44679,44666,44541,44789,44584,44928,45111,44969,44495,44665,44618,44849,44942,44358,44652,44858,44470,44236,44562,44760,44470,44733,44647,44719,44644,44697,44740,44572,44597,44930,44592,44582,44672,44822,44949,44851,45095,44633,44778,44701,44564,44360,44537,44905,44624,44909,44380,44236,45111,44693
Y,46974,47029,47120,47272,47123,47233,46940,46927,47138,47319,46901,46892,47240,47358,47365,47047,47178,47243,47109,46940,46787,47121,46946,47280,47182,47039,47138,47019,46828,46984,47074,46918,47346,46812,46903,47063,47059,47075,46874,46849,47223,46937,47302,47447,47211,47207,47222,47379,47111,46925,46787,47447,47093
M,55475,55904,55588,55569,55556,55571,55791,55625,55723,55526,55687,55560,55623,55689,55542,55994,55416,55767,55576,55691,55554,55433,55806,55823,55940,55803,55701,55584,55733,55721,55728,55439,55619,55614,55543,55907,55697,55468,55308,55397,55598,55451,55595,56073,55622,55785,55616,55562,55870,55727,55308,56073,55652
U,64360,64127,64478,64334,64504,64280,64091,64260,64333,64206,64252,64544,64068,64133,64420,64494,64272,64324,64186,64387,64061,64400,64324,64480,64513,64307,64417,64400,64404,64760,64527,63945,64298,64411,64607,64347,64331,63993,64360,64240,64104,64281,64339,64408,64256,64392,64333,64296,64677,64247,63945,64760,64331
D,74347,74445,74362,74569,74550,74492,74390,74212,74180,74596,74410,74454,74680,74087,74441,74230,74647,74510,74415,74469,74618,74316,74502,74246,74289,74405,74535,74635,74354,74595,74409,74606,74664,74622,74749,74246,74491,74682,74593,74477,74305,74261,74373,74495,74405,74311,74710,74703,74635,74771,74087,74771,74470
L,85101,84594,84787,84702,85030,84525,85039,84677,84634,84495,84801,84863,84683,84619,84474,84882,84898,84785,84882,84847,84746,84460,84787,84875,84555,84334,84873,85135,84668,84850,84660,84919,84940,84783,84796,84952,84570,84617,84442,85066,84989,85325,84952,84912,85291,85007,84531,84979,84880,84628,84334,85325,84797
H,118147,118428,118523,118529,118347,118690,118316,118319,117840,118225,118151,118491,118350,118528,117969,118250,118015,118489,118142,118354,118032,118207,118418,118796,118259,118261,118314,118587,118370,118696,118625,118250,118237,118195,118455,118447,117993,118339,118238,118583,118066,118279,118143,118365,118638,118278,118062,118327,118267,118419,117840,118796,118325
R,118885,118503,118227,118427,118793,117980,118874,118535,118190,118432,118963,118467,118831,118258,118587,118557,118672,118563,118337,118521,118585,118412,118228,118759,118690,118637,118724,118752,118547,119075,118496,118709,118088,118576,118571,118631,118494,118850,118758,117876,118495,118486,118494,119277,119206,118498,118772,118685,118887,118721,117876,119277,118592
N,121377,121391,121265,121236,121246,121151,121880,121105,121403,121773,121068,121599,121524,120715,121443,121138,121689,122028,121573,121835,121907,121064,121461,121484,121665,121195,121194,120809,121355,121004,121028,121679,121452,121445,121534,121201,121031,121935,121255,121413,121366,121292,121187,121218,121074,121313,121310,121218,121401,121127,120715,122028,121362
S,124809,124479,123908,124655,124172,123997,124536,124721,124530,124451,124314,124327,124230,124074,124630,124416,124034,124041,123973,124165,124264,124093,124407,124281,124464,124645,124435,124774,124246,124386,124075,124085,124283,124317,124266,124985,124470,124114,124072,124548,124202,124372,124254,124474,124673,124545,124126,124381,124266,123723,123723,124985,124334
I,126786,126527,126562,126871,127185,126686,127001,126526,126092,126691,126539,126160,126797,126790,126629,126609,126520,126905,126579,126181,126976,126809,126556,126389,126807,126510,126854,126498,126817,126433,126595,126344,126582,126917,126726,127066,126896,126269,127371,126597,126554,126560,126308,126941,126211,126697,126433,126268,126886,126319,126092,127371,126637
A,144596,143867,144356,144333,144439,144276,144231,144231,143782,144301,144612,143869,144220,144292,144738,144568,144414,144008,144101,144053,144119,144892,143643,144593,144289,144465,144064,144244,144442,144408,144228,144482,144649,144710,144473,144053,144483,144289,144103,144291,144094,144757,144548,144265,143759,144499,144298,145142,143698,143962,143643,145142,144305
O,156876,157759,156909,156840,157084,157050,156845,156793,156902,156615,157297,157217,156817,156922,156447,156693,157045,157765,156772,156751,157546,157477,156374,156618,156958,156947,156444,157216,156894,157398,156868,156595,157067,156949,157139,156785,157070,156868,156865,157196,157001,157243,157174,157211,156903,156906,156723,156849,156917,156501,156374,157765,156963
