Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
R,4939,4956,5025,4971,4965,5049,4978,4967,4941,4979,4987,5022,5087,4990,4993,4988,4991,4934,4994,5008,4945,4972,5012,4925,5010,4993,4994,4998,5056,5050,4964,4982,5026,5012,4950,5008,5011,5044,4973,4996,4971,4994,4938,4969,4974,4938,4943,4976,4992,4993,4959,4980,5011,4957,4999,4978,4989,5041,4998,5020,4946,4928,5089,5022,5009,5020,5020,4984,5024,5000,4949,5069,5001,5013,5070,5003,5076,5058,5019,4952,4993,4971,4971,4993,4925,5037,5009,5009,4930,4941,4921,4986,4923,5084,5020,4955,5032,5034,4982,4999,4921,5089,4993,29.0933
O,4656,4650,4619,4698,4680,4704,4633,4611,4626,4597,4715,4616,4591,4713,4587,4686,4695,4669,4778,4630,4572,4720,4650,4676,4770,4605,4597,4673,4659,4628,4684,4659,4609,4712,4736,4745,4755,4604,4650,4697,4656,4712,4655,4657,4706,4654,4592,4658,4645,4638,4545,4665,4609,4589,4702,4678,4588,4690,4695,4635,4627,4623,4753,4658,4616,4637,4636,4639,4572,4615,4648,4707,4616,4668,4602,4617,4668,4588,4657,4684,4634,4661,4710,4672,4673,4668,4692,4639,4661,4573,4689,4638,4649,4609,4726,4624,4648,4646,4617,4619,4545,4778,4655,27.1239
E,3134,3074,3187,3126,3171,3150,3117,3117,3137,3215,3166,3129,3137,3072,3204,3212,3074,3152,3146,3169,3200,3126,3148,3042,3251,3117,3168,3067,3121,3232,3149,3123,3141,3138,3236,3157,3068,3160,3074,3101,3155,3135,3234,3211,3204,3107,3118,3154,3161,3206,3150,3145,3191,3173,3057,3255,3157,3174,3123,3140,3174,3174,3096,3157,3152,3085,3179,3137,3123,3125,3097,3120,3142,3165,3080,3116,3159,3111,3214,3207,3124,3125,3221,3224,3211,3146,3148,3165,3133,3211,3079,3115,3185,3236,3183,3166,3204,3065,3072,3104,3042,3255,3149,18.3487
P,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,11.2516
T,1234,1239,1266,1293,1248,1264,1218,1233,1272,1246,1246,1242,1220,1224,1188,1287,1200,1275,1281,1338,1198,1244,1235,1262,1217,1212,1287,1273,1241,1252,1215,1222,1253,1280,1237,1256,1251,1207,1177,1201,1285,1245,1245,1283,1307,1316,1225,1274,1271,1241,1312,1232,1249,1222,1299,1232,1186,1246,1197,1249,1242,1258,1186,1267,1213,1222,1212,1218,1214,1250,1272,1279,1350,1325,1217,1246,1195,1216,1265,1212,1252,1343,1277,1228,1232,1222,1233,1223,1265,1256,1182,1205,1253,1192,1230,1239,1222,1268,1141,1248,1141,1350,1245,7.2544
C,492,478,499,486,476,532,483,498,475,481,457,478,490,459,440,476,465,457,494,481,517,501,468,467,485,530,490,455,458,485,478,446,478,478,476,519,482,504,486,501,474,502,482,455,445,516,469,492,501,504,492,484,474,471,481,489,499,466,459,465,478,489,464,494,478,476,472,485,485,448,504,463,525,481,495,476,499,487,492,486,503,463,473,472,504,489,473,514,492,502,532,446,484,462,498,466,503,492,463,499,440,532,484,2.8202
U,220,239,242,259,233,220,254,217,251,255,225,233,247,232,229,222,243,244,246,235,243,225,200,210,257,247,232,242,236,249,223,233,252,267,221,242,271,241,250,236,227,224,248,204,215,254,225,250,215,197,235,245,231,237,247,218,227,250,246,233,230,247,233,237,228,239,227,220,252,218,238,240,246,242,252,244,206,252,245,240,217,243,221,228,243,237,237,241,235,215,237,215,222,254,235,236,246,245,226,228,197,271,236,1.3751
G,154,187,205,165,177,180,186,177,162,184,172,202,175,187,187,173,164,173,173,170,160,177,184,177,195,190,166,176,168,155,188,181,191,168,162,176,195,173,182,185,173,185,159,175,189,184,192,186,163,162,185,178,169,198,173,190,165,170,156,195,181,204,166,188,199,192,170,164,204,187,189,157,182,178,170,196,170,178,178,185,173,173,158,182,176,169,168,166,192,193,177,200,189,159,179,156,157,157,187,153,153,205,178,1.0372
N,166,158,145,147,127,139,141,160,127,151,169,152,145,144,151,168,154,143,160,176,145,154,148,147,144,174,139,157,170,148,175,170,164,168,164,140,157,140,157,156,153,169,138,158,157,172,178,155,152,182,164,156,164,177,147,147,160,149,168,152,143,171,140,142,155,167,159,169,155,132,146,158,177,162,167,149,150,170,143,166,157,165,156,156,165,154,161,154,143,161,145,154,138,178,139,165,157,161,140,152,127,182,156,0.909
J,52,60,49,53,59,41,50,52,58,66,54,51,58,43,54,61,51,52,50,58,49,54,53,55,51,52,46,57,60,51,43,50,54,55,61,47,57,43,53,45,57,57,45,56,56,41,52,57,47,49,50,50,59,43,49,51,49,49,45,51,53,39,58,40,52,51,46,51,48,54,55,52,52,52,45,58,49,49,55,49,62,53,64,48,47,48,50,59,52,50,55,62,45,54,58,51,47,56,56,53,39,66,52,0.303
