Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
E,6311,6337,6412,6270,6310,6423,6228,6333,6216,6334,6335,6348,6261,6399,6337,6323,6346,6315,6212,6331,6296,6345,6316,6423,6290,6314,6256,6264,6262,6403,6308,6306,6275,6312,6257,6320,6313,6309,6331,6226,6265,6200,6303,6296,6304,6348,6420,6309,6345,6218,6345,6354,6252,6297,6290,6275,6340,6254,6370,6309,6305,6354,6252,6377,6257,6202,6248,6295,6323,6358,6313,6338,6283,6249,6286,6381,6303,6397,6336,6351,6272,6256,6332,6240,6320,6296,6265,6279,6247,6435,6388,6388,6211,6301,6345,6318,6368,6306,6320,6329,6200,6435,6311,11.5822
T,4957,4982,4952,4976,4945,4900,4955,4976,5050,4980,4980,4944,4995,4904,4907,4854,4986,4925,5012,4913,4933,4970,4989,4894,4936,4892,4977,4956,5007,4974,4948,4965,5052,4889,4926,4900,4945,4926,4914,4966,4991,4910,4873,4956,4981,4956,4965,5005,4853,4991,4964,5009,4938,4954,4912,5034,4962,4899,4950,4978,4943,4984,4955,4935,4904,5025,5067,5018,4966,4986,5032,4949,4940,4971,4841,4986,4937,4927,4914,4853,4928,4914,4967,4971,4950,4927,5004,5013,5030,4954,4879,4956,4952,4917,4975,4930,4917,4978,4932,5031,4841,5067,4954,9.0917
O,4684,4770,4610,4555,4656,4630,4698,4669,4668,4602,4587,4655,4639,4765,4716,4676,4672,4638,4634,4694,4723,4693,4637,4720,4690,4712,4711,4698,4677,4713,4598,4694,4614,4635,4721,4720,4589,4637,4694,4600,4596,4704,4714,4653,4631,4581,4677,4607,4630,4617,4580,4698,4667,4663,4673,4638,4654,4727,4692,4677,4644,4628,4652,4651,4628,4639,4663,4676,4669,4707,4664,4610,4636,4626,4649,4651,4726,4572,4555,4628,4655,4649,4701,4673,4660,4653,4620,4588,4664,4680,4664,4571,4651,4649,4713,4711,4631,4630,4566,4642,4555,4770,4657,8.5467
A,4330,4362,4341,4297,4335,4343,4323,4363,4258,4364,4303,4260,4327,4254,4309,4249,4240,4230,4312,4354,4260,4276,4308,4263,4320,4279,4386,4327,4349,4280,4254,4303,4346,4284,4227,4194,4351,4371,4258,4268,4346,4260,4262,4220,4348,4244,4296,4290,4306,4379,4385,4247,4257,4224,4366,4314,4251,4263,4257,4282,4252,4257,4302,4360,4359,4304,4224,4301,4353,4248,4267,4275,4315,4216,4260,4271,4288,4353,4324,4337,4338,4220,4344,4385,4361,4285,4220,4349,4321,4248,4333,4206,4309,4322,4277,4258,4252,4367,4302,4285,4194,4386,4298,7.8878
I,3966,3956,3919,3912,3947,3986,3967,3968,3913,3860,3966,3912,3878,3886,3990,4005,3912,3914,3880,3881,3935,3947,3908,3950,4012,3964,3884,3932,4024,3974,3944,3963,3948,3900,3924,3955,3886,3915,3887,3954,3935,3996,3925,3976,3936,3966,3910,3904,3979,3995,3943,3872,3872,4021,4006,3853,3939,3953,3938,3918,3963,3905,3958,3854,3944,3883,3974,3908,4010,3963,3925,3917,4012,3888,3972,3876,3928,3991,3901,4003,3993,3899,3913,3884,3972,3991,4003,3976,4016,4040,3921,4045,3879,3894,3952,3876,3986,3897,3988,3990,3853,4045,3942,7.2345
R,3583,3452,3491,3567,3488,3567,3607,3519,3516,3493,3572,3496,3556,3499,3490,3501,3552,3528,3523,3511,3495,3491,3498,3565,3537,3555,3505,3521,3488,3536,3588,3475,3576,3471,3473,3473,3458,3471,3528,3533,3571,3584,3591,3558,3534,3553,3548,3488,3476,3587,3443,3575,3554,3589,3531,3453,3548,3510,3507,3480,3434,3504,3576,3567,3544,3558,3544,3512,3466,3518,3493,3547,3547,3552,3561,3460,3519,3593,3583,3470,3573,3517,3582,3618,3464,3541,3584,3601,3525,3583,3575,3543,3539,3603,3562,3528,3570,3507,3477,3556,3434,3618,3531,6.4802
N,3465,3485,3465,3473,3495,3450,3430,3513,3518,3542,3498,3548,3442,3509,3606,3514,3524,3493,3516,3553,3514,3455,3518,3493,3591,3500,3546,3488,3435,3503,3542,3467,3426,3489,3502,3533,3531,3537,3477,3485,3439,3496,3611,3480,3520,3554,3514,3470,3457,3542,3418,3561,3495,3550,3548,3547,3463,3538,3523,3481,3462,3556,3583,3606,3507,3480,3538,3578,3594,3511,3503,3569,3491,3478,3488,3510,3504,3467,3482,3510,3480,3499,3463,3494,3499,3460,3497,3468,3434,3545,3490,3512,3564,3523,3464,3457,3488,3549,3530,3529,3418,3611,3507,6.4362
S,3352,3251,3344,3359,3311,3331,3295,3388,3357,3259,3292,3275,3300,3339,3275,3386,3275,3279,3288,3309,3308,3283,3393,3359,3376,3236,3381,3305,3299,3352,3335,3351,3273,3220,3287,3318,3381,3232,3283,3288,3364,3281,3427,3388,3316,3312,3309,3358,3404,3380,3350,3308,3343,3332,3309,3345,3304,3313,3280,3344,3294,3352,3356,3366,3304,3326,3296,3290,3291,3312,3298,3279,3330,3356,3321,3353,3331,3311,3270,3309,3274,3356,3359,3263,3388,3328,3333,3305,3326,3367,3293,3250,3407,3295,3320,3338,3318,3244,3298,3335,3220,3427,3321,6.0948
H,3149,3095,3092,3169,3125,3106,3093,3143,3142,3048,3149,3128,3186,3157,3179,3159,3132,3105,3135,3115,3173,3126,3140,3109,3123,3108,3101,3130,3126,3149,3127,3088,3250,3127,3149,3165,3141,3096,3055,3163,3216,3076,3102,3154,3136,3071,3089,3131,3119,3127,3109,3149,3094,3192,3108,3107,3171,3137,3107,3137,3121,3067,3113,3078,3227,3090,3143,3067,3054,3054,3128,3098,3142,3043,3015,3101,3079,3163,3115,2995,3168,3117,3142,3098,3170,3122,3097,3128,3141,3115,3086,3150,3166,3143,3146,3132,3076,3129,3086,3126,2995,3250,3123,5.7314
L,2276,2197,2157,2228,2187,2209,2114,2199,2279,2238,2258,2191,2245,2176,2246,2241,2220,2276,2262,2252,2281,2211,2153,2264,2237,2259,2239,2214,2193,2256,2220,2234,2250,2201,2190,2212,2260,2218,2183,2200,2238,2212,2236,2220,2240,2269,2168,2239,2282,2231,2267,2293,2251,2189,2262,2234,2229,2211,2220,2204,2176,2273,2193,2206,2231,2230,2146,2193,2235,2261,2232,2194,2232,2246,2239,2205,2175,2229,2175,2214,2215,2252,2222,2272,2222,2236,2205,2231,2170,2163,2195,2267,2172,2257,2192,2256,2217,2242,2192,2219,2114,2293,2224,4.0816
