Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
T,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,38.4588
E,6595,6532,6632,6568,6522,6649,6477,6589,6503,6582,6670,6601,6559,6535,6559,6593,6603,6719,6579,6614,6518,6666,6597,6572,6641,6559,6670,6513,6560,6504,6569,6577,6429,6617,6612,6577,6620,6545,6663,6560,6527,6602,6541,6546,6625,6599,6578,6535,6570,6540,6673,6674,6547,6608,6569,6587,6544,6594,6529,6640,6625,6526,6555,6675,6638,6547,6542,6597,6490,6539,6608,6614,6533,6579,6692,6570,6613,6597,6657,6636,6610,6604,6487,6542,6551,6592,6545,6576,6612,6680,6628,6581,6610,6558,6634,6460,6568,6682,6619,6566,6429,6719,6585,26.1839
H,4370,4337,4294,4288,4258,4295,4313,4234,4281,4261,4260,4248,4314,4280,4258,4322,4266,4355,4286,4261,4377,4249,4305,4363,4316,4294,4267,4271,4308,4303,4269,4304,4247,4237,4306,4279,4202,4316,4257,4283,4342,4298,4309,4384,4328,4237,4327,4334,4275,4343,4272,4342,4346,4342,4242,4298,4303,4353,4297,4349,4281,4290,4291,4300,4311,4336,4224,4280,4316,4271,4277,4302,4236,4295,4220,4371,4315,4289,4280,4350,4253,4239,4307,4258,4295,4217,4332,4357,4297,4280,4279,4311,4304,4284,4271,4311,4277,4311,4308,4247,4202,4384,4295,17.0782
R,1770,1729,1788,1793,1776,1799,1788,1738,1811,1741,1746,1763,1829,1800,1795,1767,1794,1725,1766,1806,1802,1814,1772,1834,1811,1744,1743,1719,1751,1772,1795,1767,1774,1787,1822,1712,1804,1677,1710,1753,1728,1790,1772,1725,1743,1733,1726,1784,1811,1767,1791,1772,1758,1760,1856,1730,1787,1776,1752,1791,1817,1797,1801,1780,1817,1730,1784,1786,1796,1754,1830,1809,1760,1660,1788,1762,1731,1805,1786,1775,1798,1750,1844,1812,1809,1768,1825,1774,1783,1807,1818,1749,1783,1804,1772,1843,1747,1738,1781,1707,1660,1856,1776,7.0619
O,1531,1621,1591,1636,1525,1615,1550,1518,1599,1550,1557,1589,1629,1567,1534,1545,1575,1599,1529,1674,1571,1560,1604,1587,1586,1547,1542,1551,1579,1542,1562,1580,1515,1578,1572,1563,1567,1611,1604,1576,1640,1591,1611,1626,1559,1609,1570,1629,1568,1574,1633,1638,1607,1550,1597,1620,1576,1655,1635,1554,1594,1574,1607,1650,1569,1619,1660,1616,1624,1572,1590,1645,1574,1585,1591,1568,1566,1618,1597,1645,1563,1626,1610,1478,1582,1592,1565,1638,1569,1518,1563,1574,1570,1601,1533,1633,1581,1533,1583,1614,1478,1674,1586,6.3064
P,829,864,864,841,847,848,851,857,841,877,819,832,855,816,828,877,844,842,841,863,866,829,855,840,813,846,826,810,844,833,826,872,819,792,814,804,839,842,826,792,859,862,808,818,825,845,837,840,824,789,823,850,800,830,842,814,830,799,845,809,838,814,837,811,788,828,846,811,806,792,835,851,841,856,875,817,851,819,820,879,861,837,795,813,815,809,810,833,804,814,828,842,864,846,840,825,843,852,842,822,788,879,833,3.3123
C,174,155,143,135,151,164,169,172,166,151,139,160,173,156,176,180,149,155,176,174,164,163,168,171,165,184,166,158,176,168,174,176,161,198,183,163,183,185,169,157,166,147,159,180,147,133,174,176,154,159,156,182,139,162,180,175,163,161,191,157,162,174,157,160,170,155,185,176,168,164,163,157,169,155,160,146,157,161,158,169,171,162,165,182,181,151,166,153,158,166,156,147,167,157,159,170,158,177,160,175,133,198,165,0.6561
U,59,72,74,69,63,83,62,51,76,75,65,63,64,74,63,70,62,71,79,66,61,57,69,66,65,65,66,65,55,82,58,65,50,65,72,64,58,80,84,67,71,82,62,70,62,63,73,69,66,75,70,67,61,71,76,67,52,80,75,67,67,61,94,66,69,85,66,67,72,66,71,72,78,73,63,74,80,83,66,72,65,62,66,64,80,55,61,58,54,80,62,54,63,70,74,70,78,67,77,51,50,94,69,0.2744
G,65,63,67,54,63,63,51,62,59,64,73,54,57,61,59,66,60,56,65,57,65,66,37,53,54,55,58,67,69,61,61,65,61,60,54,59,68,57,57,57,59,65,66,57,60,56,66,58,69,54,57,56,57,62,67,55,62,51,59,56,57,49,62,50,67,62,72,67,56,80,59,62,49,64,59,55,54,63,71,52,68,63,44,60,54,52,72,72,48,61,66,59,49,59,61,67,60,60,51,62,37,80,60,0.2386
N,59,58,68,59,67,50,63,46,52,57,49,63,70,60,75,60,52,64,63,57,47,64,66,48,48,60,71,59,62,56,50,55,78,44,62,46,49,57,54,52,61,54,59,59,56,57,48,38,55,62,59,45,48,70,61,58,58,63,48,68,61,63,59,50,47,55,61,49,62,61,74,50,54,65,58,39,62,57,49,57,58,56,61,54,53,47,58,63,63,52,59,48,46,50,51,69,49,58,68,56,38,78,57,0.2266
J,33,38,44,39,42,40,29,33,34,38,34,28,32,33,35,27,34,27,37,36,39,29,26,25,39,41,31,43,36,31,28,21,31,36,34,31,35,33,31,37,35,44,27,36,30,34,27,36,29,36,36,32,35,33,32,37,24,42,26,37,34,33,36,43,38,33,35,33,39,37,30,31,45,40,27,34,31,31,33,32,26,39,36,35,30,38,41,51,25,32,35,33,31,32,42,36,46,39,42,38,21,51,35,0.1392
B,10,11,8,10,7,14,8,12,9,10,5,12,5,14,2,12,12,11,15,16,9,10,8,4,6,9,5,5,15,8,5,4,4,16,11,11,11,5,16,7,8,12,12,6,8,14,18,11,14,6,5,13,7,8,7,9,13,9,12,11,16,8,10,11,12,12,13,9,18,13,12,9,7,11,7,12,10,5,18,9,7,9,7,9,12,6,9,12,7,9,8,10,12,7,13,10,10,14,12,11,2,18,10,0.0398
K,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,1,0,2,1,0.004
M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.004
F,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0.004
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.004
